MotorID,Brand,Category,SubCategory,MotorType,MotorSize,KV_Rating,MaxCurrent_A,MaxPower_W,ShaftDiameter_mm,MountPattern_mm,RecommendedPropSize,CompatibleDroneType,IntendedUse
MTR-0191,Cobra,Motors,Brushless Motor,Brushless Outrunner,1404,1700,30,350,2,19x19,6 inch,FPV,Long Range
MTR-0192,BrotherHobby,Motors,Brushless Motor,Brushless Outrunner,1507,2650,30,450,2,16x16,3 inch,FPV,Cinematic FPV
MTR-0193,SunnySky,Motors,Brushless Motor,Brushless Outrunner,2407,2650,45,350,1.5,19x19,6 inch,FPV,Long Range
MTR-0194,HGLRC,Motors,Brushless Motor,Brushless Outrunner,2004,2650,40,450,4,12x12,4 inch,FPV,Freestyle
MTR-0195,iFlight,Motors,Brushless Motor,Brushless Outrunner,2207,1700,22,600,4,16x16,7 inch,FPV,Long Range
MTR-0196,AxisFlying,Motors,Brushless Motor,Brushless Outrunner,2806.5,1700,55,350,3,19x19,2 inch,FPV,Indoor FPV
MTR-0197,SunnySky,Motors,Brushless Motor,Brushless Outrunner,1204,2300,55,600,1.5,16x16,6 inch,FPV,Long Range
MTR-0198,AxisFlying,Motors,Brushless Motor,Brushless Outrunner,2205,2550,40,450,4,12x12,2 inch,FPV,Indoor FPV
MTR-0199,BrotherHobby,Motors,Brushless Motor,Brushless Outrunner,2306,1500,40,1200,5,12x12,4 inch,FPV,Freestyle
MTR-0200,XNova,Motors,Brushless Motor,Brushless Outrunner,1507,1900,45,350,2,16x16,3 inch,FPV,Cinematic FPV
MTR-0201,Cobra,Motors,Brushless Motor,Brushless Outrunner,2407,2550,45,350,4,19x19,4 inch,FPV,Freestyle
MTR-0202,Emax,Motors,Brushless Motor,Brushless Outrunner,2205,2100,45,800,4,19x19,6 inch,FPV,Long Range
MTR-0203,XNova,Motors,Brushless Motor,Brushless Outrunner,1204,2100,22,250,1.5,19x19,10 inch,Industrial,Industrial UAV
MTR-0204,Cobra,Motors,Brushless Motor,Brushless Outrunner,2806.5,1500,30,800,5,16x16,5 inch,FPV,Freestyle
MTR-0205,SunnySky,Motors,Brushless Motor,Brushless Outrunner,2407,1700,18,250,1.5,16x16,8 inch,Industrial,Heavy Lift
MTR-0206,SunnySky,Motors,Brushless Motor,Brushless Outrunner,2806.5,2300,18,600,1.5,19x19,7 inch,FPV,Long Range
MTR-0207,T-Motor,Motors,Brushless Motor,Brushless Outrunner,2207,1900,40,1200,1.5,9x9,10 inch,Industrial,Industrial UAV
MTR-0208,GEPRC,Motors,Brushless Motor,Brushless Outrunner,1806,1700,22,350,4,12x12,3 inch,FPV,Cinematic FPV
MTR-0209,Lumenier,Motors,Brushless Motor,Brushless Outrunner,1404,1700,25,1200,3,12x12,10 inch,Industrial,Industrial UAV
MTR-0210,GEPRC,Motors,Brushless Motor,Brushless Outrunner,2507,2550,18,800,2,19x19,10 inch,Industrial,Industrial UAV
MTR-0211,SunnySky,Motors,Brushless Motor,Brushless Outrunner,2205,2100,45,800,5,9x9,7 inch,FPV,Long Range
MTR-0212,GEPRC,Motors,Brushless Motor,Brushless Outrunner,1507,1700,18,600,4,9x9,2 inch,FPV,Indoor FPV
MTR-0213,Flywoo,Motors,Brushless Motor,Brushless Outrunner,2407,1700,22,450,5,16x16,5 inch,FPV,Freestyle
MTR-0214,Emax,Motors,Brushless Motor,Brushless Outrunner,2207,2450,25,250,2,12x12,6 inch,FPV,Long Range
MTR-0215,SunnySky,Motors,Brushless Motor,Brushless Outrunner,2207,2550,18,250,1.5,16x16,7 inch,FPV,Long Range
MTR-0216,iFlight,Motors,Brushless Motor,Brushless Outrunner,1103,2300,18,1200,4,19x19,5 inch,FPV,Freestyle
MTR-0217,BrotherHobby,Motors,Brushless Motor,Brushless Outrunner,1507,1900,18,800,1.5,12x12,5 inch,FPV,Freestyle
MTR-0218,Flywoo,Motors,Brushless Motor,Brushless Outrunner,1103,2300,22,800,4,16x16,4 inch,FPV,Freestyle
MTR-0219,Emax,Motors,Brushless Motor,Brushless Outrunner,2806.5,2450,30,450,5,12x12,10 inch,Industrial,Industrial UAV
MTR-0220,BrotherHobby,Motors,Brushless Motor,Brushless Outrunner,1204,1500,55,800,3,9x9,8 inch,Industrial,Heavy Lift
MTR-0221,HGLRC,Motors,Brushless Motor,Brushless Outrunner,1103,2100,55,800,3,12x12,2 inch,FPV,Indoor FPV
MTR-0222,Cobra,Motors,Brushless Motor,Brushless Outrunner,2004,1700,30,450,5,12x12,2 inch,FPV,Indoor FPV
MTR-0223,Cobra,Motors,Brushless Motor,Brushless Outrunner,1507,2550,30,450,2,19x19,7 inch,FPV,Long Range
MTR-0224,XNova,Motors,Brushless Motor,Brushless Outrunner,2806.5,2650,45,800,5,9x9,3 inch,FPV,Cinematic FPV
MTR-0225,Flywoo,Motors,Brushless Motor,Brushless Outrunner,2207,2100,22,1200,2,12x12,3 inch,FPV,Cinematic FPV
MTR-0226,AxisFlying,Motors,Brushless Motor,Brushless Outrunner,1507,1500,35,250,5,19x19,8 inch,Industrial,Heavy Lift
MTR-0227,Emax,Motors,Brushless Motor,Brushless Outrunner,1103,2650,55,600,4,12x12,7 inch,FPV,Long Range
MTR-0228,BrotherHobby,Motors,Brushless Motor,Brushless Outrunner,2205,2100,35,350,1.5,9x9,8 inch,Industrial,Heavy Lift
MTR-0229,Cobra,Motors,Brushless Motor,Brushless Outrunner,2507,2300,55,250,4,12x12,3 inch,FPV,Cinematic FPV
MTR-0230,Lumenier,Motors,Brushless Motor,Brushless Outrunner,2306,1500,55,600,3,9x9,3 inch,FPV,Cinematic FPV
MTR-0231,Emax,Motors,Brushless Motor,Brushless Outrunner,1806,1500,55,350,3,12x12,2 inch,FPV,Indoor FPV
MTR-0232,T-Motor,Motors,Brushless Motor,Brushless Outrunner,2004,1900,40,350,2,19x19,10 inch,Industrial,Industrial UAV
MTR-0233,Foxeer,Motors,Brushless Motor,Brushless Outrunner,1103,2450,18,1200,3,12x12,5 inch,FPV,Freestyle
MTR-0234,HGLRC,Motors,Brushless Motor,Brushless Outrunner,2806.5,1700,55,600,4,9x9,2 inch,FPV,Indoor FPV
MTR-0235,Flywoo,Motors,Brushless Motor,Brushless Outrunner,1507,2100,30,600,5,16x16,2 inch,FPV,Indoor FPV
MTR-0236,Foxeer,Motors,Brushless Motor,Brushless Outrunner,2507,1500,30,250,5,19x19,6 inch,FPV,Long Range
MTR-0237,GEPRC,Motors,Brushless Motor,Brushless Outrunner,2205,1700,22,450,5,12x12,10 inch,Industrial,Industrial UAV
MTR-0238,Cobra,Motors,Brushless Motor,Brushless Outrunner,2306,2650,22,450,2,9x9,8 inch,Industrial,Heavy Lift
MTR-0239,GEPRC,Motors,Brushless Motor,Brushless Outrunner,2306,2550,22,1200,1.5,19x19,10 inch,Industrial,Industrial UAV
MTR-0240,T-Motor,Motors,Brushless Motor,Brushless Outrunner,1404,2550,35,600,2,19x19,4 inch,FPV,Freestyle
MTR-0241,GEPRC,Motors,Brushless Motor,Brushless Outrunner,2207,2100,22,800,3,16x16,4 inch,FPV,Freestyle
MTR-0242,Cobra,Motors,Brushless Motor,Brushless Outrunner,2205,2100,35,350,5,16x16,5 inch,FPV,Freestyle
MTR-0243,Foxeer,Motors,Brushless Motor,Brushless Outrunner,1103,2650,25,800,4,16x16,8 inch,Industrial,Heavy Lift
MTR-0244,RCINPower,Motors,Brushless Motor,Brushless Outrunner,2205,1900,25,350,4,12x12,3 inch,FPV,Cinematic FPV
MTR-0245,HGLRC,Motors,Brushless Motor,Brushless Outrunner,1103,2650,55,800,5,16x16,10 inch,Industrial,Industrial UAV
MTR-0246,Foxeer,Motors,Brushless Motor,Brushless Outrunner,2407,1700,55,1200,4,19x19,10 inch,Industrial,Industrial UAV
MTR-0247,Emax,Motors,Brushless Motor,Brushless Outrunner,1404,2300,30,250,1.5,16x16,8 inch,Industrial,Heavy Lift
MTR-0248,HGLRC,Motors,Brushless Motor,Brushless Outrunner,1103,2550,30,350,5,16x16,8 inch,Industrial,Heavy Lift
MTR-0249,iFlight,Motors,Brushless Motor,Brushless Outrunner,1204,1500,22,1200,3,16x16,4 inch,FPV,Freestyle
MTR-0250,Lumenier,Motors,Brushless Motor,Brushless Outrunner,2207,1900,55,800,1.5,9x9,10 inch,Industrial,Industrial UAV
MTR-0251,Flywoo,Motors,Brushless Motor,Brushless Outrunner,2207,2300,18,350,2,19x19,3 inch,FPV,Cinematic FPV
MTR-0252,AxisFlying,Motors,Brushless Motor,Brushless Outrunner,2407,2300,55,250,2,19x19,8 inch,Industrial,Heavy Lift
MTR-0253,Flywoo,Motors,Brushless Motor,Brushless Outrunner,1806,1900,40,250,2,12x12,7 inch,FPV,Long Range
MTR-0254,SunnySky,Motors,Brushless Motor,Brushless Outrunner,2205,2300,40,600,3,9x9,8 inch,Industrial,Heavy Lift
MTR-0255,HGLRC,Motors,Brushless Motor,Brushless Outrunner,2806.5,2300,25,600,3,19x19,5 inch,FPV,Freestyle
MTR-0256,BrotherHobby,Motors,Brushless Motor,Brushless Outrunner,1806,2550,35,250,4,9x9,3 inch,FPV,Cinematic FPV
MTR-0257,HGLRC,Motors,Brushless Motor,Brushless Outrunner,2806.5,1700,55,250,5,16x16,10 inch,Industrial,Industrial UAV
MTR-0258,HGLRC,Motors,Brushless Motor,Brushless Outrunner,1806,1700,18,250,1.5,16x16,6 inch,FPV,Long Range
MTR-0259,RCINPower,Motors,Brushless Motor,Brushless Outrunner,1404,2450,40,350,5,19x19,4 inch,FPV,Freestyle
MTR-0260,AxisFlying,Motors,Brushless Motor,Brushless Outrunner,1507,2100,30,350,5,12x12,2 inch,FPV,Indoor FPV
MTR-0261,Lumenier,Motors,Brushless Motor,Brushless Outrunner,2306,1900,22,450,2,19x19,5 inch,FPV,Freestyle
MTR-0262,HGLRC,Motors,Brushless Motor,Brushless Outrunner,2407,2100,25,600,3,19x19,5 inch,FPV,Freestyle
MTR-0263,T-Motor,Motors,Brushless Motor,Brushless Outrunner,2407,2300,40,450,4,12x12,5 inch,FPV,Freestyle
MTR-0264,Emax,Motors,Brushless Motor,Brushless Outrunner,2507,2550,35,1200,5,16x16,6 inch,FPV,Long Range
MTR-0265,XNova,Motors,Brushless Motor,Brushless Outrunner,2205,2100,45,250,5,19x19,5 inch,FPV,Freestyle
MTR-0266,Emax,Motors,Brushless Motor,Brushless Outrunner,2806.5,1900,30,1200,4,19x19,3 inch,FPV,Cinematic FPV
MTR-0267,SunnySky,Motors,Brushless Motor,Brushless Outrunner,2806.5,2100,40,450,4,16x16,4 inch,FPV,Freestyle
MTR-0268,AxisFlying,Motors,Brushless Motor,Brushless Outrunner,1404,2100,55,1200,3,16x16,4 inch,FPV,Freestyle
MTR-0269,BrotherHobby,Motors,Brushless Motor,Brushless Outrunner,2407,1700,45,350,5,9x9,4 inch,FPV,Freestyle
MTR-0270,GEPRC,Motors,Brushless Motor,Brushless Outrunner,2004,1500,25,250,4,12x12,4 inch,FPV,Freestyle
MTR-0271,T-Motor,Motors,Brushless Motor,Brushless Outrunner,2004,2450,22,1200,3,9x9,2 inch,FPV,Indoor FPV
MTR-0272,HGLRC,Motors,Brushless Motor,Brushless Outrunner,2004,2650,35,1200,3,19x19,6 inch,FPV,Long Range
MTR-0273,Foxeer,Motors,Brushless Motor,Brushless Outrunner,2806.5,1700,18,600,5,9x9,4 inch,FPV,Freestyle
MTR-0274,Cobra,Motors,Brushless Motor,Brushless Outrunner,1507,1900,55,600,1.5,19x19,5 inch,FPV,Freestyle
MTR-0275,iFlight,Motors,Brushless Motor,Brushless Outrunner,1404,1900,55,250,5,16x16,8 inch,Industrial,Heavy Lift
MTR-0276,HGLRC,Motors,Brushless Motor,Brushless Outrunner,2205,2450,25,350,5,12x12,6 inch,FPV,Long Range
MTR-0277,AxisFlying,Motors,Brushless Motor,Brushless Outrunner,2806.5,2450,45,600,5,16x16,3 inch,FPV,Cinematic FPV
MTR-0278,GEPRC,Motors,Brushless Motor,Brushless Outrunner,1103,2100,55,800,2,12x12,4 inch,FPV,Freestyle
MTR-0279,T-Motor,Motors,Brushless Motor,Brushless Outrunner,2207,2300,18,450,1.5,19x19,2 inch,FPV,Indoor FPV
MTR-0280,iFlight,Motors,Brushless Motor,Brushless Outrunner,2507,2100,45,250,3,12x12,7 inch,FPV,Long Range
MTR-0281,Cobra,Motors,Brushless Motor,Brushless Outrunner,2205,1500,22,800,4,9x9,7 inch,FPV,Long Range
MTR-0282,AxisFlying,Motors,Brushless Motor,Brushless Outrunner,1404,2550,18,800,1.5,12x12,3 inch,FPV,Cinematic FPV
MTR-0283,Lumenier,Motors,Brushless Motor,Brushless Outrunner,1103,1500,30,800,1.5,9x9,6 inch,FPV,Long Range
MTR-0284,T-Motor,Motors,Brushless Motor,Brushless Outrunner,2407,2300,35,800,1.5,9x9,6 inch,FPV,Long Range
MTR-0285,Cobra,Motors,Brushless Motor,Brushless Outrunner,2806.5,1900,40,450,1.5,12x12,5 inch,FPV,Freestyle
MTR-0286,SunnySky,Motors,Brushless Motor,Brushless Outrunner,2207,2450,30,1200,2,19x19,6 inch,FPV,Long Range
MTR-0287,HGLRC,Motors,Brushless Motor,Brushless Outrunner,2507,2550,25,250,4,12x12,5 inch,FPV,Freestyle
MTR-0288,Flywoo,Motors,Brushless Motor,Brushless Outrunner,1806,2650,22,1200,5,9x9,7 inch,FPV,Long Range
MTR-0289,Foxeer,Motors,Brushless Motor,Brushless Outrunner,2407,1900,40,1200,3,16x16,10 inch,Industrial,Industrial UAV
MTR-0290,HGLRC,Motors,Brushless Motor,Brushless Outrunner,2407,1900,45,450,2,12x12,6 inch,FPV,Long Range
MTR-0291,iFlight,Motors,Brushless Motor,Brushless Outrunner,2207,1900,22,1200,1.5,12x12,7 inch,FPV,Long Range
MTR-0292,T-Motor,Motors,Brushless Motor,Brushless Outrunner,1103,2100,55,350,1.5,16x16,8 inch,Industrial,Heavy Lift
MTR-0293,AxisFlying,Motors,Brushless Motor,Brushless Outrunner,1103,2100,35,450,4,16x16,6 inch,FPV,Long Range
MTR-0294,HGLRC,Motors,Brushless Motor,Brushless Outrunner,2507,2100,55,250,1.5,12x12,2 inch,FPV,Indoor FPV
MTR-0295,iFlight,Motors,Brushless Motor,Brushless Outrunner,1103,2650,40,250,1.5,19x19,5 inch,FPV,Freestyle
MTR-0296,HGLRC,Motors,Brushless Motor,Brushless Outrunner,1507,2550,18,1200,1.5,19x19,8 inch,Industrial,Heavy Lift
MTR-0297,HGLRC,Motors,Brushless Motor,Brushless Outrunner,2306,2650,22,250,4,12x12,4 inch,FPV,Freestyle
MTR-0298,Cobra,Motors,Brushless Motor,Brushless Outrunner,2306,2300,25,600,4,12x12,6 inch,FPV,Long Range
MTR-0299,Lumenier,Motors,Brushless Motor,Brushless Outrunner,1806,1500,25,350,3,9x9,6 inch,FPV,Long Range
MTR-0300,T-Motor,Motors,Brushless Motor,Brushless Outrunner,2507,2650,30,250,3,19x19,2 inch,FPV,Indoor FPV
MTR-0301,Foxeer,Motors,Brushless Motor,Brushless Outrunner,1103,2450,40,650,3,16x16,5 inch,FPV,Freestyle FPV
MTR-0302,Foxeer,Motors,Brushless Motor,Brushless Outrunner,2205,1700,20,500,5,16x16,2 inch,FPV,Indoor FPV
MTR-0303,Flywoo,Motors,Brushless Motor,Brushless Outrunner,1507,2100,60,1200,1.5,9x9,8 inch,Industrial,Heavy Lift UAV
MTR-0304,Emax,Motors,Brushless Motor,Brushless Outrunner,1507,1700,40,1200,4,16x16,10 inch,Industrial,Industrial UAV
MTR-0305,HGLRC,Motors,Brushless Motor,Brushless Outrunner,1806,2100,45,300,5,16x16,5 inch,FPV,Freestyle FPV
MTR-0306,Cobra,Motors,Brushless Motor,Brushless Outrunner,2407,1700,45,500,2,12x12,6 inch,FPV,Long Range FPV
MTR-0307,Flywoo,Motors,Brushless Motor,Brushless Outrunner,2806.5,1900,30,1000,1.5,16x16,5 inch,FPV,Freestyle FPV
MTR-0308,AxisFlying,Motors,Brushless Motor,Brushless Outrunner,2207,1700,45,800,3,12x12,10 inch,Industrial,Industrial UAV
MTR-0309,HGLRC,Motors,Brushless Motor,Brushless Outrunner,2004,1900,45,650,1.5,19x19,5 inch,FPV,Freestyle FPV
MTR-0310,BrotherHobby,Motors,Brushless Motor,Brushless Outrunner,2004,2300,25,500,3,16x16,4 inch,FPV,Freestyle FPV
MTR-0311,GEPRC,Motors,Brushless Motor,Brushless Outrunner,2205,2550,40,650,3,19x19,5 inch,FPV,Freestyle FPV
MTR-0312,Flywoo,Motors,Brushless Motor,Brushless Outrunner,1103,2300,20,400,2,16x16,4 inch,FPV,Freestyle FPV
MTR-0313,GEPRC,Motors,Brushless Motor,Brushless Outrunner,2306,1500,30,500,1.5,9x9,4 inch,FPV,Freestyle FPV
MTR-0314,RCINPower,Motors,Brushless Motor,Brushless Outrunner,2306,2550,45,800,3,16x16,2 inch,FPV,Indoor FPV
MTR-0315,Foxeer,Motors,Brushless Motor,Brushless Outrunner,1507,1700,20,300,1.5,9x9,8 inch,Industrial,Heavy Lift UAV
MTR-0316,SunnySky,Motors,Brushless Motor,Brushless Outrunner,2806.5,2450,30,1200,1.5,9x9,3 inch,FPV,Cinematic FPV
MTR-0317,Emax,Motors,Brushless Motor,Brushless Outrunner,2407,1900,60,650,1.5,16x16,2 inch,FPV,Indoor FPV
MTR-0318,iFlight,Motors,Brushless Motor,Brushless Outrunner,2205,1500,30,1000,1.5,16x16,7 inch,FPV,Long Range FPV
MTR-0319,Lumenier,Motors,Brushless Motor,Brushless Outrunner,1204,1700,20,500,5,12x12,6 inch,FPV,Long Range FPV
MTR-0320,BrotherHobby,Motors,Brushless Motor,Brushless Outrunner,2207,2550,30,1200,1.5,19x19,4 inch,FPV,Freestyle FPV
MTR-0321,Foxeer,Motors,Brushless Motor,Brushless Outrunner,2205,2300,60,1200,1.5,16x16,7 inch,FPV,Long Range FPV
MTR-0322,XNova,Motors,Brushless Motor,Brushless Outrunner,1507,2100,25,650,4,9x9,6 inch,FPV,Long Range FPV
MTR-0323,Cobra,Motors,Brushless Motor,Brushless Outrunner,2004,2550,50,300,1.5,16x16,6 inch,FPV,Long Range FPV
MTR-0324,iFlight,Motors,Brushless Motor,Brushless Outrunner,1103,2550,35,1200,1.5,12x12,7 inch,FPV,Long Range FPV
MTR-0325,Cobra,Motors,Brushless Motor,Brushless Outrunner,2306,2650,60,1000,1.5,16x16,5 inch,FPV,Freestyle FPV
MTR-0326,iFlight,Motors,Brushless Motor,Brushless Outrunner,1103,2300,30,300,2,19x19,2 inch,FPV,Indoor FPV
MTR-0327,Lumenier,Motors,Brushless Motor,Brushless Outrunner,2207,2300,45,800,2,12x12,4 inch,FPV,Freestyle FPV
MTR-0328,XNova,Motors,Brushless Motor,Brushless Outrunner,2407,1900,45,1000,3,16x16,3 inch,FPV,Cinematic FPV
MTR-0329,Foxeer,Motors,Brushless Motor,Brushless Outrunner,1204,1700,20,1200,3,9x9,10 inch,Industrial,Industrial UAV
MTR-0330,GEPRC,Motors,Brushless Motor,Brushless Outrunner,2207,2100,50,650,5,9x9,2 inch,FPV,Indoor FPV
MTR-0331,Flywoo,Motors,Brushless Motor,Brushless Outrunner,2407,2650,45,650,1.5,19x19,6 inch,FPV,Long Range FPV
MTR-0332,Flywoo,Motors,Brushless Motor,Brushless Outrunner,1103,2100,60,800,4,16x16,10 inch,Industrial,Industrial UAV
MTR-0333,Foxeer,Motors,Brushless Motor,Brushless Outrunner,2407,2650,40,800,2,16x16,7 inch,FPV,Long Range FPV
MTR-0334,Flywoo,Motors,Brushless Motor,Brushless Outrunner,1806,2550,60,650,2,19x19,4 inch,FPV,Freestyle FPV
MTR-0335,Emax,Motors,Brushless Motor,Brushless Outrunner,1204,1900,35,650,2,16x16,6 inch,FPV,Long Range FPV
MTR-0336,Lumenier,Motors,Brushless Motor,Brushless Outrunner,2407,2100,50,1200,3,9x9,2 inch,FPV,Indoor FPV
MTR-0337,Cobra,Motors,Brushless Motor,Brushless Outrunner,2004,1700,20,300,4,9x9,4 inch,FPV,Freestyle FPV
MTR-0338,Emax,Motors,Brushless Motor,Brushless Outrunner,2306,1700,20,400,4,19x19,5 inch,FPV,Freestyle FPV
MTR-0339,Lumenier,Motors,Brushless Motor,Brushless Outrunner,2207,1500,20,300,4,19x19,6 inch,FPV,Long Range FPV
MTR-0340,T-Motor,Motors,Brushless Motor,Brushless Outrunner,2207,2550,20,400,2,19x19,10 inch,Industrial,Industrial UAV
MTR-0341,XNova,Motors,Brushless Motor,Brushless Outrunner,2207,1500,25,400,5,12x12,10 inch,Industrial,Industrial UAV
MTR-0342,Flywoo,Motors,Brushless Motor,Brushless Outrunner,1204,2450,50,300,1.5,19x19,7 inch,FPV,Long Range FPV
MTR-0343,Emax,Motors,Brushless Motor,Brushless Outrunner,1507,2300,25,400,4,16x16,6 inch,FPV,Long Range FPV
MTR-0344,Emax,Motors,Brushless Motor,Brushless Outrunner,2806.5,1900,40,1200,2,12x12,4 inch,FPV,Freestyle FPV
MTR-0345,Flywoo,Motors,Brushless Motor,Brushless Outrunner,1806,2300,35,300,1.5,19x19,5 inch,FPV,Freestyle FPV
MTR-0346,XNova,Motors,Brushless Motor,Brushless Outrunner,1507,2100,35,1200,3,9x9,4 inch,FPV,Freestyle FPV
MTR-0347,RCINPower,Motors,Brushless Motor,Brushless Outrunner,2806.5,2450,20,1000,2,16x16,2 inch,FPV,Indoor FPV
MTR-0348,Lumenier,Motors,Brushless Motor,Brushless Outrunner,2205,1700,60,300,1.5,12x12,3 inch,FPV,Cinematic FPV
MTR-0349,GEPRC,Motors,Brushless Motor,Brushless Outrunner,1507,1900,60,500,5,9x9,7 inch,FPV,Long Range FPV
MTR-0350,XNova,Motors,Brushless Motor,Brushless Outrunner,2407,1900,35,800,4,12x12,4 inch,FPV,Freestyle FPV
MTR-0351,GEPRC,Motors,Brushless Motor,Brushless Outrunner,2004,2300,35,500,4,19x19,4 inch,FPV,Freestyle FPV
MTR-0352,AxisFlying,Motors,Brushless Motor,Brushless Outrunner,2205,1900,45,500,2,9x9,2 inch,FPV,Indoor FPV
MTR-0353,Cobra,Motors,Brushless Motor,Brushless Outrunner,2306,1700,60,500,3,12x12,2 inch,FPV,Indoor FPV
MTR-0354,Foxeer,Motors,Brushless Motor,Brushless Outrunner,2507,1900,50,500,5,12x12,8 inch,Industrial,Heavy Lift UAV
MTR-0355,Emax,Motors,Brushless Motor,Brushless Outrunner,2205,2550,45,650,5,16x16,7 inch,FPV,Long Range FPV
MTR-0356,Emax,Motors,Brushless Motor,Brushless Outrunner,2306,2100,50,800,1.5,19x19,5 inch,FPV,Freestyle FPV
MTR-0357,Flywoo,Motors,Brushless Motor,Brushless Outrunner,2407,2650,35,650,2,9x9,7 inch,FPV,Long Range FPV
MTR-0358,AxisFlying,Motors,Brushless Motor,Brushless Outrunner,1507,2550,40,1200,4,16x16,4 inch,FPV,Freestyle FPV
MTR-0359,Cobra,Motors,Brushless Motor,Brushless Outrunner,2004,2450,45,1200,4,16x16,6 inch,FPV,Long Range FPV
MTR-0360,Foxeer,Motors,Brushless Motor,Brushless Outrunner,2306,1900,25,1000,3,16x16,7 inch,FPV,Long Range FPV
MTR-0361,iFlight,Motors,Brushless Motor,Brushless Outrunner,2306,1700,20,400,1.5,19x19,7 inch,FPV,Long Range FPV
MTR-0362,GEPRC,Motors,Brushless Motor,Brushless Outrunner,1103,1500,20,400,4,12x12,8 inch,Industrial,Heavy Lift UAV
MTR-0363,iFlight,Motors,Brushless Motor,Brushless Outrunner,1404,1500,20,300,3,9x9,2 inch,FPV,Indoor FPV
MTR-0364,iFlight,Motors,Brushless Motor,Brushless Outrunner,1806,1900,20,500,4,9x9,8 inch,Industrial,Heavy Lift UAV
MTR-0365,XNova,Motors,Brushless Motor,Brushless Outrunner,2207,2300,30,1200,1.5,19x19,10 inch,Industrial,Industrial UAV
MTR-0366,Lumenier,Motors,Brushless Motor,Brushless Outrunner,2507,2100,50,400,2,16x16,7 inch,FPV,Long Range FPV
MTR-0367,iFlight,Motors,Brushless Motor,Brushless Outrunner,1507,2450,40,400,1.5,9x9,2 inch,FPV,Indoor FPV
MTR-0368,Emax,Motors,Brushless Motor,Brushless Outrunner,1507,2650,30,800,4,19x19,5 inch,FPV,Freestyle FPV
MTR-0369,iFlight,Motors,Brushless Motor,Brushless Outrunner,1507,1500,25,650,5,9x9,2 inch,FPV,Indoor FPV
MTR-0370,BrotherHobby,Motors,Brushless Motor,Brushless Outrunner,2205,1500,30,300,5,12x12,5 inch,FPV,Freestyle FPV
MTR-0371,Cobra,Motors,Brushless Motor,Brushless Outrunner,1507,1900,35,1200,1.5,16x16,2 inch,FPV,Indoor FPV
MTR-0372,HGLRC,Motors,Brushless Motor,Brushless Outrunner,1404,2300,45,300,1.5,19x19,2 inch,FPV,Indoor FPV
MTR-0373,GEPRC,Motors,Brushless Motor,Brushless Outrunner,1507,2450,40,650,3,16x16,2 inch,FPV,Indoor FPV
MTR-0374,iFlight,Motors,Brushless Motor,Brushless Outrunner,2306,2100,40,300,4,9x9,3 inch,FPV,Cinematic FPV
MTR-0375,iFlight,Motors,Brushless Motor,Brushless Outrunner,2507,2300,40,1200,2,9x9,5 inch,FPV,Freestyle FPV
MTR-0376,Emax,Motors,Brushless Motor,Brushless Outrunner,2507,2300,30,800,5,12x12,10 inch,Industrial,Industrial UAV
MTR-0377,Emax,Motors,Brushless Motor,Brushless Outrunner,2407,1500,30,800,2,9x9,2 inch,FPV,Indoor FPV
MTR-0378,AxisFlying,Motors,Brushless Motor,Brushless Outrunner,2004,1900,35,800,4,19x19,2 inch,FPV,Indoor FPV
MTR-0379,AxisFlying,Motors,Brushless Motor,Brushless Outrunner,2306,2450,50,1200,5,16x16,3 inch,FPV,Cinematic FPV
MTR-0380,Emax,Motors,Brushless Motor,Brushless Outrunner,2207,2450,20,400,5,9x9,7 inch,FPV,Long Range FPV
MTR-0381,Lumenier,Motors,Brushless Motor,Brushless Outrunner,1806,2100,40,300,1.5,16x16,3 inch,FPV,Cinematic FPV
MTR-0382,XNova,Motors,Brushless Motor,Brushless Outrunner,1204,2300,45,400,5,9x9,6 inch,FPV,Long Range FPV
MTR-0383,AxisFlying,Motors,Brushless Motor,Brushless Outrunner,2507,2300,30,400,1.5,16x16,5 inch,FPV,Freestyle FPV
MTR-0384,HGLRC,Motors,Brushless Motor,Brushless Outrunner,2507,1900,60,300,5,19x19,5 inch,FPV,Freestyle FPV
MTR-0385,XNova,Motors,Brushless Motor,Brushless Outrunner,2407,1700,40,400,3,16x16,10 inch,Industrial,Industrial UAV
MTR-0386,AxisFlying,Motors,Brushless Motor,Brushless Outrunner,2306,2450,20,800,1.5,9x9,2 inch,FPV,Indoor FPV
MTR-0387,HGLRC,Motors,Brushless Motor,Brushless Outrunner,2306,2550,20,1000,3,19x19,10 inch,Industrial,Industrial UAV
MTR-0388,AxisFlying,Motors,Brushless Motor,Brushless Outrunner,2306,2450,60,400,5,12x12,8 inch,Industrial,Heavy Lift UAV
MTR-0389,Lumenier,Motors,Brushless Motor,Brushless Outrunner,2806.5,2550,45,650,2,19x19,8 inch,Industrial,Heavy Lift UAV
MTR-0390,GEPRC,Motors,Brushless Motor,Brushless Outrunner,1204,2650,35,650,4,16x16,3 inch,FPV,Cinematic FPV
MTR-0391,Cobra,Motors,Brushless Motor,Brushless Outrunner,1204,2300,40,1200,4,16x16,6 inch,FPV,Long Range FPV
MTR-0392,Emax,Motors,Brushless Motor,Brushless Outrunner,2205,1700,20,500,5,16x16,5 inch,FPV,Freestyle FPV
MTR-0393,T-Motor,Motors,Brushless Motor,Brushless Outrunner,1507,1500,50,1200,4,12x12,2 inch,FPV,Indoor FPV
