FrameID,PropellerID,Fits,RecommendedUse
FRM-0494,PROP-0058,Optimal,Racing FPV
FRM-0105,PROP-0152,Yes,Long Range FPV
FRM-0215,PROP-0166,TightFit,Cinematic FPV
FRM-0108,PROP-0205,Optimal,Freestyle FPV
FRM-0183,PROP-0161,Optimal,Long Range FPV
FRM-0485,PROP-0290,TightFit,Racing FPV
FRM-0240,PROP-0194,Yes,Long Range FPV
FRM-0270,PROP-0158,TightFit,Racing FPV
FRM-0234,PROP-0041,Yes,Long Range FPV
FRM-0384,PROP-0141,Yes,Racing FPV
FRM-0012,PROP-0078,Yes,Cinematic FPV
FRM-0305,PROP-0120,Optimal,Cinematic FPV
FRM-0445,PROP-0141,Yes,Freestyle FPV
FRM-0056,PROP-0119,Yes,Racing FPV
FRM-0271,PROP-0279,Optimal,Freestyle FPV
FRM-0466,PROP-0152,TightFit,Cinematic FPV
FRM-0463,PROP-0294,Yes,Long Range FPV
FRM-0266,PROP-0105,Optimal,Racing FPV
FRM-0470,PROP-0230,TightFit,Racing FPV
FRM-0406,PROP-0045,TightFit,Freestyle FPV
FRM-0161,PROP-0055,Yes,Cinematic FPV
FRM-0255,PROP-0048,TightFit,Cinematic FPV
FRM-0205,PROP-0032,Optimal,Long Range FPV
FRM-0132,PROP-0174,Yes,Cinematic FPV
FRM-0437,PROP-0278,TightFit,Freestyle FPV
FRM-0122,PROP-0234,Optimal,Cinematic FPV
FRM-0276,PROP-0285,Optimal,Cinematic FPV
FRM-0239,PROP-0118,TightFit,Racing FPV
FRM-0252,PROP-0270,Yes,Cinematic FPV
FRM-0192,PROP-0253,Yes,Long Range FPV
FRM-0256,PROP-0231,Optimal,Freestyle FPV
FRM-0391,PROP-0223,Optimal,Freestyle FPV
FRM-0320,PROP-0133,TightFit,Long Range FPV
FRM-0496,PROP-0152,TightFit,Freestyle FPV
FRM-0466,PROP-0273,TightFit,Cinematic FPV
FRM-0369,PROP-0288,TightFit,Cinematic FPV
FRM-0314,PROP-0038,Yes,Freestyle FPV
FRM-0144,PROP-0266,Yes,Long Range FPV
FRM-0392,PROP-0057,Yes,Racing FPV
FRM-0174,PROP-0200,Yes,Cinematic FPV
FRM-0202,PROP-0298,Yes,Freestyle FPV
FRM-0360,PROP-0209,Optimal,Cinematic FPV
FRM-0067,PROP-0276,Yes,Freestyle FPV
FRM-0367,PROP-0249,TightFit,Cinematic FPV
FRM-0408,PROP-0218,Yes,Freestyle FPV
FRM-0345,PROP-0300,Yes,Freestyle FPV
FRM-0272,PROP-0165,Yes,Freestyle FPV
FRM-0024,PROP-0035,Yes,Cinematic FPV
FRM-0273,PROP-0273,TightFit,Cinematic FPV
FRM-0468,PROP-0204,Optimal,Racing FPV
FRM-0241,PROP-0020,Optimal,Freestyle FPV
FRM-0497,PROP-0282,Optimal,Freestyle FPV
FRM-0310,PROP-0176,Yes,Freestyle FPV
FRM-0322,PROP-0005,Yes,Freestyle FPV
FRM-0317,PROP-0024,Optimal,Racing FPV
FRM-0375,PROP-0138,Yes,Long Range FPV
FRM-0184,PROP-0132,Yes,Cinematic FPV
FRM-0214,PROP-0124,Yes,Freestyle FPV
FRM-0363,PROP-0260,Optimal,Long Range FPV
FRM-0155,PROP-0186,Yes,Long Range FPV
FRM-0195,PROP-0072,TightFit,Racing FPV
FRM-0012,PROP-0179,Optimal,Long Range FPV
FRM-0074,PROP-0171,TightFit,Racing FPV
FRM-0337,PROP-0084,Yes,Racing FPV
FRM-0474,PROP-0288,Yes,Long Range FPV
FRM-0376,PROP-0275,Optimal,Long Range FPV
FRM-0278,PROP-0185,TightFit,Cinematic FPV
FRM-0427,PROP-0275,Optimal,Freestyle FPV
FRM-0150,PROP-0251,TightFit,Long Range FPV
FRM-0445,PROP-0268,Optimal,Cinematic FPV
FRM-0223,PROP-0183,Yes,Racing FPV
FRM-0108,PROP-0143,TightFit,Long Range FPV
FRM-0022,PROP-0108,TightFit,Cinematic FPV
FRM-0472,PROP-0027,Optimal,Freestyle FPV
FRM-0018,PROP-0226,TightFit,Freestyle FPV
FRM-0010,PROP-0275,TightFit,Racing FPV
FRM-0017,PROP-0054,Optimal,Cinematic FPV
FRM-0498,PROP-0077,Optimal,Cinematic FPV
FRM-0258,PROP-0200,TightFit,Cinematic FPV
FRM-0077,PROP-0119,Yes,Cinematic FPV
FRM-0194,PROP-0145,TightFit,Cinematic FPV
FRM-0373,PROP-0239,Yes,Freestyle FPV
FRM-0317,PROP-0263,TightFit,Racing FPV
FRM-0272,PROP-0180,TightFit,Cinematic FPV
FRM-0479,PROP-0214,Optimal,Cinematic FPV
FRM-0411,PROP-0031,TightFit,Cinematic FPV
FRM-0157,PROP-0174,TightFit,Freestyle FPV
FRM-0139,PROP-0105,TightFit,Cinematic FPV
FRM-0156,PROP-0253,Yes,Racing FPV
FRM-0004,PROP-0179,Yes,Freestyle FPV
FRM-0101,PROP-0160,TightFit,Racing FPV
FRM-0083,PROP-0023,Optimal,Cinematic FPV
FRM-0196,PROP-0044,TightFit,Freestyle FPV
FRM-0282,PROP-0141,TightFit,Cinematic FPV
FRM-0387,PROP-0265,Optimal,Freestyle FPV
FRM-0040,PROP-0163,TightFit,Cinematic FPV
FRM-0293,PROP-0207,TightFit,Cinematic FPV
FRM-0457,PROP-0029,Yes,Racing FPV
FRM-0280,PROP-0139,TightFit,Cinematic FPV
FRM-0405,PROP-0157,Yes,Freestyle FPV
FRM-0088,PROP-0271,TightFit,Racing FPV
FRM-0186,PROP-0259,Yes,Racing FPV
FRM-0337,PROP-0041,Yes,Freestyle FPV
FRM-0426,PROP-0223,TightFit,Freestyle FPV
FRM-0108,PROP-0003,Optimal,Cinematic FPV
FRM-0393,PROP-0060,TightFit,Cinematic FPV
FRM-0050,PROP-0098,TightFit,Racing FPV
FRM-0354,PROP-0259,Optimal,Long Range FPV
FRM-0173,PROP-0062,TightFit,Freestyle FPV
FRM-0324,PROP-0196,Yes,Long Range FPV
FRM-0308,PROP-0200,TightFit,Freestyle FPV
FRM-0363,PROP-0245,Yes,Racing FPV
FRM-0132,PROP-0048,Yes,Racing FPV
FRM-0094,PROP-0162,TightFit,Racing FPV
FRM-0037,PROP-0036,TightFit,Long Range FPV
FRM-0175,PROP-0088,Optimal,Freestyle FPV
FRM-0220,PROP-0100,TightFit,Cinematic FPV
FRM-0486,PROP-0008,TightFit,Racing FPV
FRM-0304,PROP-0300,Yes,Racing FPV
FRM-0170,PROP-0126,Optimal,Freestyle FPV
FRM-0395,PROP-0105,Yes,Long Range FPV
FRM-0140,PROP-0251,Yes,Long Range FPV
FRM-0055,PROP-0062,Yes,Racing FPV
FRM-0195,PROP-0182,Optimal,Freestyle FPV
FRM-0465,PROP-0054,Optimal,Racing FPV
FRM-0032,PROP-0084,Yes,Racing FPV
FRM-0123,PROP-0142,Optimal,Long Range FPV
FRM-0057,PROP-0080,Yes,Long Range FPV
FRM-0322,PROP-0253,Yes,Racing FPV
FRM-0203,PROP-0279,TightFit,Long Range FPV
FRM-0282,PROP-0071,Optimal,Freestyle FPV
FRM-0387,PROP-0103,Yes,Freestyle FPV
FRM-0390,PROP-0238,TightFit,Racing FPV
FRM-0085,PROP-0199,Optimal,Freestyle FPV
FRM-0129,PROP-0176,Optimal,Long Range FPV
FRM-0344,PROP-0198,Optimal,Racing FPV
FRM-0121,PROP-0246,TightFit,Racing FPV
FRM-0158,PROP-0200,Optimal,Freestyle FPV
FRM-0394,PROP-0115,TightFit,Racing FPV
FRM-0491,PROP-0098,Optimal,Long Range FPV
FRM-0160,PROP-0279,TightFit,Cinematic FPV
FRM-0322,PROP-0102,TightFit,Racing FPV
FRM-0494,PROP-0109,Optimal,Cinematic FPV
FRM-0366,PROP-0029,Yes,Long Range FPV
FRM-0467,PROP-0184,TightFit,Long Range FPV
FRM-0431,PROP-0212,Optimal,Freestyle FPV
FRM-0063,PROP-0122,Optimal,Freestyle FPV
FRM-0393,PROP-0296,Yes,Racing FPV
FRM-0369,PROP-0005,Yes,Racing FPV
FRM-0075,PROP-0177,Yes,Long Range FPV
FRM-0444,PROP-0256,Yes,Cinematic FPV
FRM-0074,PROP-0286,Yes,Racing FPV
FRM-0078,PROP-0066,Yes,Cinematic FPV
FRM-0256,PROP-0052,TightFit,Long Range FPV
FRM-0348,PROP-0133,Optimal,Racing FPV
FRM-0191,PROP-0044,Optimal,Racing FPV
FRM-0011,PROP-0218,Optimal,Freestyle FPV
FRM-0356,PROP-0284,Yes,Freestyle FPV
FRM-0413,PROP-0282,Yes,Racing FPV
FRM-0076,PROP-0061,TightFit,Racing FPV
FRM-0275,PROP-0238,Yes,Long Range FPV
FRM-0305,PROP-0021,Yes,Cinematic FPV
FRM-0335,PROP-0033,TightFit,Long Range FPV
FRM-0473,PROP-0165,TightFit,Freestyle FPV
FRM-0245,PROP-0010,Yes,Long Range FPV
FRM-0438,PROP-0296,Optimal,Cinematic FPV
FRM-0135,PROP-0096,Optimal,Racing FPV
FRM-0370,PROP-0072,TightFit,Long Range FPV
FRM-0373,PROP-0240,TightFit,Cinematic FPV
FRM-0387,PROP-0011,TightFit,Long Range FPV
FRM-0332,PROP-0133,Yes,Cinematic FPV
FRM-0419,PROP-0011,TightFit,Freestyle FPV
FRM-0401,PROP-0203,Optimal,Cinematic FPV
FRM-0390,PROP-0186,TightFit,Freestyle FPV
FRM-0195,PROP-0130,Yes,Freestyle FPV
FRM-0074,PROP-0245,Yes,Long Range FPV
FRM-0112,PROP-0082,TightFit,Cinematic FPV
FRM-0106,PROP-0292,TightFit,Racing FPV
FRM-0442,PROP-0279,TightFit,Cinematic FPV
FRM-0452,PROP-0129,Optimal,Racing FPV
FRM-0240,PROP-0090,Optimal,Cinematic FPV
FRM-0213,PROP-0011,TightFit,Racing FPV
FRM-0371,PROP-0276,Yes,Long Range FPV
FRM-0071,PROP-0200,Optimal,Cinematic FPV
FRM-0001,PROP-0023,Yes,Long Range FPV
FRM-0320,PROP-0278,Optimal,Racing FPV
FRM-0029,PROP-0109,Optimal,Freestyle FPV
FRM-0143,PROP-0257,TightFit,Long Range FPV
FRM-0295,PROP-0169,Yes,Long Range FPV
FRM-0291,PROP-0007,Optimal,Racing FPV
FRM-0148,PROP-0224,Optimal,Long Range FPV
FRM-0147,PROP-0181,Yes,Freestyle FPV
FRM-0299,PROP-0019,Yes,Freestyle FPV
FRM-0088,PROP-0191,Yes,Long Range FPV
FRM-0289,PROP-0269,Yes,Cinematic FPV
FRM-0137,PROP-0120,Yes,Long Range FPV
FRM-0148,PROP-0249,Yes,Cinematic FPV
FRM-0370,PROP-0050,Optimal,Freestyle FPV
FRM-0364,PROP-0088,TightFit,Long Range FPV
FRM-0216,PROP-0131,Yes,Racing FPV
FRM-0165,PROP-0047,Yes,Racing FPV
FRM-0083,PROP-0155,Optimal,Long Range FPV
FRM-0007,PROP-0267,TightFit,Long Range FPV
FRM-0019,PROP-0159,Optimal,Racing FPV
FRM-0006,PROP-0131,Optimal,Racing FPV
FRM-0309,PROP-0096,TightFit,Freestyle FPV
FRM-0019,PROP-0179,TightFit,Cinematic FPV
FRM-0044,PROP-0163,Optimal,Racing FPV
FRM-0283,PROP-0054,TightFit,Freestyle FPV
FRM-0440,PROP-0181,Optimal,Racing FPV
FRM-0077,PROP-0144,TightFit,Cinematic FPV
FRM-0416,PROP-0029,TightFit,Racing FPV
FRM-0080,PROP-0013,TightFit,Freestyle FPV
FRM-0408,PROP-0206,TightFit,Racing FPV
FRM-0308,PROP-0056,Yes,Long Range FPV
FRM-0500,PROP-0145,TightFit,Freestyle FPV
FRM-0279,PROP-0027,TightFit,Racing FPV
FRM-0182,PROP-0069,Optimal,Cinematic FPV
FRM-0055,PROP-0246,Optimal,Racing FPV
FRM-0406,PROP-0172,Yes,Cinematic FPV
FRM-0329,PROP-0108,Optimal,Long Range FPV
FRM-0091,PROP-0189,Yes,Racing FPV
FRM-0357,PROP-0051,TightFit,Cinematic FPV
FRM-0209,PROP-0006,Optimal,Cinematic FPV
FRM-0176,PROP-0051,TightFit,Freestyle FPV
FRM-0467,PROP-0233,TightFit,Racing FPV
FRM-0192,PROP-0055,TightFit,Freestyle FPV
FRM-0484,PROP-0284,Optimal,Freestyle FPV
FRM-0211,PROP-0071,Yes,Freestyle FPV
FRM-0419,PROP-0139,TightFit,Freestyle FPV
FRM-0091,PROP-0221,Optimal,Cinematic FPV
FRM-0127,PROP-0208,TightFit,Long Range FPV
FRM-0018,PROP-0240,Yes,Freestyle FPV
FRM-0050,PROP-0076,TightFit,Freestyle FPV
FRM-0337,PROP-0244,TightFit,Cinematic FPV
FRM-0391,PROP-0060,Yes,Long Range FPV
FRM-0063,PROP-0002,Yes,Racing FPV
FRM-0418,PROP-0238,TightFit,Racing FPV
FRM-0383,PROP-0061,Optimal,Long Range FPV
FRM-0240,PROP-0280,Yes,Freestyle FPV
FRM-0246,PROP-0227,TightFit,Long Range FPV
FRM-0354,PROP-0089,Optimal,Freestyle FPV
FRM-0494,PROP-0190,Yes,Cinematic FPV
FRM-0131,PROP-0065,Optimal,Long Range FPV
FRM-0157,PROP-0084,Yes,Cinematic FPV
FRM-0307,PROP-0053,Optimal,Freestyle FPV
FRM-0380,PROP-0067,Yes,Cinematic FPV
FRM-0167,PROP-0084,Yes,Cinematic FPV
FRM-0262,PROP-0035,Optimal,Racing FPV
FRM-0245,PROP-0067,Yes,Long Range FPV
FRM-0385,PROP-0068,TightFit,Cinematic FPV
FRM-0353,PROP-0256,Optimal,Long Range FPV
FRM-0088,PROP-0030,TightFit,Long Range FPV
FRM-0096,PROP-0039,TightFit,Freestyle FPV
FRM-0062,PROP-0277,TightFit,Cinematic FPV
FRM-0247,PROP-0280,Optimal,Long Range FPV
FRM-0434,PROP-0113,TightFit,Racing FPV
FRM-0367,PROP-0135,Yes,Long Range FPV
FRM-0035,PROP-0080,Yes,Freestyle FPV
FRM-0054,PROP-0282,Yes,Cinematic FPV
FRM-0105,PROP-0086,TightFit,Cinematic FPV
FRM-0311,PROP-0107,Optimal,Racing FPV
FRM-0325,PROP-0185,Yes,Racing FPV
FRM-0074,PROP-0026,Optimal,Long Range FPV
FRM-0368,PROP-0084,Yes,Freestyle FPV
FRM-0167,PROP-0125,TightFit,Racing FPV
FRM-0096,PROP-0246,Optimal,Long Range FPV
FRM-0057,PROP-0033,Optimal,Long Range FPV
FRM-0181,PROP-0134,Yes,Cinematic FPV
FRM-0084,PROP-0099,Optimal,Freestyle FPV
FRM-0298,PROP-0271,TightFit,Racing FPV
FRM-0352,PROP-0087,Yes,Long Range FPV
FRM-0366,PROP-0079,TightFit,Racing FPV
FRM-0056,PROP-0236,Optimal,Cinematic FPV
FRM-0115,PROP-0261,TightFit,Racing FPV
FRM-0487,PROP-0135,Optimal,Cinematic FPV
FRM-0414,PROP-0052,TightFit,Racing FPV
FRM-0073,PROP-0280,Optimal,Long Range FPV
FRM-0416,PROP-0159,TightFit,Racing FPV
FRM-0491,PROP-0094,TightFit,Long Range FPV
FRM-0439,PROP-0199,TightFit,Racing FPV
FRM-0150,PROP-0299,Optimal,Freestyle FPV
FRM-0096,PROP-0185,Optimal,Racing FPV
FRM-0273,PROP-0290,Yes,Long Range FPV
FRM-0075,PROP-0256,TightFit,Freestyle FPV
FRM-0200,PROP-0239,Optimal,Freestyle FPV
FRM-0296,PROP-0033,Yes,Freestyle FPV
FRM-0212,PROP-0249,Yes,Racing FPV
FRM-0447,PROP-0161,TightFit,Long Range FPV
FRM-0078,PROP-0132,Yes,Racing FPV
FRM-0421,PROP-0067,Yes,Cinematic FPV
FRM-0258,PROP-0124,Optimal,Long Range FPV
FRM-0169,PROP-0193,Optimal,Freestyle FPV
FRM-0426,PROP-0236,Optimal,Freestyle FPV
FRM-0373,PROP-0254,Optimal,Long Range FPV
FRM-0463,PROP-0098,Yes,Cinematic FPV
FRM-0459,PROP-0085,Yes,Long Range FPV
FRM-0210,PROP-0055,Yes,Racing FPV
FRM-0093,PROP-0232,TightFit,Cinematic FPV
FRM-0351,PROP-0288,Yes,Racing FPV
FRM-0074,PROP-0049,Optimal,Cinematic FPV
FRM-0046,PROP-0259,Yes,Racing FPV
FRM-0496,PROP-0104,Yes,Long Range FPV
FRM-0468,PROP-0006,Optimal,Freestyle FPV
FRM-0134,PROP-0043,Optimal,Long Range FPV
FRM-0316,PROP-0272,TightFit,Long Range FPV
FRM-0453,PROP-0224,Optimal,Racing FPV
FRM-0231,PROP-0263,Yes,Freestyle FPV
FRM-0047,PROP-0286,Optimal,Cinematic FPV
FRM-0356,PROP-0088,Optimal,Freestyle FPV
FRM-0056,PROP-0210,TightFit,Long Range FPV
FRM-0023,PROP-0264,Yes,Racing FPV
FRM-0247,PROP-0267,Yes,Cinematic FPV
FRM-0458,PROP-0208,Yes,Freestyle FPV
FRM-0086,PROP-0192,Yes,Racing FPV
FRM-0132,PROP-0192,Optimal,Racing FPV
FRM-0245,PROP-0024,Optimal,Freestyle FPV
FRM-0187,PROP-0188,Yes,Long Range FPV
FRM-0278,PROP-0131,Yes,Racing FPV
FRM-0397,PROP-0121,Optimal,Long Range FPV
FRM-0457,PROP-0147,Optimal,Cinematic FPV
FRM-0074,PROP-0262,Optimal,Cinematic FPV
FRM-0400,PROP-0032,TightFit,Freestyle FPV
FRM-0274,PROP-0119,TightFit,Long Range FPV
FRM-0279,PROP-0282,Optimal,Cinematic FPV
FRM-0473,PROP-0037,Yes,Freestyle FPV
FRM-0199,PROP-0018,TightFit,Long Range FPV
FRM-0157,PROP-0136,TightFit,Cinematic FPV
FRM-0486,PROP-0079,Yes,Cinematic FPV
FRM-0296,PROP-0098,TightFit,Long Range FPV
FRM-0397,PROP-0152,Yes,Long Range FPV
FRM-0101,PROP-0144,TightFit,Freestyle FPV
FRM-0147,PROP-0095,Yes,Cinematic FPV
FRM-0240,PROP-0005,TightFit,Cinematic FPV
FRM-0065,PROP-0193,Optimal,Freestyle FPV
FRM-0169,PROP-0214,TightFit,Racing FPV
FRM-0234,PROP-0087,TightFit,Racing FPV
FRM-0284,PROP-0185,TightFit,Cinematic FPV
FRM-0269,PROP-0136,TightFit,Long Range FPV
FRM-0417,PROP-0298,Yes,Racing FPV
FRM-0042,PROP-0029,TightFit,Freestyle FPV
FRM-0096,PROP-0159,TightFit,Racing FPV
FRM-0415,PROP-0219,Yes,Racing FPV
FRM-0292,PROP-0145,TightFit,Freestyle FPV
FRM-0373,PROP-0067,Yes,Racing FPV
FRM-0463,PROP-0069,Yes,Freestyle FPV
FRM-0169,PROP-0179,Optimal,Racing FPV
FRM-0053,PROP-0040,Yes,Long Range FPV
FRM-0279,PROP-0220,TightFit,Racing FPV
FRM-0299,PROP-0042,TightFit,Racing FPV
FRM-0008,PROP-0153,Optimal,Freestyle FPV
FRM-0220,PROP-0203,Yes,Cinematic FPV
FRM-0362,PROP-0060,TightFit,Racing FPV
FRM-0154,PROP-0256,TightFit,Long Range FPV
FRM-0300,PROP-0002,Yes,Long Range FPV
FRM-0418,PROP-0137,TightFit,Freestyle FPV
FRM-0139,PROP-0161,Yes,Freestyle FPV
FRM-0121,PROP-0208,Optimal,Racing FPV
FRM-0218,PROP-0108,TightFit,Cinematic FPV
FRM-0037,PROP-0063,Optimal,Cinematic FPV
FRM-0491,PROP-0234,TightFit,Long Range FPV
FRM-0025,PROP-0268,TightFit,Long Range FPV
FRM-0300,PROP-0179,Yes,Freestyle FPV
FRM-0161,PROP-0285,Yes,Freestyle FPV
FRM-0474,PROP-0146,Yes,Long Range FPV
FRM-0330,PROP-0104,Optimal,Cinematic FPV
FRM-0427,PROP-0124,Yes,Freestyle FPV
FRM-0420,PROP-0020,TightFit,Freestyle FPV
FRM-0024,PROP-0245,Yes,Cinematic FPV
FRM-0387,PROP-0027,Yes,Cinematic FPV
FRM-0356,PROP-0299,TightFit,Racing FPV
FRM-0201,PROP-0003,Optimal,Cinematic FPV
FRM-0459,PROP-0028,Yes,Racing FPV
FRM-0113,PROP-0043,Optimal,Long Range FPV
FRM-0014,PROP-0057,TightFit,Racing FPV
FRM-0162,PROP-0024,TightFit,Freestyle FPV
FRM-0356,PROP-0071,Yes,Cinematic FPV
FRM-0473,PROP-0048,TightFit,Long Range FPV
FRM-0296,PROP-0053,TightFit,Racing FPV
FRM-0465,PROP-0135,TightFit,Long Range FPV
FRM-0405,PROP-0030,TightFit,Long Range FPV
FRM-0253,PROP-0211,Optimal,Racing FPV
FRM-0342,PROP-0070,TightFit,Long Range FPV
FRM-0490,PROP-0082,TightFit,Freestyle FPV
FRM-0171,PROP-0175,Optimal,Long Range FPV
FRM-0430,PROP-0110,Optimal,Racing FPV
FRM-0385,PROP-0080,TightFit,Long Range FPV
FRM-0110,PROP-0295,Yes,Freestyle FPV
FRM-0224,PROP-0268,Optimal,Cinematic FPV
FRM-0238,PROP-0180,Optimal,Racing FPV
FRM-0191,PROP-0086,TightFit,Freestyle FPV
FRM-0205,PROP-0126,TightFit,Long Range FPV
FRM-0310,PROP-0277,Yes,Freestyle FPV
FRM-0166,PROP-0277,Optimal,Racing FPV
FRM-0089,PROP-0275,TightFit,Cinematic FPV
FRM-0380,PROP-0275,TightFit,Long Range FPV
FRM-0065,PROP-0084,TightFit,Racing FPV
FRM-0038,PROP-0030,TightFit,Racing FPV
FRM-0385,PROP-0168,Yes,Racing FPV
FRM-0205,PROP-0200,Yes,Freestyle FPV
FRM-0009,PROP-0095,Yes,Freestyle FPV
FRM-0435,PROP-0116,Yes,Long Range FPV
FRM-0182,PROP-0238,Optimal,Cinematic FPV
FRM-0422,PROP-0143,TightFit,Cinematic FPV
FRM-0413,PROP-0110,Yes,Racing FPV
FRM-0459,PROP-0083,Yes,Racing FPV
FRM-0214,PROP-0027,Optimal,Long Range FPV
FRM-0263,PROP-0106,Yes,Long Range FPV
FRM-0056,PROP-0210,TightFit,Freestyle FPV
FRM-0158,PROP-0172,Optimal,Cinematic FPV
FRM-0050,PROP-0139,TightFit,Racing FPV
FRM-0377,PROP-0263,Yes,Freestyle FPV
FRM-0129,PROP-0025,TightFit,Racing FPV
FRM-0024,PROP-0066,Yes,Long Range FPV
FRM-0272,PROP-0233,TightFit,Racing FPV
FRM-0367,PROP-0197,TightFit,Freestyle FPV
FRM-0183,PROP-0056,Optimal,Freestyle FPV
FRM-0470,PROP-0149,Optimal,Freestyle FPV
FRM-0187,PROP-0238,TightFit,Freestyle FPV
FRM-0119,PROP-0254,Yes,Freestyle FPV
FRM-0318,PROP-0087,TightFit,Freestyle FPV
FRM-0169,PROP-0178,TightFit,Racing FPV
FRM-0448,PROP-0004,TightFit,Long Range FPV
FRM-0079,PROP-0033,Optimal,Racing FPV
FRM-0466,PROP-0101,Yes,Freestyle FPV
FRM-0479,PROP-0032,Optimal,Cinematic FPV
FRM-0491,PROP-0217,Optimal,Long Range FPV
FRM-0343,PROP-0226,TightFit,Cinematic FPV
FRM-0319,PROP-0296,Yes,Racing FPV
FRM-0184,PROP-0033,TightFit,Cinematic FPV
FRM-0442,PROP-0103,Yes,Cinematic FPV
FRM-0469,PROP-0036,Yes,Racing FPV
FRM-0381,PROP-0145,Optimal,Racing FPV
FRM-0314,PROP-0201,TightFit,Racing FPV
FRM-0050,PROP-0168,Yes,Cinematic FPV
FRM-0389,PROP-0050,Optimal,Cinematic FPV
FRM-0179,PROP-0006,Optimal,Cinematic FPV
FRM-0032,PROP-0258,TightFit,Cinematic FPV
FRM-0156,PROP-0096,TightFit,Cinematic FPV
FRM-0033,PROP-0184,Optimal,Racing FPV
FRM-0385,PROP-0263,TightFit,Racing FPV
FRM-0305,PROP-0031,TightFit,Freestyle FPV
FRM-0387,PROP-0165,Optimal,Freestyle FPV
FRM-0444,PROP-0097,TightFit,Freestyle FPV
FRM-0455,PROP-0267,Optimal,Long Range FPV
FRM-0351,PROP-0001,Yes,Racing FPV
FRM-0265,PROP-0258,Optimal,Cinematic FPV
FRM-0112,PROP-0164,TightFit,Long Range FPV
FRM-0012,PROP-0232,Optimal,Freestyle FPV
FRM-0035,PROP-0196,TightFit,Long Range FPV
FRM-0034,PROP-0063,Yes,Cinematic FPV
FRM-0173,PROP-0190,Optimal,Cinematic FPV
FRM-0143,PROP-0047,Yes,Racing FPV
FRM-0052,PROP-0224,TightFit,Long Range FPV
FRM-0035,PROP-0284,Optimal,Cinematic FPV
FRM-0191,PROP-0071,Optimal,Freestyle FPV
FRM-0370,PROP-0155,Yes,Long Range FPV
FRM-0308,PROP-0174,Optimal,Long Range FPV
FRM-0260,PROP-0014,Yes,Long Range FPV
FRM-0358,PROP-0031,Optimal,Cinematic FPV
FRM-0297,PROP-0237,Optimal,Cinematic FPV
FRM-0060,PROP-0072,Yes,Freestyle FPV
FRM-0318,PROP-0175,Yes,Long Range FPV
FRM-0280,PROP-0096,Optimal,Long Range FPV
FRM-0315,PROP-0134,Optimal,Racing FPV
FRM-0216,PROP-0007,Optimal,Racing FPV
FRM-0279,PROP-0189,Yes,Freestyle FPV
FRM-0058,PROP-0151,Optimal,Racing FPV
FRM-0252,PROP-0288,Optimal,Freestyle FPV
FRM-0216,PROP-0021,TightFit,Racing FPV
FRM-0467,PROP-0293,TightFit,Racing FPV
FRM-0422,PROP-0237,Yes,Long Range FPV
FRM-0500,PROP-0002,Yes,Cinematic FPV
FRM-0363,PROP-0231,TightFit,Freestyle FPV
FRM-0438,PROP-0049,TightFit,Freestyle FPV
FRM-0476,PROP-0063,TightFit,Cinematic FPV
FRM-0171,PROP-0007,Optimal,Cinematic FPV
FRM-0290,PROP-0242,Optimal,Long Range FPV
FRM-0121,PROP-0114,TightFit,Long Range FPV
FRM-0498,PROP-0113,Yes,Racing FPV
FRM-0272,PROP-0159,Yes,Freestyle FPV
FRM-0419,PROP-0102,Yes,Freestyle FPV
