ESCID,MotorID,CompatibilityLevel,RecommendedUse
ESC-0063,MTR-0218,Safe,Freestyle FPV
ESC-0144,MTR-0345,Safe,Industrial UAV
ESC-0290,MTR-0151,HighPerformance,Racing FPV
ESC-0174,MTR-0425,Recommended,Freestyle FPV
ESC-0105,MTR-0442,Recommended,Freestyle FPV
ESC-0004,MTR-0167,Recommended,Cinematic FPV
ESC-0233,MTR-0317,HighPerformance,Cinematic FPV
ESC-0208,MTR-0222,HighPerformance,Freestyle FPV
ESC-0158,MTR-0178,Safe,Racing FPV
ESC-0194,MTR-0190,Safe,Cinematic FPV
ESC-0289,MTR-0160,Recommended,Racing FPV
ESC-0147,MTR-0045,Safe,Long Range FPV
ESC-0295,MTR-0394,Safe,Long Range FPV
ESC-0108,MTR-0431,HighPerformance,Industrial UAV
ESC-0104,MTR-0290,HighPerformance,Long Range FPV
ESC-0084,MTR-0080,HighPerformance,Long Range FPV
ESC-0282,MTR-0057,Safe,Industrial UAV
ESC-0058,MTR-0328,Recommended,Racing FPV
ESC-0063,MTR-0019,Recommended,Cinematic FPV
ESC-0100,MTR-0106,HighPerformance,Racing FPV
ESC-0068,MTR-0031,HighPerformance,Racing FPV
ESC-0117,MTR-0007,Safe,Industrial UAV
ESC-0011,MTR-0146,Recommended,Long Range FPV
ESC-0174,MTR-0070,Recommended,Industrial UAV
ESC-0030,MTR-0275,HighPerformance,Racing FPV
ESC-0152,MTR-0182,Recommended,Racing FPV
ESC-0248,MTR-0219,Safe,Cinematic FPV
ESC-0166,MTR-0248,Safe,Freestyle FPV
ESC-0195,MTR-0093,Recommended,Long Range FPV
ESC-0291,MTR-0305,Safe,Racing FPV
ESC-0218,MTR-0130,Recommended,Long Range FPV
ESC-0127,MTR-0470,Safe,Industrial UAV
ESC-0106,MTR-0326,Recommended,Cinematic FPV
ESC-0205,MTR-0343,Safe,Cinematic FPV
ESC-0215,MTR-0414,Recommended,Racing FPV
ESC-0143,MTR-0194,Recommended,Freestyle FPV
ESC-0134,MTR-0376,Safe,Freestyle FPV
ESC-0242,MTR-0241,Recommended,Freestyle FPV
ESC-0146,MTR-0043,Recommended,Cinematic FPV
ESC-0276,MTR-0095,Safe,Industrial UAV
ESC-0278,MTR-0376,Recommended,Cinematic FPV
ESC-0150,MTR-0166,HighPerformance,Long Range FPV
ESC-0047,MTR-0165,Recommended,Racing FPV
ESC-0257,MTR-0165,HighPerformance,Industrial UAV
ESC-0142,MTR-0218,Safe,Long Range FPV
ESC-0059,MTR-0335,Recommended,Cinematic FPV
ESC-0214,MTR-0317,Recommended,Racing FPV
ESC-0254,MTR-0289,HighPerformance,Freestyle FPV
ESC-0272,MTR-0444,HighPerformance,Racing FPV
ESC-0008,MTR-0173,Safe,Cinematic FPV
ESC-0030,MTR-0363,Recommended,Racing FPV
ESC-0118,MTR-0132,Recommended,Industrial UAV
ESC-0003,MTR-0489,HighPerformance,Cinematic FPV
ESC-0241,MTR-0167,HighPerformance,Freestyle FPV
ESC-0167,MTR-0069,Recommended,Industrial UAV
ESC-0092,MTR-0081,Recommended,Racing FPV
ESC-0132,MTR-0374,HighPerformance,Industrial UAV
ESC-0175,MTR-0214,HighPerformance,Racing FPV
ESC-0283,MTR-0395,HighPerformance,Long Range FPV
ESC-0077,MTR-0229,Recommended,Cinematic FPV
ESC-0203,MTR-0472,HighPerformance,Long Range FPV
ESC-0218,MTR-0138,HighPerformance,Racing FPV
ESC-0098,MTR-0241,HighPerformance,Freestyle FPV
ESC-0011,MTR-0089,Recommended,Long Range FPV
ESC-0180,MTR-0335,Safe,Long Range FPV
ESC-0175,MTR-0362,Recommended,Freestyle FPV
ESC-0266,MTR-0313,Recommended,Freestyle FPV
ESC-0032,MTR-0415,Safe,Cinematic FPV
ESC-0093,MTR-0411,HighPerformance,Long Range FPV
ESC-0294,MTR-0489,Safe,Racing FPV
ESC-0031,MTR-0408,Safe,Cinematic FPV
ESC-0020,MTR-0483,Safe,Cinematic FPV
ESC-0089,MTR-0124,HighPerformance,Freestyle FPV
ESC-0123,MTR-0224,HighPerformance,Cinematic FPV
ESC-0067,MTR-0090,Safe,Freestyle FPV
ESC-0026,MTR-0216,Safe,Racing FPV
ESC-0248,MTR-0085,Safe,Long Range FPV
ESC-0289,MTR-0172,Safe,Cinematic FPV
ESC-0056,MTR-0112,HighPerformance,Freestyle FPV
ESC-0094,MTR-0495,Recommended,Long Range FPV
ESC-0139,MTR-0422,Recommended,Industrial UAV
ESC-0190,MTR-0434,Safe,Cinematic FPV
ESC-0074,MTR-0177,Safe,Racing FPV
ESC-0294,MTR-0488,HighPerformance,Freestyle FPV
ESC-0054,MTR-0154,HighPerformance,Industrial UAV
ESC-0278,MTR-0072,Recommended,Racing FPV
ESC-0130,MTR-0239,Safe,Cinematic FPV
ESC-0242,MTR-0233,HighPerformance,Freestyle FPV
ESC-0212,MTR-0370,HighPerformance,Freestyle FPV
ESC-0269,MTR-0147,Safe,Industrial UAV
ESC-0002,MTR-0064,Safe,Long Range FPV
ESC-0109,MTR-0339,Recommended,Industrial UAV
ESC-0023,MTR-0357,Recommended,Industrial UAV
ESC-0238,MTR-0179,HighPerformance,Cinematic FPV
ESC-0119,MTR-0209,Recommended,Racing FPV
ESC-0011,MTR-0050,HighPerformance,Cinematic FPV
ESC-0173,MTR-0006,Recommended,Cinematic FPV
ESC-0260,MTR-0450,HighPerformance,Industrial UAV
ESC-0027,MTR-0123,Recommended,Industrial UAV
ESC-0028,MTR-0031,Safe,Racing FPV
ESC-0210,MTR-0388,Safe,Industrial UAV
ESC-0094,MTR-0164,HighPerformance,Racing FPV
ESC-0236,MTR-0093,Safe,Freestyle FPV
ESC-0090,MTR-0300,HighPerformance,Long Range FPV
ESC-0290,MTR-0479,Recommended,Long Range FPV
ESC-0196,MTR-0164,HighPerformance,Freestyle FPV
ESC-0126,MTR-0199,Safe,Long Range FPV
ESC-0144,MTR-0135,HighPerformance,Industrial UAV
ESC-0201,MTR-0310,HighPerformance,Cinematic FPV
ESC-0115,MTR-0105,Recommended,Industrial UAV
ESC-0027,MTR-0007,Safe,Freestyle FPV
ESC-0066,MTR-0429,HighPerformance,Industrial UAV
ESC-0234,MTR-0154,Recommended,Long Range FPV
ESC-0114,MTR-0263,Recommended,Freestyle FPV
ESC-0222,MTR-0120,Safe,Freestyle FPV
ESC-0084,MTR-0390,Recommended,Racing FPV
ESC-0223,MTR-0180,HighPerformance,Freestyle FPV
ESC-0183,MTR-0137,HighPerformance,Long Range FPV
ESC-0093,MTR-0453,HighPerformance,Racing FPV
ESC-0268,MTR-0359,Recommended,Racing FPV
ESC-0178,MTR-0024,Recommended,Industrial UAV
ESC-0188,MTR-0121,Recommended,Cinematic FPV
ESC-0204,MTR-0493,HighPerformance,Racing FPV
ESC-0131,MTR-0268,Recommended,Racing FPV
ESC-0156,MTR-0362,HighPerformance,Freestyle FPV
ESC-0108,MTR-0404,Safe,Industrial UAV
ESC-0022,MTR-0347,Recommended,Cinematic FPV
ESC-0033,MTR-0417,Safe,Racing FPV
ESC-0103,MTR-0272,HighPerformance,Freestyle FPV
ESC-0023,MTR-0070,Safe,Cinematic FPV
ESC-0220,MTR-0483,HighPerformance,Industrial UAV
ESC-0077,MTR-0260,Recommended,Industrial UAV
ESC-0241,MTR-0215,Safe,Freestyle FPV
ESC-0249,MTR-0028,HighPerformance,Long Range FPV
ESC-0219,MTR-0076,Recommended,Industrial UAV
ESC-0263,MTR-0171,Safe,Industrial UAV
ESC-0120,MTR-0099,Recommended,Cinematic FPV
ESC-0222,MTR-0449,Recommended,Racing FPV
ESC-0300,MTR-0435,Safe,Long Range FPV
ESC-0098,MTR-0308,HighPerformance,Cinematic FPV
ESC-0174,MTR-0381,Recommended,Long Range FPV
ESC-0116,MTR-0409,HighPerformance,Racing FPV
ESC-0124,MTR-0429,HighPerformance,Freestyle FPV
ESC-0116,MTR-0019,Safe,Cinematic FPV
ESC-0102,MTR-0165,Recommended,Cinematic FPV
ESC-0251,MTR-0263,Safe,Cinematic FPV
ESC-0236,MTR-0376,HighPerformance,Racing FPV
ESC-0291,MTR-0209,Safe,Freestyle FPV
ESC-0229,MTR-0266,Recommended,Freestyle FPV
ESC-0280,MTR-0417,Safe,Freestyle FPV
ESC-0056,MTR-0298,Safe,Industrial UAV
ESC-0025,MTR-0097,Recommended,Cinematic FPV
ESC-0089,MTR-0185,HighPerformance,Cinematic FPV
ESC-0206,MTR-0181,Recommended,Long Range FPV
ESC-0009,MTR-0245,Safe,Long Range FPV
ESC-0202,MTR-0210,Safe,Freestyle FPV
ESC-0168,MTR-0095,Safe,Long Range FPV
ESC-0191,MTR-0192,Recommended,Industrial UAV
ESC-0227,MTR-0385,Safe,Freestyle FPV
ESC-0254,MTR-0085,Safe,Industrial UAV
ESC-0155,MTR-0034,Recommended,Cinematic FPV
ESC-0033,MTR-0486,Safe,Long Range FPV
ESC-0266,MTR-0281,HighPerformance,Cinematic FPV
ESC-0277,MTR-0172,Recommended,Freestyle FPV
ESC-0148,MTR-0451,Recommended,Long Range FPV
ESC-0248,MTR-0203,Recommended,Long Range FPV
ESC-0250,MTR-0275,Recommended,Cinematic FPV
ESC-0239,MTR-0027,HighPerformance,Industrial UAV
ESC-0120,MTR-0104,Recommended,Industrial UAV
ESC-0099,MTR-0232,Safe,Racing FPV
ESC-0203,MTR-0111,Recommended,Racing FPV
ESC-0023,MTR-0443,HighPerformance,Industrial UAV
ESC-0283,MTR-0457,Recommended,Freestyle FPV
ESC-0195,MTR-0286,Recommended,Racing FPV
ESC-0219,MTR-0005,Safe,Racing FPV
ESC-0079,MTR-0458,HighPerformance,Racing FPV
ESC-0083,MTR-0384,HighPerformance,Racing FPV
ESC-0029,MTR-0194,Recommended,Long Range FPV
ESC-0257,MTR-0160,Recommended,Racing FPV
ESC-0258,MTR-0309,HighPerformance,Freestyle FPV
ESC-0036,MTR-0147,Recommended,Cinematic FPV
ESC-0283,MTR-0085,Recommended,Freestyle FPV
ESC-0292,MTR-0061,Recommended,Industrial UAV
ESC-0290,MTR-0012,HighPerformance,Racing FPV
ESC-0236,MTR-0289,Safe,Racing FPV
ESC-0149,MTR-0038,Recommended,Freestyle FPV
ESC-0182,MTR-0386,HighPerformance,Cinematic FPV
ESC-0111,MTR-0410,HighPerformance,Cinematic FPV
ESC-0226,MTR-0221,Safe,Long Range FPV
ESC-0006,MTR-0350,HighPerformance,Freestyle FPV
ESC-0094,MTR-0184,Safe,Cinematic FPV
ESC-0283,MTR-0338,HighPerformance,Racing FPV
ESC-0121,MTR-0285,HighPerformance,Long Range FPV
ESC-0045,MTR-0071,Recommended,Racing FPV
ESC-0165,MTR-0216,Recommended,Freestyle FPV
ESC-0127,MTR-0011,HighPerformance,Freestyle FPV
ESC-0114,MTR-0023,Safe,Cinematic FPV
ESC-0173,MTR-0205,HighPerformance,Industrial UAV
ESC-0052,MTR-0207,Safe,Long Range FPV
ESC-0047,MTR-0412,HighPerformance,Freestyle FPV
ESC-0124,MTR-0152,Recommended,Cinematic FPV
ESC-0142,MTR-0147,HighPerformance,Industrial UAV
ESC-0225,MTR-0256,HighPerformance,Industrial UAV
ESC-0284,MTR-0471,Recommended,Industrial UAV
ESC-0038,MTR-0280,Safe,Industrial UAV
ESC-0122,MTR-0063,HighPerformance,Freestyle FPV
ESC-0169,MTR-0278,Safe,Cinematic FPV
ESC-0126,MTR-0285,Recommended,Cinematic FPV
ESC-0089,MTR-0263,Recommended,Cinematic FPV
ESC-0055,MTR-0062,HighPerformance,Cinematic FPV
ESC-0040,MTR-0452,Safe,Freestyle FPV
ESC-0248,MTR-0045,Recommended,Cinematic FPV
ESC-0177,MTR-0217,Recommended,Racing FPV
ESC-0179,MTR-0163,Safe,Freestyle FPV
ESC-0161,MTR-0354,Safe,Industrial UAV
ESC-0087,MTR-0273,Recommended,Industrial UAV
ESC-0010,MTR-0411,HighPerformance,Long Range FPV
ESC-0088,MTR-0010,Recommended,Long Range FPV
ESC-0026,MTR-0161,Safe,Racing FPV
ESC-0016,MTR-0085,HighPerformance,Industrial UAV
ESC-0270,MTR-0112,Recommended,Long Range FPV
ESC-0005,MTR-0001,HighPerformance,Racing FPV
ESC-0175,MTR-0332,Safe,Racing FPV
ESC-0070,MTR-0483,HighPerformance,Cinematic FPV
ESC-0036,MTR-0109,Safe,Long Range FPV
ESC-0245,MTR-0206,Recommended,Long Range FPV
ESC-0019,MTR-0080,HighPerformance,Industrial UAV
ESC-0165,MTR-0030,Recommended,Racing FPV
ESC-0185,MTR-0209,HighPerformance,Industrial UAV
ESC-0105,MTR-0493,Recommended,Racing FPV
ESC-0222,MTR-0135,HighPerformance,Cinematic FPV
ESC-0167,MTR-0011,HighPerformance,Freestyle FPV
ESC-0279,MTR-0439,Recommended,Racing FPV
ESC-0247,MTR-0335,Safe,Industrial UAV
ESC-0123,MTR-0320,Safe,Cinematic FPV
ESC-0051,MTR-0202,Safe,Racing FPV
ESC-0061,MTR-0198,Safe,Industrial UAV
ESC-0288,MTR-0068,HighPerformance,Industrial UAV
ESC-0195,MTR-0392,Recommended,Long Range FPV
ESC-0081,MTR-0390,HighPerformance,Freestyle FPV
ESC-0083,MTR-0233,Safe,Racing FPV
ESC-0155,MTR-0465,Safe,Freestyle FPV
ESC-0198,MTR-0452,HighPerformance,Racing FPV
ESC-0161,MTR-0353,Safe,Industrial UAV
ESC-0155,MTR-0136,Safe,Cinematic FPV
ESC-0149,MTR-0097,HighPerformance,Industrial UAV
ESC-0203,MTR-0348,Safe,Freestyle FPV
ESC-0033,MTR-0246,Safe,Long Range FPV
ESC-0240,MTR-0178,HighPerformance,Cinematic FPV
ESC-0218,MTR-0208,Safe,Industrial UAV
ESC-0159,MTR-0284,Recommended,Industrial UAV
ESC-0122,MTR-0468,HighPerformance,Cinematic FPV
ESC-0056,MTR-0163,Recommended,Long Range FPV
ESC-0010,MTR-0149,Recommended,Racing FPV
ESC-0019,MTR-0156,HighPerformance,Long Range FPV
ESC-0240,MTR-0359,HighPerformance,Racing FPV
ESC-0026,MTR-0289,HighPerformance,Cinematic FPV
ESC-0030,MTR-0364,HighPerformance,Industrial UAV
ESC-0289,MTR-0129,Safe,Freestyle FPV
ESC-0061,MTR-0335,Safe,Racing FPV
ESC-0130,MTR-0313,HighPerformance,Industrial UAV
ESC-0198,MTR-0131,HighPerformance,Freestyle FPV
ESC-0127,MTR-0476,Safe,Racing FPV
ESC-0166,MTR-0125,Safe,Racing FPV
ESC-0294,MTR-0064,HighPerformance,Cinematic FPV
ESC-0255,MTR-0268,Safe,Industrial UAV
ESC-0122,MTR-0298,Recommended,Freestyle FPV
ESC-0249,MTR-0146,Recommended,Freestyle FPV
ESC-0105,MTR-0392,HighPerformance,Racing FPV
ESC-0186,MTR-0204,Safe,Freestyle FPV
ESC-0064,MTR-0401,HighPerformance,Cinematic FPV
ESC-0272,MTR-0111,HighPerformance,Industrial UAV
ESC-0174,MTR-0062,HighPerformance,Racing FPV
ESC-0147,MTR-0207,Recommended,Long Range FPV
ESC-0139,MTR-0481,Recommended,Long Range FPV
ESC-0113,MTR-0016,Safe,Racing FPV
ESC-0275,MTR-0037,HighPerformance,Freestyle FPV
ESC-0154,MTR-0487,Recommended,Industrial UAV
ESC-0251,MTR-0300,Safe,Freestyle FPV
ESC-0211,MTR-0058,HighPerformance,Long Range FPV
ESC-0056,MTR-0443,HighPerformance,Long Range FPV
ESC-0132,MTR-0322,Recommended,Racing FPV
ESC-0036,MTR-0295,Safe,Industrial UAV
ESC-0092,MTR-0226,Safe,Industrial UAV
ESC-0028,MTR-0330,HighPerformance,Freestyle FPV
ESC-0207,MTR-0497,Safe,Long Range FPV
ESC-0275,MTR-0073,HighPerformance,Industrial UAV
ESC-0243,MTR-0079,HighPerformance,Cinematic FPV
ESC-0255,MTR-0220,HighPerformance,Cinematic FPV
ESC-0204,MTR-0388,Safe,Cinematic FPV
ESC-0220,MTR-0034,Recommended,Industrial UAV
ESC-0247,MTR-0131,Recommended,Racing FPV
ESC-0119,MTR-0128,Recommended,Long Range FPV
ESC-0025,MTR-0051,HighPerformance,Industrial UAV
ESC-0268,MTR-0440,Recommended,Cinematic FPV
ESC-0088,MTR-0019,HighPerformance,Racing FPV
ESC-0112,MTR-0138,Safe,Cinematic FPV
ESC-0241,MTR-0244,HighPerformance,Freestyle FPV
ESC-0186,MTR-0175,Safe,Freestyle FPV
ESC-0067,MTR-0380,Recommended,Cinematic FPV
ESC-0260,MTR-0399,HighPerformance,Long Range FPV
ESC-0239,MTR-0021,Recommended,Cinematic FPV
ESC-0178,MTR-0006,HighPerformance,Industrial UAV
ESC-0190,MTR-0117,Safe,Cinematic FPV
ESC-0012,MTR-0391,Safe,Cinematic FPV
ESC-0163,MTR-0173,Recommended,Long Range FPV
ESC-0148,MTR-0353,Recommended,Cinematic FPV
ESC-0276,MTR-0435,HighPerformance,Industrial UAV
ESC-0177,MTR-0008,HighPerformance,Freestyle FPV
ESC-0164,MTR-0331,Safe,Racing FPV
ESC-0035,MTR-0496,Recommended,Cinematic FPV
ESC-0268,MTR-0153,Safe,Cinematic FPV
ESC-0277,MTR-0136,Safe,Long Range FPV
ESC-0234,MTR-0402,HighPerformance,Racing FPV
ESC-0086,MTR-0277,HighPerformance,Industrial UAV
ESC-0098,MTR-0459,Recommended,Racing FPV
ESC-0253,MTR-0403,HighPerformance,Cinematic FPV
ESC-0299,MTR-0328,Safe,Industrial UAV
ESC-0098,MTR-0347,HighPerformance,Cinematic FPV
ESC-0102,MTR-0158,Safe,Industrial UAV
ESC-0247,MTR-0090,HighPerformance,Cinematic FPV
ESC-0110,MTR-0228,Recommended,Freestyle FPV
ESC-0192,MTR-0437,Recommended,Freestyle FPV
ESC-0083,MTR-0428,Safe,Long Range FPV
ESC-0300,MTR-0175,Safe,Industrial UAV
ESC-0178,MTR-0183,Recommended,Industrial UAV
ESC-0059,MTR-0468,HighPerformance,Racing FPV
ESC-0174,MTR-0166,Safe,Cinematic FPV
ESC-0229,MTR-0479,Safe,Long Range FPV
ESC-0048,MTR-0016,Recommended,Racing FPV
ESC-0177,MTR-0032,Recommended,Industrial UAV
ESC-0267,MTR-0372,Safe,Industrial UAV
ESC-0144,MTR-0371,Safe,Cinematic FPV
ESC-0151,MTR-0183,HighPerformance,Racing FPV
ESC-0148,MTR-0194,Recommended,Freestyle FPV
ESC-0213,MTR-0421,HighPerformance,Long Range FPV
ESC-0149,MTR-0276,Recommended,Freestyle FPV
ESC-0197,MTR-0283,Safe,Industrial UAV
ESC-0035,MTR-0326,HighPerformance,Racing FPV
ESC-0084,MTR-0067,HighPerformance,Racing FPV
ESC-0015,MTR-0429,HighPerformance,Freestyle FPV
ESC-0294,MTR-0048,HighPerformance,Long Range FPV
ESC-0135,MTR-0140,Safe,Industrial UAV
ESC-0158,MTR-0100,HighPerformance,Long Range FPV
ESC-0078,MTR-0420,Recommended,Industrial UAV
ESC-0111,MTR-0278,Recommended,Racing FPV
ESC-0242,MTR-0460,Recommended,Freestyle FPV
ESC-0229,MTR-0344,Recommended,Freestyle FPV
ESC-0137,MTR-0217,Safe,Freestyle FPV
ESC-0189,MTR-0012,HighPerformance,Cinematic FPV
ESC-0229,MTR-0297,Recommended,Long Range FPV
ESC-0121,MTR-0341,HighPerformance,Long Range FPV
ESC-0097,MTR-0158,Recommended,Industrial UAV
ESC-0094,MTR-0187,Safe,Freestyle FPV
ESC-0040,MTR-0386,Safe,Cinematic FPV
ESC-0156,MTR-0395,Recommended,Industrial UAV
ESC-0293,MTR-0347,HighPerformance,Cinematic FPV
ESC-0110,MTR-0347,HighPerformance,Long Range FPV
ESC-0254,MTR-0235,Safe,Long Range FPV
ESC-0102,MTR-0126,Safe,Freestyle FPV
ESC-0102,MTR-0154,HighPerformance,Industrial UAV
ESC-0106,MTR-0102,Safe,Long Range FPV
ESC-0107,MTR-0325,HighPerformance,Freestyle FPV
ESC-0128,MTR-0448,Safe,Industrial UAV
ESC-0233,MTR-0171,HighPerformance,Racing FPV
ESC-0142,MTR-0130,Recommended,Long Range FPV
ESC-0164,MTR-0422,Safe,Freestyle FPV
ESC-0256,MTR-0294,Recommended,Freestyle FPV
ESC-0239,MTR-0447,HighPerformance,Freestyle FPV
ESC-0257,MTR-0391,HighPerformance,Industrial UAV
ESC-0215,MTR-0234,Safe,Long Range FPV
ESC-0003,MTR-0085,Safe,Freestyle FPV
ESC-0260,MTR-0353,HighPerformance,Freestyle FPV
ESC-0259,MTR-0131,Recommended,Long Range FPV
ESC-0251,MTR-0081,Safe,Long Range FPV
ESC-0170,MTR-0365,Recommended,Racing FPV
ESC-0214,MTR-0460,Safe,Racing FPV
ESC-0129,MTR-0041,Safe,Cinematic FPV
ESC-0044,MTR-0124,Recommended,Freestyle FPV
ESC-0299,MTR-0491,HighPerformance,Long Range FPV
ESC-0043,MTR-0439,HighPerformance,Cinematic FPV
ESC-0262,MTR-0103,HighPerformance,Racing FPV
ESC-0255,MTR-0081,Safe,Long Range FPV
ESC-0295,MTR-0377,HighPerformance,Long Range FPV
ESC-0091,MTR-0357,Safe,Cinematic FPV
ESC-0258,MTR-0482,Safe,Industrial UAV
ESC-0068,MTR-0012,HighPerformance,Cinematic FPV
ESC-0194,MTR-0363,HighPerformance,Racing FPV
ESC-0245,MTR-0336,HighPerformance,Industrial UAV
ESC-0276,MTR-0221,Safe,Cinematic FPV
ESC-0143,MTR-0001,Recommended,Cinematic FPV
ESC-0145,MTR-0132,Recommended,Racing FPV
ESC-0145,MTR-0157,Safe,Racing FPV
ESC-0105,MTR-0344,HighPerformance,Racing FPV
ESC-0191,MTR-0467,HighPerformance,Cinematic FPV
ESC-0287,MTR-0251,Recommended,Freestyle FPV
ESC-0259,MTR-0347,HighPerformance,Industrial UAV
ESC-0158,MTR-0168,HighPerformance,Industrial UAV
ESC-0207,MTR-0196,Safe,Racing FPV
ESC-0257,MTR-0416,Recommended,Racing FPV
ESC-0283,MTR-0443,Safe,Industrial UAV
ESC-0006,MTR-0422,Safe,Long Range FPV
ESC-0218,MTR-0366,HighPerformance,Freestyle FPV
ESC-0124,MTR-0087,Recommended,Racing FPV
ESC-0280,MTR-0314,Safe,Cinematic FPV
ESC-0300,MTR-0006,HighPerformance,Industrial UAV
ESC-0161,MTR-0210,Recommended,Freestyle FPV
ESC-0228,MTR-0183,HighPerformance,Freestyle FPV
ESC-0141,MTR-0007,HighPerformance,Freestyle FPV
ESC-0009,MTR-0204,HighPerformance,Freestyle FPV
ESC-0003,MTR-0384,Recommended,Industrial UAV
ESC-0195,MTR-0448,Recommended,Freestyle FPV
ESC-0142,MTR-0156,Safe,Racing FPV
ESC-0179,MTR-0184,Safe,Industrial UAV
ESC-0099,MTR-0394,HighPerformance,Racing FPV
ESC-0113,MTR-0381,Recommended,Freestyle FPV
ESC-0270,MTR-0136,Safe,Freestyle FPV
ESC-0196,MTR-0444,Safe,Cinematic FPV
ESC-0157,MTR-0493,HighPerformance,Cinematic FPV
ESC-0188,MTR-0169,HighPerformance,Long Range FPV
ESC-0238,MTR-0059,Safe,Cinematic FPV
ESC-0086,MTR-0236,Safe,Cinematic FPV
ESC-0242,MTR-0307,Recommended,Freestyle FPV
ESC-0011,MTR-0234,Recommended,Industrial UAV
ESC-0236,MTR-0364,HighPerformance,Freestyle FPV
ESC-0271,MTR-0438,Recommended,Racing FPV
ESC-0158,MTR-0324,Safe,Racing FPV
ESC-0017,MTR-0337,Recommended,Industrial UAV
ESC-0045,MTR-0393,HighPerformance,Cinematic FPV
ESC-0233,MTR-0234,Recommended,Freestyle FPV
ESC-0155,MTR-0094,HighPerformance,Racing FPV
ESC-0240,MTR-0485,HighPerformance,Industrial UAV
ESC-0254,MTR-0094,Recommended,Cinematic FPV
ESC-0227,MTR-0371,Recommended,Industrial UAV
ESC-0298,MTR-0428,HighPerformance,Freestyle FPV
ESC-0299,MTR-0400,Recommended,Freestyle FPV
ESC-0196,MTR-0343,Safe,Racing FPV
ESC-0042,MTR-0083,Recommended,Freestyle FPV
ESC-0115,MTR-0413,HighPerformance,Racing FPV
ESC-0154,MTR-0357,Safe,Racing FPV
ESC-0069,MTR-0138,Safe,Long Range FPV
ESC-0277,MTR-0466,HighPerformance,Cinematic FPV
ESC-0233,MTR-0288,Recommended,Long Range FPV
ESC-0224,MTR-0417,Safe,Long Range FPV
ESC-0091,MTR-0239,HighPerformance,Long Range FPV
ESC-0126,MTR-0374,HighPerformance,Freestyle FPV
ESC-0122,MTR-0450,Recommended,Freestyle FPV
ESC-0264,MTR-0449,HighPerformance,Cinematic FPV
ESC-0068,MTR-0219,HighPerformance,Racing FPV
ESC-0273,MTR-0150,Recommended,Freestyle FPV
ESC-0229,MTR-0004,Recommended,Freestyle FPV
ESC-0241,MTR-0065,Safe,Cinematic FPV
ESC-0042,MTR-0014,Safe,Industrial UAV
ESC-0069,MTR-0253,HighPerformance,Freestyle FPV
ESC-0148,MTR-0459,Recommended,Racing FPV
ESC-0274,MTR-0193,Recommended,Long Range FPV
ESC-0223,MTR-0359,HighPerformance,Long Range FPV
ESC-0067,MTR-0083,HighPerformance,Racing FPV
ESC-0061,MTR-0392,HighPerformance,Racing FPV
ESC-0295,MTR-0200,HighPerformance,Cinematic FPV
ESC-0205,MTR-0288,Recommended,Long Range FPV
ESC-0154,MTR-0386,Recommended,Freestyle FPV
ESC-0060,MTR-0293,HighPerformance,Industrial UAV
ESC-0082,MTR-0248,Safe,Long Range FPV
ESC-0183,MTR-0218,Safe,Freestyle FPV
ESC-0122,MTR-0440,Recommended,Cinematic FPV
ESC-0236,MTR-0466,Recommended,Industrial UAV
ESC-0133,MTR-0010,HighPerformance,Racing FPV
ESC-0137,MTR-0209,Recommended,Long Range FPV
ESC-0276,MTR-0325,HighPerformance,Freestyle FPV
ESC-0245,MTR-0034,Safe,Freestyle FPV
ESC-0295,MTR-0449,Safe,Racing FPV
ESC-0185,MTR-0220,Recommended,Freestyle FPV
ESC-0281,MTR-0394,HighPerformance,Cinematic FPV
ESC-0292,MTR-0271,HighPerformance,Industrial UAV
ESC-0273,MTR-0033,HighPerformance,Cinematic FPV
ESC-0041,MTR-0354,HighPerformance,Industrial UAV
ESC-0193,MTR-0064,HighPerformance,Cinematic FPV
ESC-0288,MTR-0040,Recommended,Long Range FPV
ESC-0294,MTR-0050,Recommended,Racing FPV
ESC-0177,MTR-0336,Recommended,Racing FPV
ESC-0189,MTR-0229,Safe,Long Range FPV
ESC-0071,MTR-0294,HighPerformance,Long Range FPV
ESC-0183,MTR-0323,Safe,Freestyle FPV
ESC-0072,MTR-0238,HighPerformance,Freestyle FPV
ESC-0030,MTR-0028,Recommended,Long Range FPV
ESC-0274,MTR-0319,Safe,Cinematic FPV
ESC-0064,MTR-0132,Safe,Freestyle FPV
ESC-0047,MTR-0188,HighPerformance,Freestyle FPV
ESC-0277,MTR-0442,Recommended,Long Range FPV
ESC-0169,MTR-0187,Recommended,Racing FPV
ESC-0255,MTR-0093,Recommended,Industrial UAV
ESC-0262,MTR-0049,HighPerformance,Industrial UAV
ESC-0082,MTR-0144,Recommended,Cinematic FPV
ESC-0112,MTR-0453,Safe,Freestyle FPV
ESC-0195,MTR-0240,Safe,Cinematic FPV
ESC-0265,MTR-0020,Safe,Industrial UAV
ESC-0046,MTR-0072,Recommended,Long Range FPV
ESC-0108,MTR-0072,Recommended,Freestyle FPV
ESC-0260,MTR-0090,HighPerformance,Long Range FPV
ESC-0169,MTR-0356,Safe,Cinematic FPV
ESC-0268,MTR-0023,HighPerformance,Racing FPV
ESC-0072,MTR-0491,Safe,Industrial UAV
ESC-0118,MTR-0216,Safe,Long Range FPV
ESC-0024,MTR-0360,Safe,Industrial UAV
