FrameID,Brand,Category,SubCategory,FrameType,Size_Inch,Wheelbase_mm,Material,ArmType,MountingPattern,SupportedDroneType,IntendedUse
FRM-0209,AxisFlying,Frames,UAV Frame,Racing Frame,3.5,120,Plastic,Integrated,Whoop,FPV,Cinematic FPV
FRM-0210,AxisFlying,Frames,UAV Frame,Industrial Frame,9,350,Carbon + Aluminum,Replaceable,30x30,Industrial,Long Endurance
FRM-0211,ImpulseRC,Frames,UAV Frame,Explorer Frame,5,350,Carbon + Aluminum,Integrated,20x20,FPV,Freestyle FPV
FRM-0212,TBS,Frames,UAV Frame,Explorer Frame,5,140,Carbon + Aluminum,Integrated,Whoop,FPV,Freestyle FPV
FRM-0213,HGLRC,Frames,UAV Frame,Explorer Frame,7,140,Carbon + Aluminum,Integrated,16x16,FPV,Long Range FPV
FRM-0214,RekonFPV,Frames,UAV Frame,Freestyle Frame,5,75,Carbon,Integrated,30x30,FPV,Freestyle FPV
FRM-0215,Flywoo,Frames,UAV Frame,Industrial Frame,2,65,Carbon,Integrated,25x25,FPV,Indoor FPV
FRM-0216,Happymodel,Frames,UAV Frame,Explorer Frame,4,85,Carbon + Plastic,Integrated,20x20,FPV,Freestyle FPV
FRM-0217,RekonFPV,Frames,UAV Frame,Cinewhoop Frame,6,85,Carbon + Aluminum,Integrated,20x20,FPV,Long Range FPV
FRM-0218,Lumenier,Frames,UAV Frame,Cinewhoop Frame,3.5,300,Carbon Fiber,Integrated,16x16,FPV,Cinematic FPV
FRM-0219,Foxeer,Frames,UAV Frame,Industrial Frame,7,85,Carbon Fiber,Replaceable,16x16,FPV,Long Range FPV
FRM-0220,HGLRC,Frames,UAV Frame,Racing Frame,2,420,Carbon,Integrated,30x30,FPV,Indoor FPV
FRM-0221,RekonFPV,Frames,UAV Frame,Whoop Frame,4,65,Carbon Fiber,Integrated,25x25,FPV,Freestyle FPV
FRM-0222,RekonFPV,Frames,UAV Frame,Explorer Frame,9,420,Carbon + Aluminum,Integrated,25x25,Industrial,Long Endurance
FRM-0223,Flywoo,Frames,UAV Frame,Long Range Frame,3,350,Carbon + Plastic,Integrated,25x25,FPV,Micro FPV
FRM-0224,BetaFPV,Frames,UAV Frame,Whoop Frame,2,140,Carbon + Plastic,Integrated,30x30,FPV,Indoor FPV
FRM-0225,ImpulseRC,Frames,UAV Frame,Long Range Frame,2.5,300,Carbon Fiber,Integrated,25x25,FPV,Indoor FPV
FRM-0226,AxisFlying,Frames,UAV Frame,Cinewhoop Frame,9,300,Carbon Fiber,Replaceable,25x25,Industrial,Long Endurance
FRM-0227,iFlight,Frames,UAV Frame,Long Range Frame,4,75,Carbon,Replaceable,20x20,FPV,Freestyle FPV
FRM-0228,GEPRC,Frames,UAV Frame,Long Range Frame,6,65,Carbon + Plastic,Replaceable,20x20,FPV,Long Range FPV
FRM-0229,iFlight,Frames,UAV Frame,Industrial Frame,2,110,Carbon,Integrated,16x16,FPV,Indoor FPV
FRM-0230,Diatone,Frames,UAV Frame,Racing Frame,9,260,Plastic,Replaceable,20x20,Industrial,Long Endurance
FRM-0231,Armattan,Frames,UAV Frame,Freestyle Frame,2,95,Plastic,Replaceable,25x25,FPV,Indoor FPV
FRM-0232,GEPRC,Frames,UAV Frame,Whoop Frame,10,75,Plastic,Replaceable,30x30,Industrial,Industrial UAV
FRM-0233,RekonFPV,Frames,UAV Frame,Industrial Frame,8,140,Carbon + Plastic,Replaceable,16x16,Industrial,Explorer UAV
FRM-0234,RekonFPV,Frames,UAV Frame,Long Range Frame,3.5,95,Carbon Fiber,Integrated,16x16,FPV,Cinematic FPV
FRM-0235,Foxeer,Frames,UAV Frame,Industrial Frame,5,180,Plastic,Integrated,16x16,FPV,Freestyle FPV
FRM-0236,GEPRC,Frames,UAV Frame,Industrial Frame,3,85,Carbon + Plastic,Integrated,20x20,FPV,Micro FPV
FRM-0237,RekonFPV,Frames,UAV Frame,Whoop Frame,2,95,Carbon,Replaceable,25x25,FPV,Indoor FPV
FRM-0238,Diatone,Frames,UAV Frame,Explorer Frame,2.5,120,Plastic,Replaceable,30x30,FPV,Indoor FPV
FRM-0239,AxisFlying,Frames,UAV Frame,Whoop Frame,2.5,110,Carbon Fiber,Replaceable,25x25,FPV,Indoor FPV
FRM-0240,Happymodel,Frames,UAV Frame,Long Range Frame,4,140,Plastic,Replaceable,20x20,FPV,Freestyle FPV
FRM-0241,RekonFPV,Frames,UAV Frame,Freestyle Frame,5,300,Carbon + Aluminum,Integrated,30x30,FPV,Freestyle FPV
FRM-0242,Diatone,Frames,UAV Frame,Explorer Frame,4,140,Carbon Fiber,Replaceable,20x20,FPV,Freestyle FPV
FRM-0243,Flywoo,Frames,UAV Frame,Explorer Frame,7,350,Carbon,Integrated,25x25,FPV,Long Range FPV
FRM-0244,BetaFPV,Frames,UAV Frame,Long Range Frame,3.5,420,Carbon + Plastic,Integrated,Whoop,FPV,Cinematic FPV
FRM-0245,Flywoo,Frames,UAV Frame,Racing Frame,4,350,Plastic,Replaceable,25x25,FPV,Freestyle FPV
FRM-0246,HGLRC,Frames,UAV Frame,Industrial Frame,2.5,420,Carbon,Replaceable,30x30,FPV,Indoor FPV
FRM-0247,TBS,Frames,UAV Frame,Industrial Frame,10,260,Plastic,Integrated,30x30,Industrial,Industrial UAV
FRM-0248,Foxeer,Frames,UAV Frame,Cinewhoop Frame,6,120,Carbon + Aluminum,Integrated,Whoop,FPV,Long Range FPV
FRM-0249,Armattan,Frames,UAV Frame,Freestyle Frame,4,110,Carbon Fiber,Integrated,16x16,FPV,Freestyle FPV
FRM-0250,AxisFlying,Frames,UAV Frame,Long Range Frame,5,95,Carbon Fiber,Replaceable,30x30,FPV,Freestyle FPV
FRM-0251,AxisFlying,Frames,UAV Frame,Freestyle Frame,10,350,Carbon + Aluminum,Replaceable,25x25,Industrial,Industrial UAV
FRM-0252,iFlight,Frames,UAV Frame,Racing Frame,6,120,Carbon Fiber,Replaceable,20x20,FPV,Long Range FPV
FRM-0253,iFlight,Frames,UAV Frame,Whoop Frame,9,260,Carbon Fiber,Replaceable,25x25,Industrial,Long Endurance
FRM-0254,Flywoo,Frames,UAV Frame,Explorer Frame,2.5,140,Carbon Fiber,Integrated,30x30,FPV,Indoor FPV
FRM-0255,iFlight,Frames,UAV Frame,Industrial Frame,8,120,Plastic,Replaceable,30x30,Industrial,Explorer UAV
FRM-0256,Flywoo,Frames,UAV Frame,Whoop Frame,5,85,Carbon + Plastic,Replaceable,25x25,FPV,Freestyle FPV
FRM-0257,BetaFPV,Frames,UAV Frame,Cinewhoop Frame,7,140,Plastic,Integrated,16x16,FPV,Long Range FPV
FRM-0258,AxisFlying,Frames,UAV Frame,Racing Frame,10,85,Plastic,Integrated,Whoop,Industrial,Industrial UAV
FRM-0259,Armattan,Frames,UAV Frame,Cinewhoop Frame,10,140,Carbon + Plastic,Integrated,16x16,Industrial,Industrial UAV
FRM-0260,iFlight,Frames,UAV Frame,Freestyle Frame,5,95,Plastic,Integrated,Whoop,FPV,Freestyle FPV
FRM-0261,TBS,Frames,UAV Frame,Explorer Frame,6,300,Plastic,Replaceable,25x25,FPV,Long Range FPV
FRM-0262,BetaFPV,Frames,UAV Frame,Racing Frame,5,110,Carbon + Plastic,Replaceable,25x25,FPV,Freestyle FPV
FRM-0263,AxisFlying,Frames,UAV Frame,Racing Frame,2.5,110,Carbon,Integrated,Whoop,FPV,Indoor FPV
FRM-0264,GEPRC,Frames,UAV Frame,Freestyle Frame,7,120,Carbon,Replaceable,20x20,FPV,Long Range FPV
FRM-0265,Diatone,Frames,UAV Frame,Cinewhoop Frame,9,260,Plastic,Replaceable,Whoop,Industrial,Long Endurance
FRM-0266,Happymodel,Frames,UAV Frame,Long Range Frame,4,65,Carbon + Aluminum,Integrated,Whoop,FPV,Freestyle FPV
FRM-0267,HGLRC,Frames,UAV Frame,Racing Frame,3.5,110,Carbon + Plastic,Integrated,Whoop,FPV,Cinematic FPV
FRM-0268,Flywoo,Frames,UAV Frame,Long Range Frame,2.5,420,Carbon,Integrated,30x30,FPV,Indoor FPV
FRM-0269,HGLRC,Frames,UAV Frame,Industrial Frame,5,260,Carbon,Integrated,16x16,FPV,Freestyle FPV
FRM-0270,iFlight,Frames,UAV Frame,Long Range Frame,7,120,Carbon,Integrated,30x30,FPV,Long Range FPV
FRM-0271,ImpulseRC,Frames,UAV Frame,Racing Frame,3.5,300,Carbon Fiber,Integrated,30x30,FPV,Cinematic FPV
FRM-0272,Lumenier,Frames,UAV Frame,Freestyle Frame,3,140,Plastic,Replaceable,25x25,FPV,Micro FPV
FRM-0273,ImpulseRC,Frames,UAV Frame,Cinewhoop Frame,8,85,Carbon Fiber,Replaceable,16x16,Industrial,Explorer UAV
FRM-0274,Happymodel,Frames,UAV Frame,Industrial Frame,2.5,120,Carbon,Replaceable,16x16,FPV,Indoor FPV
FRM-0275,GEPRC,Frames,UAV Frame,Long Range Frame,7,350,Plastic,Integrated,20x20,FPV,Long Range FPV
FRM-0276,ImpulseRC,Frames,UAV Frame,Long Range Frame,4,140,Carbon + Aluminum,Integrated,30x30,FPV,Freestyle FPV
FRM-0277,RekonFPV,Frames,UAV Frame,Cinewhoop Frame,4,65,Carbon,Replaceable,25x25,FPV,Freestyle FPV
FRM-0278,GEPRC,Frames,UAV Frame,Freestyle Frame,10,350,Carbon + Aluminum,Replaceable,25x25,Industrial,Industrial UAV
FRM-0279,TBS,Frames,UAV Frame,Industrial Frame,2,260,Carbon Fiber,Integrated,Whoop,FPV,Indoor FPV
FRM-0280,ImpulseRC,Frames,UAV Frame,Industrial Frame,9,85,Carbon Fiber,Replaceable,20x20,Industrial,Long Endurance
FRM-0281,RekonFPV,Frames,UAV Frame,Explorer Frame,4,140,Carbon,Replaceable,Whoop,FPV,Freestyle FPV
FRM-0282,Happymodel,Frames,UAV Frame,Racing Frame,4,120,Carbon Fiber,Replaceable,25x25,FPV,Freestyle FPV
FRM-0283,Diatone,Frames,UAV Frame,Explorer Frame,3,65,Carbon,Integrated,30x30,FPV,Micro FPV
FRM-0284,Flywoo,Frames,UAV Frame,Freestyle Frame,3.5,140,Plastic,Replaceable,Whoop,FPV,Cinematic FPV
FRM-0285,Lumenier,Frames,UAV Frame,Long Range Frame,2.5,85,Carbon + Aluminum,Replaceable,25x25,FPV,Indoor FPV
FRM-0286,Diatone,Frames,UAV Frame,Freestyle Frame,8,220,Plastic,Integrated,Whoop,Industrial,Explorer UAV
FRM-0287,HGLRC,Frames,UAV Frame,Whoop Frame,2,85,Plastic,Integrated,30x30,FPV,Indoor FPV
FRM-0288,iFlight,Frames,UAV Frame,Whoop Frame,4,350,Plastic,Integrated,Whoop,FPV,Freestyle FPV
FRM-0289,Happymodel,Frames,UAV Frame,Long Range Frame,2.5,300,Carbon + Plastic,Replaceable,25x25,FPV,Indoor FPV
FRM-0290,ImpulseRC,Frames,UAV Frame,Explorer Frame,10,300,Carbon + Plastic,Integrated,Whoop,Industrial,Industrial UAV
FRM-0291,GEPRC,Frames,UAV Frame,Freestyle Frame,6,180,Carbon Fiber,Replaceable,25x25,FPV,Long Range FPV
FRM-0292,iFlight,Frames,UAV Frame,Explorer Frame,5,110,Plastic,Replaceable,16x16,FPV,Freestyle FPV
FRM-0293,RekonFPV,Frames,UAV Frame,Explorer Frame,10,220,Carbon Fiber,Replaceable,16x16,Industrial,Industrial UAV
FRM-0294,Lumenier,Frames,UAV Frame,Cinewhoop Frame,8,420,Carbon + Aluminum,Integrated,16x16,Industrial,Explorer UAV
FRM-0295,ImpulseRC,Frames,UAV Frame,Explorer Frame,9,65,Carbon Fiber,Integrated,16x16,Industrial,Long Endurance
FRM-0296,Armattan,Frames,UAV Frame,Cinewhoop Frame,4,110,Carbon,Replaceable,30x30,FPV,Freestyle FPV
FRM-0297,Flywoo,Frames,UAV Frame,Racing Frame,9,140,Carbon + Aluminum,Integrated,25x25,Industrial,Long Endurance
FRM-0298,Diatone,Frames,UAV Frame,Racing Frame,2.5,260,Plastic,Integrated,20x20,FPV,Indoor FPV
FRM-0299,iFlight,Frames,UAV Frame,Long Range Frame,6,420,Carbon Fiber,Integrated,25x25,FPV,Long Range FPV
FRM-0300,Happymodel,Frames,UAV Frame,Industrial Frame,5,220,Plastic,Integrated,30x30,FPV,Freestyle FPV
FRM-0301,Happymodel,Frames,UAV Frame,Long Range Frame,8,350,Carbon + Plastic,Integrated,30x30,Industrial,Explorer UAV
FRM-0302,Flywoo,Frames,UAV Frame,Industrial Frame,4,140,Carbon Fiber,Integrated,Whoop,FPV,Freestyle FPV
FRM-0303,GEPRC,Frames,UAV Frame,Freestyle Frame,3,260,Carbon + Plastic,Replaceable,25x25,FPV,Micro FPV
FRM-0304,iFlight,Frames,UAV Frame,Whoop Frame,10,420,Carbon,Replaceable,20x20,Industrial,Industrial UAV
FRM-0305,RekonFPV,Frames,UAV Frame,Freestyle Frame,3,220,Carbon + Aluminum,Replaceable,20x20,FPV,Micro FPV
FRM-0306,BetaFPV,Frames,UAV Frame,Cinewhoop Frame,9,120,Carbon,Integrated,Whoop,Industrial,Long Endurance
FRM-0307,Flywoo,Frames,UAV Frame,Freestyle Frame,3.5,260,Carbon,Replaceable,Whoop,FPV,Cinematic FPV
FRM-0308,GEPRC,Frames,UAV Frame,Whoop Frame,3.5,95,Carbon + Plastic,Integrated,25x25,FPV,Cinematic FPV
FRM-0309,TBS,Frames,UAV Frame,Industrial Frame,6,260,Plastic,Integrated,20x20,FPV,Long Range FPV
FRM-0310,ImpulseRC,Frames,UAV Frame,Whoop Frame,4,350,Carbon + Plastic,Integrated,20x20,FPV,Freestyle FPV
FRM-0311,Foxeer,Frames,UAV Frame,Racing Frame,7,180,Plastic,Replaceable,20x20,FPV,Long Range FPV
FRM-0312,Diatone,Frames,UAV Frame,Cinewhoop Frame,10,120,Plastic,Integrated,30x30,Industrial,Industrial UAV
FRM-0313,Lumenier,Frames,UAV Frame,Freestyle Frame,5,120,Carbon + Plastic,Integrated,25x25,FPV,Freestyle FPV
FRM-0314,TBS,Frames,UAV Frame,Industrial Frame,3,95,Carbon + Plastic,Replaceable,20x20,FPV,Micro FPV
FRM-0315,Lumenier,Frames,UAV Frame,Industrial Frame,2,85,Carbon + Plastic,Integrated,25x25,FPV,Indoor FPV
FRM-0316,iFlight,Frames,UAV Frame,Cinewhoop Frame,10,300,Carbon + Aluminum,Replaceable,Whoop,Industrial,Industrial UAV
FRM-0317,Happymodel,Frames,UAV Frame,Industrial Frame,7,120,Plastic,Integrated,30x30,FPV,Long Range FPV
FRM-0318,Diatone,Frames,UAV Frame,Cinewhoop Frame,3,300,Carbon,Replaceable,20x20,FPV,Micro FPV
FRM-0319,RekonFPV,Frames,UAV Frame,Racing Frame,7,300,Carbon,Replaceable,25x25,FPV,Long Range FPV
FRM-0320,AxisFlying,Frames,UAV Frame,Explorer Frame,4,420,Carbon + Aluminum,Replaceable,30x30,FPV,Freestyle FPV
FRM-0321,Diatone,Frames,UAV Frame,Freestyle Frame,8,220,Carbon,Integrated,25x25,Industrial,Explorer UAV
FRM-0322,Armattan,Frames,UAV Frame,Whoop Frame,4,120,Carbon,Replaceable,Whoop,FPV,Freestyle FPV
FRM-0323,Flywoo,Frames,UAV Frame,Cinewhoop Frame,7,65,Carbon,Replaceable,Whoop,FPV,Long Range FPV
FRM-0324,Lumenier,Frames,UAV Frame,Whoop Frame,10,95,Carbon + Plastic,Replaceable,Whoop,Industrial,Industrial UAV
FRM-0325,AxisFlying,Frames,UAV Frame,Whoop Frame,9,120,Plastic,Integrated,Whoop,Industrial,Long Endurance
FRM-0326,RekonFPV,Frames,UAV Frame,Racing Frame,7,300,Carbon,Replaceable,20x20,FPV,Long Range FPV
FRM-0327,Flywoo,Frames,UAV Frame,Racing Frame,7,65,Plastic,Replaceable,25x25,FPV,Long Range FPV
FRM-0328,iFlight,Frames,UAV Frame,Freestyle Frame,6,300,Carbon Fiber,Replaceable,30x30,FPV,Long Range FPV
FRM-0329,HGLRC,Frames,UAV Frame,Long Range Frame,9,420,Carbon + Plastic,Integrated,25x25,Industrial,Long Endurance
FRM-0330,Armattan,Frames,UAV Frame,Cinewhoop Frame,2.5,180,Plastic,Replaceable,20x20,FPV,Indoor FPV
FRM-0331,RekonFPV,Frames,UAV Frame,Racing Frame,9,350,Carbon + Aluminum,Replaceable,30x30,Industrial,Long Endurance
FRM-0332,GEPRC,Frames,UAV Frame,Freestyle Frame,7,220,Plastic,Replaceable,30x30,FPV,Long Range FPV
FRM-0333,ImpulseRC,Frames,UAV Frame,Freestyle Frame,10,220,Carbon Fiber,Replaceable,30x30,Industrial,Industrial UAV
FRM-0334,ImpulseRC,Frames,UAV Frame,Racing Frame,10,120,Plastic,Replaceable,30x30,Industrial,Industrial UAV
FRM-0335,Diatone,Frames,UAV Frame,Industrial Frame,7,140,Carbon Fiber,Replaceable,30x30,FPV,Long Range FPV
FRM-0336,TBS,Frames,UAV Frame,Freestyle Frame,9,75,Plastic,Integrated,16x16,Industrial,Long Endurance
FRM-0337,Lumenier,Frames,UAV Frame,Whoop Frame,2,110,Carbon,Replaceable,Whoop,FPV,Indoor FPV
FRM-0338,GEPRC,Frames,UAV Frame,Whoop Frame,5,260,Plastic,Integrated,Whoop,FPV,Freestyle FPV
FRM-0339,TBS,Frames,UAV Frame,Industrial Frame,4,350,Carbon + Aluminum,Replaceable,20x20,FPV,Freestyle FPV
FRM-0340,AxisFlying,Frames,UAV Frame,Long Range Frame,9,85,Carbon,Replaceable,Whoop,Industrial,Long Endurance
FRM-0341,ImpulseRC,Frames,UAV Frame,Freestyle Frame,3.5,140,Carbon + Aluminum,Integrated,16x16,FPV,Cinematic FPV
FRM-0342,HGLRC,Frames,UAV Frame,Cinewhoop Frame,9,110,Carbon + Plastic,Integrated,30x30,Industrial,Long Endurance
FRM-0343,iFlight,Frames,UAV Frame,Racing Frame,2,110,Carbon + Aluminum,Integrated,16x16,FPV,Indoor FPV
FRM-0344,ImpulseRC,Frames,UAV Frame,Industrial Frame,10,75,Carbon Fiber,Integrated,25x25,Industrial,Industrial UAV
FRM-0345,AxisFlying,Frames,UAV Frame,Racing Frame,4,420,Carbon + Plastic,Integrated,25x25,FPV,Freestyle FPV
FRM-0346,iFlight,Frames,UAV Frame,Freestyle Frame,10,95,Carbon,Integrated,30x30,Industrial,Industrial UAV
FRM-0347,ImpulseRC,Frames,UAV Frame,Whoop Frame,2.5,140,Carbon Fiber,Integrated,Whoop,FPV,Indoor FPV
FRM-0348,GEPRC,Frames,UAV Frame,Whoop Frame,10,120,Carbon + Plastic,Integrated,30x30,Industrial,Industrial UAV
FRM-0349,RekonFPV,Frames,UAV Frame,Racing Frame,9,300,Carbon + Aluminum,Replaceable,20x20,Industrial,Long Endurance
FRM-0350,GEPRC,Frames,UAV Frame,Industrial Frame,3.5,75,Carbon,Replaceable,25x25,FPV,Cinematic FPV
FRM-0351,AxisFlying,Frames,UAV Frame,Industrial Frame,9,75,Carbon,Replaceable,20x20,Industrial,Long Endurance UAV
FRM-0352,Happymodel,Frames,UAV Frame,Whoop Frame,4,120,Carbon + Plastic,Integrated,20x20,FPV,Freestyle FPV
FRM-0353,RekonFPV,Frames,UAV Frame,Explorer Frame,8,350,Carbon + Aluminum,Replaceable,Whoop,Industrial,Explorer UAV
FRM-0354,GEPRC,Frames,UAV Frame,Freestyle Frame,2,350,Carbon,Replaceable,20x20,FPV,Indoor FPV
FRM-0355,AxisFlying,Frames,UAV Frame,Explorer Frame,7,95,Carbon Fiber,Integrated,20x20,FPV,Long Range FPV
FRM-0356,ImpulseRC,Frames,UAV Frame,Freestyle Frame,3.5,300,Carbon Fiber,Replaceable,25x25,FPV,Cinematic FPV
FRM-0357,Foxeer,Frames,UAV Frame,Whoop Frame,5,180,Carbon + Aluminum,Integrated,30x30,FPV,Freestyle FPV
FRM-0358,Foxeer,Frames,UAV Frame,Cinewhoop Frame,10,180,Carbon,Integrated,16x16,Industrial,Industrial UAV
FRM-0359,BetaFPV,Frames,UAV Frame,Industrial Frame,2.5,220,Carbon Fiber,Integrated,25x25,FPV,Indoor FPV
FRM-0360,Diatone,Frames,UAV Frame,Whoop Frame,3,110,Plastic,Integrated,25x25,FPV,Micro FPV
FRM-0361,Lumenier,Frames,UAV Frame,Racing Frame,3,65,Carbon + Plastic,Integrated,Whoop,FPV,Micro FPV
FRM-0362,Flywoo,Frames,UAV Frame,Cinewhoop Frame,7,420,Carbon + Plastic,Integrated,25x25,FPV,Long Range FPV
FRM-0363,Armattan,Frames,UAV Frame,Long Range Frame,7,85,Carbon + Aluminum,Replaceable,20x20,FPV,Long Range FPV
FRM-0364,HGLRC,Frames,UAV Frame,Cinewhoop Frame,2.5,350,Plastic,Integrated,16x16,FPV,Indoor FPV
FRM-0365,TBS,Frames,UAV Frame,Cinewhoop Frame,8,110,Plastic,Replaceable,25x25,Industrial,Explorer UAV
FRM-0366,RekonFPV,Frames,UAV Frame,Industrial Frame,2,65,Carbon Fiber,Replaceable,25x25,FPV,Indoor FPV
FRM-0367,BetaFPV,Frames,UAV Frame,Whoop Frame,7,420,Carbon Fiber,Integrated,20x20,FPV,Long Range FPV
FRM-0368,Flywoo,Frames,UAV Frame,Industrial Frame,7,420,Carbon + Aluminum,Integrated,16x16,FPV,Long Range FPV
FRM-0369,BetaFPV,Frames,UAV Frame,Whoop Frame,9,220,Plastic,Integrated,Whoop,Industrial,Long Endurance UAV
FRM-0370,Armattan,Frames,UAV Frame,Freestyle Frame,10,95,Plastic,Replaceable,30x30,Industrial,Industrial UAV
FRM-0371,HGLRC,Frames,UAV Frame,Explorer Frame,3,180,Carbon Fiber,Replaceable,20x20,FPV,Micro FPV
FRM-0372,AxisFlying,Frames,UAV Frame,Explorer Frame,9,180,Carbon,Integrated,20x20,Industrial,Long Endurance UAV
FRM-0373,Diatone,Frames,UAV Frame,Whoop Frame,3,220,Carbon,Replaceable,Whoop,FPV,Micro FPV
FRM-0374,Foxeer,Frames,UAV Frame,Racing Frame,3.5,85,Carbon Fiber,Integrated,Whoop,FPV,Cinematic FPV
FRM-0375,Flywoo,Frames,UAV Frame,Explorer Frame,10,350,Carbon,Replaceable,20x20,Industrial,Industrial UAV
FRM-0376,GEPRC,Frames,UAV Frame,Long Range Frame,7,140,Carbon Fiber,Replaceable,25x25,FPV,Long Range FPV
FRM-0377,TBS,Frames,UAV Frame,Whoop Frame,9,95,Carbon,Replaceable,30x30,Industrial,Long Endurance UAV
FRM-0378,ImpulseRC,Frames,UAV Frame,Cinewhoop Frame,8,65,Carbon + Plastic,Replaceable,16x16,Industrial,Explorer UAV
FRM-0379,GEPRC,Frames,UAV Frame,Explorer Frame,3,95,Carbon + Aluminum,Replaceable,25x25,FPV,Micro FPV
FRM-0380,Lumenier,Frames,UAV Frame,Long Range Frame,2,85,Carbon,Replaceable,20x20,FPV,Indoor FPV
FRM-0381,GEPRC,Frames,UAV Frame,Long Range Frame,9,180,Carbon + Aluminum,Integrated,30x30,Industrial,Long Endurance UAV
FRM-0382,Armattan,Frames,UAV Frame,Long Range Frame,4,85,Plastic,Integrated,25x25,FPV,Freestyle FPV
FRM-0383,TBS,Frames,UAV Frame,Cinewhoop Frame,6,420,Plastic,Integrated,20x20,FPV,Long Range FPV
FRM-0384,TBS,Frames,UAV Frame,Long Range Frame,5,110,Carbon + Aluminum,Integrated,30x30,FPV,Freestyle FPV
FRM-0385,Flywoo,Frames,UAV Frame,Long Range Frame,9,260,Carbon,Replaceable,25x25,Industrial,Long Endurance UAV
FRM-0386,AxisFlying,Frames,UAV Frame,Explorer Frame,9,420,Carbon + Plastic,Integrated,25x25,Industrial,Long Endurance UAV
FRM-0387,Happymodel,Frames,UAV Frame,Racing Frame,2,110,Carbon + Plastic,Integrated,25x25,FPV,Indoor FPV
FRM-0388,AxisFlying,Frames,UAV Frame,Cinewhoop Frame,2,140,Carbon + Aluminum,Integrated,20x20,FPV,Indoor FPV
FRM-0389,GEPRC,Frames,UAV Frame,Long Range Frame,3.5,65,Carbon + Plastic,Replaceable,30x30,FPV,Cinematic FPV
FRM-0390,Armattan,Frames,UAV Frame,Long Range Frame,6,260,Carbon Fiber,Replaceable,16x16,FPV,Long Range FPV
FRM-0391,Foxeer,Frames,UAV Frame,Freestyle Frame,4,65,Carbon + Plastic,Replaceable,16x16,FPV,Freestyle FPV
FRM-0392,RekonFPV,Frames,UAV Frame,Freestyle Frame,9,260,Carbon Fiber,Replaceable,16x16,Industrial,Long Endurance UAV
FRM-0393,GEPRC,Frames,UAV Frame,Whoop Frame,8,120,Carbon + Plastic,Integrated,25x25,Industrial,Explorer UAV
FRM-0394,Foxeer,Frames,UAV Frame,Cinewhoop Frame,2.5,260,Carbon + Plastic,Integrated,16x16,FPV,Indoor FPV
FRM-0395,Happymodel,Frames,UAV Frame,Whoop Frame,3,180,Carbon + Aluminum,Replaceable,30x30,FPV,Micro FPV
FRM-0396,TBS,Frames,UAV Frame,Explorer Frame,6,65,Carbon + Aluminum,Replaceable,Whoop,FPV,Long Range FPV
FRM-0397,Flywoo,Frames,UAV Frame,Racing Frame,3,95,Carbon Fiber,Replaceable,20x20,FPV,Micro FPV
FRM-0398,Diatone,Frames,UAV Frame,Cinewhoop Frame,4,180,Carbon + Aluminum,Integrated,16x16,FPV,Freestyle FPV
FRM-0399,Diatone,Frames,UAV Frame,Long Range Frame,4,350,Carbon,Integrated,16x16,FPV,Freestyle FPV
FRM-0400,AxisFlying,Frames,UAV Frame,Cinewhoop Frame,5,350,Carbon,Replaceable,16x16,FPV,Freestyle FPV
FRM-0401,RekonFPV,Frames,UAV Frame,Racing Frame,9,300,Carbon + Aluminum,Replaceable,Whoop,Industrial,Long Endurance UAV
FRM-0402,RekonFPV,Frames,UAV Frame,Long Range Frame,9,260,Carbon + Aluminum,Integrated,16x16,Industrial,Long Endurance UAV
FRM-0403,RekonFPV,Frames,UAV Frame,Whoop Frame,3,75,Carbon Fiber,Replaceable,Whoop,FPV,Micro FPV
FRM-0404,iFlight,Frames,UAV Frame,Long Range Frame,6,350,Carbon + Aluminum,Integrated,30x30,FPV,Long Range FPV
FRM-0405,Armattan,Frames,UAV Frame,Long Range Frame,8,300,Carbon,Integrated,30x30,Industrial,Explorer UAV
FRM-0406,BetaFPV,Frames,UAV Frame,Freestyle Frame,9,140,Carbon + Aluminum,Replaceable,25x25,Industrial,Long Endurance UAV
FRM-0407,Flywoo,Frames,UAV Frame,Freestyle Frame,9,140,Plastic,Replaceable,Whoop,Industrial,Long Endurance UAV
FRM-0408,Diatone,Frames,UAV Frame,Explorer Frame,5,220,Carbon,Replaceable,20x20,FPV,Freestyle FPV
FRM-0409,AxisFlying,Frames,UAV Frame,Racing Frame,7,420,Carbon + Plastic,Integrated,25x25,FPV,Long Range FPV
FRM-0410,Foxeer,Frames,UAV Frame,Cinewhoop Frame,3,350,Carbon + Plastic,Integrated,20x20,FPV,Micro FPV
FRM-0411,RekonFPV,Frames,UAV Frame,Freestyle Frame,7,140,Carbon Fiber,Replaceable,16x16,FPV,Long Range FPV
FRM-0412,BetaFPV,Frames,UAV Frame,Explorer Frame,3.5,220,Carbon + Aluminum,Integrated,Whoop,FPV,Cinematic FPV
FRM-0413,Lumenier,Frames,UAV Frame,Industrial Frame,6,300,Carbon,Integrated,25x25,FPV,Long Range FPV
FRM-0414,Happymodel,Frames,UAV Frame,Long Range Frame,2,420,Carbon Fiber,Replaceable,Whoop,FPV,Indoor FPV
FRM-0415,Lumenier,Frames,UAV Frame,Whoop Frame,2,300,Carbon + Plastic,Integrated,30x30,FPV,Indoor FPV
FRM-0416,ImpulseRC,Frames,UAV Frame,Industrial Frame,5,220,Carbon + Aluminum,Integrated,25x25,FPV,Freestyle FPV
