FCID,Brand,Category,SubCategory,Processor,FormFactor,Mounting_mm,SupportedFirmware,IMU,Barometer,OSD,Blackbox,ESCInterface,ConnectorType,SupportedDroneType,IntendedUse
FC-0164,EMAX,Flight Controller,FC Board,F405,Mini FC,20x20,ArduPilot,ICM20689,No,Yes,16MB,PWM,Plug,Industrial,Industrial UAV
FC-0165,AxisFlying,Flight Controller,FC Board,F405,Stack FC,20x20,Betaflight,MPU6000,Yes,Yes,32MB,PWM,Plug,FPV,Cinematic FPV
FC-0166,EMAX,Flight Controller,FC Board,F765,Whoop FC,30x30,ArduPilot,ICM42688,No,Yes,64MB,PWM,Plug,FPV,Racing FPV
FC-0167,iFlight,Flight Controller,FC Board,F722,Whoop FC,25.5x25.5,Betaflight,MPU6000,No,Yes,32MB,PWM,Direct Solder,FPV,Racing FPV
FC-0168,Skystars,Flight Controller,FC Board,F745,Mini FC,16x16,INAV,MPU6000,No,Yes,16MB,DShot300,Direct Solder,FPV,Freestyle FPV
FC-0169,Matek,Flight Controller,FC Board,F765,Whoop FC,20x20,Betaflight,ICM42688,No,Yes,16MB,DShot1200,Plug,FPV,Long Range FPV
FC-0170,Flywoo,Flight Controller,FC Board,F745,Whoop FC,16x16,Betaflight,BMI270,No,Yes,16MB,DShot1200,Direct Solder,FPV,Freestyle FPV
FC-0171,AxisFlying,Flight Controller,FC Board,F411,Whoop FC,30x30,INAV,MPU6000,No,Yes,None,PWM,Direct Solder,Industrial,Industrial UAV
FC-0172,Skystars,Flight Controller,FC Board,F765,Whoop FC,25.5x25.5,Betaflight,ICM42688,Yes,Yes,None,DShot600,Direct Solder,FPV,Long Range FPV
FC-0173,AxisFlying,Flight Controller,FC Board,H743,Mini FC,25.5x25.5,INAV,MPU6000,Yes,Yes,16MB,DShot300,Direct Solder,FPV,Freestyle FPV
FC-0174,Flywoo,Flight Controller,FC Board,F411,Whoop FC,20x20,INAV,ICM42688,Yes,Yes,16MB,PWM,Direct Solder,FPV,Freestyle FPV
FC-0175,Foxeer,Flight Controller,FC Board,H743,AIO,30x30,ArduPilot,ICM20689,No,Yes,None,DShot600,JST,FPV,Racing FPV
FC-0176,BetaFPV,Flight Controller,FC Board,F765,AIO,16x16,Betaflight,MPU6000,Yes,Yes,64MB,DShot300,JST,Industrial,Industrial UAV
FC-0177,Holybro,Flight Controller,FC Board,F765,Stack FC,20x20,Betaflight,MPU6000,Yes,Yes,16MB,PWM,Plug,Industrial,Industrial UAV
FC-0178,BetaFPV,Flight Controller,FC Board,H743,AIO,16x16,INAV,ICM42688,No,Yes,32MB,DShot600,Plug,Industrial,Industrial UAV
FC-0179,Skystars,Flight Controller,FC Board,F765,AIO,16x16,Betaflight,ICM42688,No,Yes,64MB,PWM,Direct Solder,FPV,Cinematic FPV
FC-0180,SpeedyBee,Flight Controller,FC Board,H743,Stack FC,20x20,ArduPilot,ICM20689,No,Yes,32MB,DShot600,Direct Solder,FPV,Long Range FPV
FC-0181,HGLRC,Flight Controller,FC Board,H743,AIO,25.5x25.5,Betaflight,MPU6000,No,Yes,32MB,DShot1200,JST,FPV,Long Range FPV
FC-0182,BetaFPV,Flight Controller,FC Board,F405,Whoop FC,20x20,Betaflight,MPU6000,No,Yes,None,DShot600,Plug,FPV,Racing FPV
FC-0183,BetaFPV,Flight Controller,FC Board,H743,AIO,30x30,ArduPilot,BMI270,Yes,Yes,64MB,DShot1200,Plug,FPV,Freestyle FPV
FC-0184,iFlight,Flight Controller,FC Board,F405,AIO,30x30,Betaflight,ICM20689,Yes,Yes,None,DShot300,JST,FPV,Freestyle FPV
FC-0185,Holybro,Flight Controller,FC Board,F765,Mini FC,16x16,INAV,ICM42688,Yes,Yes,16MB,DShot1200,Direct Solder,FPV,Long Range FPV
FC-0186,Foxeer,Flight Controller,FC Board,F405,Mini FC,25.5x25.5,ArduPilot,ICM20689,Yes,Yes,64MB,PWM,JST,Industrial,Industrial UAV
FC-0187,iFlight,Flight Controller,FC Board,H743,Stack FC,16x16,INAV,MPU6000,No,Yes,32MB,DShot600,Direct Solder,FPV,Freestyle FPV
FC-0188,Holybro,Flight Controller,FC Board,F765,Mini FC,25.5x25.5,ArduPilot,ICM42688,No,Yes,16MB,DShot1200,Plug,FPV,Long Range FPV
FC-0189,EMAX,Flight Controller,FC Board,F765,Whoop FC,16x16,INAV,ICM20689,No,Yes,16MB,DShot600,JST,FPV,Long Range FPV
FC-0190,iFlight,Flight Controller,FC Board,F411,Stack FC,20x20,INAV,BMI270,No,Yes,None,DShot1200,Direct Solder,FPV,Freestyle FPV
FC-0191,RushFPV,Flight Controller,FC Board,F722,Stack FC,20x20,Betaflight,MPU6000,No,Yes,None,DShot300,Plug,Industrial,Industrial UAV
FC-0192,iFlight,Flight Controller,FC Board,H743,Whoop FC,20x20,INAV,BMI270,Yes,Yes,32MB,DShot600,Plug,FPV,Racing FPV
FC-0193,AxisFlying,Flight Controller,FC Board,F411,Whoop FC,30x30,INAV,MPU6000,Yes,Yes,None,DShot1200,JST,FPV,Long Range FPV
FC-0194,Flywoo,Flight Controller,FC Board,F722,Stack FC,20x20,INAV,ICM42688,No,Yes,16MB,PWM,Direct Solder,FPV,Cinematic FPV
FC-0195,Foxeer,Flight Controller,FC Board,F722,Whoop FC,20x20,ArduPilot,ICM20689,No,Yes,None,PWM,Plug,FPV,Racing FPV
FC-0196,EMAX,Flight Controller,FC Board,F405,Mini FC,25.5x25.5,ArduPilot,ICM42688,No,Yes,64MB,DShot1200,Plug,FPV,Racing FPV
FC-0197,iFlight,Flight Controller,FC Board,F411,AIO,25.5x25.5,Betaflight,BMI270,No,Yes,16MB,DShot600,Direct Solder,FPV,Racing FPV
FC-0198,SpeedyBee,Flight Controller,FC Board,H743,AIO,16x16,INAV,BMI270,No,Yes,32MB,DShot300,JST,FPV,Freestyle FPV
FC-0199,Holybro,Flight Controller,FC Board,F745,Mini FC,25.5x25.5,ArduPilot,BMI270,No,Yes,64MB,DShot300,JST,FPV,Freestyle FPV
FC-0200,Matek,Flight Controller,FC Board,F722,Mini FC,30x30,INAV,ICM42688,No,Yes,16MB,DShot300,JST,Industrial,Industrial UAV
FC-0201,Matek,Flight Controller,FC Board,F411,Whoop FC,20x20,Betaflight,ICM20689,No,Yes,64MB,DShot600,JST,Industrial,Industrial UAV
FC-0202,RushFPV,Flight Controller,FC Board,H743,Whoop FC,20x20,ArduPilot,BMI270,No,Yes,32MB,PWM,Direct Solder,FPV,Racing FPV
FC-0203,Holybro,Flight Controller,FC Board,F765,Whoop FC,25.5x25.5,INAV,ICM20689,Yes,Yes,64MB,DShot300,Direct Solder,FPV,Cinematic FPV
FC-0204,BetaFPV,Flight Controller,FC Board,H743,AIO,16x16,INAV,BMI270,Yes,Yes,16MB,DShot300,Direct Solder,FPV,Long Range FPV
FC-0205,BetaFPV,Flight Controller,FC Board,F745,AIO,25.5x25.5,ArduPilot,ICM20689,Yes,Yes,64MB,PWM,Plug,FPV,Long Range FPV
FC-0206,AxisFlying,Flight Controller,FC Board,F722,Mini FC,20x20,Betaflight,MPU6000,No,Yes,None,DShot600,Direct Solder,Industrial,Industrial UAV
FC-0207,BetaFPV,Flight Controller,FC Board,F722,Whoop FC,25.5x25.5,Betaflight,ICM20689,No,Yes,None,DShot300,Plug,FPV,Cinematic FPV
FC-0208,HGLRC,Flight Controller,FC Board,H743,Whoop FC,16x16,INAV,BMI270,Yes,Yes,16MB,DShot600,JST,FPV,Racing FPV
FC-0209,Matek,Flight Controller,FC Board,F765,AIO,30x30,INAV,BMI270,Yes,Yes,32MB,DShot1200,JST,FPV,Freestyle FPV
FC-0210,Holybro,Flight Controller,FC Board,F405,Stack FC,20x20,ArduPilot,ICM42688,No,Yes,64MB,DShot1200,Plug,FPV,Racing FPV
FC-0211,iFlight,Flight Controller,FC Board,F722,Whoop FC,16x16,Betaflight,ICM42688,No,Yes,64MB,DShot300,JST,Industrial,Industrial UAV
FC-0212,SpeedyBee,Flight Controller,FC Board,H743,AIO,20x20,ArduPilot,MPU6000,No,Yes,32MB,DShot1200,JST,FPV,Freestyle FPV
FC-0213,Foxeer,Flight Controller,FC Board,F722,AIO,30x30,Betaflight,ICM20689,No,Yes,32MB,DShot1200,Direct Solder,FPV,Freestyle FPV
FC-0214,RushFPV,Flight Controller,FC Board,H743,Stack FC,25.5x25.5,ArduPilot,BMI270,No,Yes,64MB,DShot1200,JST,FPV,Freestyle FPV
FC-0215,Holybro,Flight Controller,FC Board,F411,Mini FC,16x16,Betaflight,ICM20689,No,Yes,None,PWM,Plug,FPV,Freestyle FPV
FC-0216,Diatone,Flight Controller,FC Board,H743,AIO,16x16,Betaflight,BMI270,No,Yes,64MB,DShot600,Direct Solder,FPV,Racing FPV
FC-0217,iFlight,Flight Controller,FC Board,F411,Whoop FC,30x30,Betaflight,ICM42688,No,Yes,32MB,DShot600,Plug,FPV,Cinematic FPV
FC-0218,SpeedyBee,Flight Controller,FC Board,F405,Mini FC,25.5x25.5,INAV,BMI270,Yes,Yes,16MB,PWM,Plug,FPV,Racing FPV
FC-0219,GEPRC,Flight Controller,FC Board,F722,Whoop FC,25.5x25.5,ArduPilot,ICM42688,No,Yes,16MB,DShot600,JST,FPV,Freestyle FPV
FC-0220,HGLRC,Flight Controller,FC Board,H743,Whoop FC,25.5x25.5,INAV,BMI270,Yes,Yes,64MB,PWM,Direct Solder,Industrial,Industrial UAV
FC-0221,AxisFlying,Flight Controller,FC Board,F405,Stack FC,25.5x25.5,Betaflight,BMI270,Yes,Yes,64MB,DShot1200,Plug,FPV,Racing FPV
FC-0222,AxisFlying,Flight Controller,FC Board,H743,Stack FC,30x30,INAV,ICM20689,No,Yes,16MB,DShot300,JST,FPV,Freestyle FPV
FC-0223,Diatone,Flight Controller,FC Board,F411,Whoop FC,25.5x25.5,Betaflight,MPU6000,No,Yes,32MB,PWM,JST,FPV,Racing FPV
FC-0224,SpeedyBee,Flight Controller,FC Board,H743,AIO,20x20,ArduPilot,MPU6000,No,Yes,None,DShot300,JST,FPV,Long Range FPV
FC-0225,SpeedyBee,Flight Controller,FC Board,F765,AIO,30x30,INAV,ICM20689,Yes,Yes,64MB,DShot1200,Direct Solder,FPV,Racing FPV
FC-0226,Matek,Flight Controller,FC Board,F405,Mini FC,20x20,Betaflight,MPU6000,Yes,Yes,32MB,PWM,Direct Solder,FPV,Freestyle FPV
FC-0227,Skystars,Flight Controller,FC Board,F745,Whoop FC,30x30,Betaflight,ICM42688,No,Yes,None,DShot300,JST,FPV,Freestyle FPV
FC-0228,Matek,Flight Controller,FC Board,F765,Mini FC,16x16,INAV,MPU6000,Yes,Yes,64MB,PWM,Direct Solder,FPV,Cinematic FPV
FC-0229,iFlight,Flight Controller,FC Board,F765,Stack FC,16x16,ArduPilot,ICM42688,Yes,Yes,None,DShot1200,Direct Solder,FPV,Cinematic FPV
FC-0230,GEPRC,Flight Controller,FC Board,F722,Whoop FC,16x16,INAV,MPU6000,Yes,Yes,64MB,DShot600,Direct Solder,FPV,Freestyle FPV
FC-0231,iFlight,Flight Controller,FC Board,F745,Whoop FC,20x20,INAV,BMI270,No,Yes,None,DShot1200,Direct Solder,FPV,Cinematic FPV
FC-0232,HGLRC,Flight Controller,FC Board,F765,AIO,30x30,Betaflight,ICM20689,No,Yes,64MB,DShot600,Plug,Industrial,Industrial UAV
FC-0233,AxisFlying,Flight Controller,FC Board,F765,Stack FC,16x16,INAV,MPU6000,No,Yes,16MB,DShot300,Plug,Industrial,Industrial UAV
FC-0234,HGLRC,Flight Controller,FC Board,F411,Stack FC,25.5x25.5,Betaflight,ICM42688,Yes,Yes,32MB,DShot1200,Plug,FPV,Freestyle FPV
FC-0235,HGLRC,Flight Controller,FC Board,F745,Mini FC,30x30,ArduPilot,ICM42688,Yes,Yes,16MB,DShot600,Plug,FPV,Long Range FPV
FC-0236,Flywoo,Flight Controller,FC Board,F765,Whoop FC,25.5x25.5,Betaflight,BMI270,No,Yes,None,PWM,Plug,Industrial,Industrial UAV
FC-0237,GEPRC,Flight Controller,FC Board,F722,AIO,16x16,INAV,BMI270,Yes,Yes,None,PWM,Direct Solder,FPV,Long Range FPV
FC-0238,Foxeer,Flight Controller,FC Board,F745,Whoop FC,30x30,INAV,ICM42688,No,Yes,32MB,DShot600,Direct Solder,FPV,Long Range FPV
FC-0239,AxisFlying,Flight Controller,FC Board,F745,Mini FC,30x30,INAV,MPU6000,Yes,Yes,None,PWM,Plug,FPV,Freestyle FPV
FC-0240,Foxeer,Flight Controller,FC Board,H743,Whoop FC,30x30,ArduPilot,ICM20689,No,Yes,None,DShot300,JST,FPV,Racing FPV
FC-0241,Holybro,Flight Controller,FC Board,F722,Stack FC,30x30,Betaflight,BMI270,Yes,Yes,32MB,DShot300,JST,FPV,Racing FPV
FC-0242,Diatone,Flight Controller,FC Board,F405,Stack FC,25.5x25.5,INAV,ICM42688,No,Yes,32MB,PWM,JST,FPV,Long Range FPV
FC-0243,Skystars,Flight Controller,FC Board,F411,Stack FC,20x20,Betaflight,ICM20689,No,Yes,16MB,DShot600,JST,FPV,Freestyle FPV
FC-0244,Diatone,Flight Controller,FC Board,F722,AIO,25.5x25.5,Betaflight,BMI270,Yes,Yes,64MB,DShot300,JST,FPV,Freestyle FPV
FC-0245,Skystars,Flight Controller,FC Board,F722,Stack FC,20x20,INAV,ICM20689,Yes,Yes,32MB,DShot300,Plug,FPV,Long Range FPV
FC-0246,Diatone,Flight Controller,FC Board,F745,AIO,20x20,Betaflight,BMI270,No,Yes,64MB,DShot300,Plug,Industrial,Industrial UAV
FC-0247,RushFPV,Flight Controller,FC Board,F405,Stack FC,16x16,INAV,ICM42688,No,Yes,16MB,DShot600,JST,FPV,Freestyle FPV
FC-0248,SpeedyBee,Flight Controller,FC Board,F405,Mini FC,25.5x25.5,INAV,MPU6000,Yes,Yes,16MB,DShot300,Direct Solder,FPV,Racing FPV
FC-0249,Skystars,Flight Controller,FC Board,F722,AIO,30x30,ArduPilot,BMI270,No,Yes,32MB,DShot1200,Plug,Industrial,Industrial UAV
FC-0250,GEPRC,Flight Controller,FC Board,F765,Mini FC,16x16,Betaflight,ICM20689,Yes,Yes,None,PWM,JST,FPV,Cinematic FPV
FC-0251,RushFPV,Flight Controller,FC Board,F745,Whoop FC,16x16,INAV,BMI270,No,Yes,16MB,DShot1200,Direct Solder,FPV,Cinematic FPV
FC-0252,Flywoo,Flight Controller,FC Board,F405,Mini FC,16x16,ArduPilot,BMI270,No,Yes,16MB,DShot300,JST,FPV,Cinematic FPV
FC-0253,AxisFlying,Flight Controller,FC Board,F411,Stack FC,25.5x25.5,ArduPilot,ICM42688,Yes,Yes,32MB,DShot600,Direct Solder,Industrial,Industrial UAV
FC-0254,HGLRC,Flight Controller,FC Board,F745,Stack FC,20x20,Betaflight,MPU6000,Yes,Yes,16MB,DShot1200,Direct Solder,FPV,Freestyle FPV
FC-0255,Foxeer,Flight Controller,FC Board,F745,Mini FC,25.5x25.5,INAV,ICM20689,Yes,Yes,64MB,DShot300,JST,FPV,Racing FPV
FC-0256,SpeedyBee,Flight Controller,FC Board,F405,AIO,25.5x25.5,ArduPilot,ICM42688,No,Yes,16MB,PWM,Plug,FPV,Freestyle FPV
FC-0257,Diatone,Flight Controller,FC Board,F745,Mini FC,16x16,ArduPilot,BMI270,No,Yes,None,PWM,JST,FPV,Cinematic FPV
FC-0258,RushFPV,Flight Controller,FC Board,F411,Mini FC,30x30,Betaflight,BMI270,Yes,Yes,64MB,DShot1200,Plug,FPV,Long Range FPV
FC-0259,Flywoo,Flight Controller,FC Board,F765,AIO,30x30,INAV,BMI270,Yes,Yes,32MB,DShot300,JST,FPV,Cinematic FPV
FC-0260,RushFPV,Flight Controller,FC Board,F745,Whoop FC,20x20,INAV,BMI270,Yes,Yes,16MB,DShot600,Plug,FPV,Cinematic FPV
FC-0261,EMAX,Flight Controller,FC Board,F722,Whoop FC,25.5x25.5,INAV,ICM20689,No,Yes,16MB,DShot300,Direct Solder,FPV,Racing FPV
FC-0262,Matek,Flight Controller,FC Board,F765,Mini FC,30x30,Betaflight,BMI270,No,Yes,32MB,DShot1200,Plug,FPV,Long Range FPV
FC-0263,EMAX,Flight Controller,FC Board,F722,Whoop FC,30x30,Betaflight,ICM20689,Yes,Yes,None,DShot1200,JST,FPV,Racing FPV
FC-0264,BetaFPV,Flight Controller,FC Board,F745,AIO,25.5x25.5,Betaflight,ICM20689,No,Yes,32MB,DShot1200,Plug,Industrial,Industrial UAV
FC-0265,Diatone,Flight Controller,FC Board,F765,Mini FC,30x30,Betaflight,MPU6000,Yes,Yes,32MB,DShot1200,Plug,FPV,Racing FPV
FC-0266,SpeedyBee,Flight Controller,FC Board,H743,Whoop FC,20x20,Betaflight,MPU6000,Yes,Yes,16MB,DShot600,JST,FPV,Long Range FPV
FC-0267,GEPRC,Flight Controller,FC Board,H743,Whoop FC,16x16,ArduPilot,MPU6000,No,Yes,None,PWM,Direct Solder,FPV,Cinematic FPV
FC-0268,RushFPV,Flight Controller,FC Board,F405,Stack FC,25.5x25.5,Betaflight,ICM20689,No,Yes,32MB,DShot1200,JST,FPV,Racing FPV
FC-0269,iFlight,Flight Controller,FC Board,F411,Whoop FC,30x30,ArduPilot,MPU6000,Yes,Yes,None,DShot600,JST,FPV,Cinematic FPV
FC-0270,BetaFPV,Flight Controller,FC Board,F722,AIO,16x16,ArduPilot,BMI270,No,Yes,None,DShot600,Direct Solder,FPV,Long Range FPV
FC-0271,Holybro,Flight Controller,FC Board,F745,Stack FC,16x16,ArduPilot,MPU6000,No,Yes,None,DShot600,JST,Industrial,Industrial UAV
FC-0272,Foxeer,Flight Controller,FC Board,H743,AIO,16x16,ArduPilot,BMI270,No,Yes,64MB,PWM,Direct Solder,FPV,Cinematic FPV
FC-0273,Holybro,Flight Controller,FC Board,F722,Mini FC,30x30,Betaflight,ICM42688,No,Yes,64MB,DShot600,Direct Solder,Industrial,Industrial UAV
FC-0274,RushFPV,Flight Controller,FC Board,H743,Stack FC,20x20,Betaflight,ICM42688,No,Yes,32MB,DShot600,Plug,FPV,Freestyle FPV
FC-0275,Diatone,Flight Controller,FC Board,H743,Stack FC,30x30,Betaflight,ICM20689,Yes,Yes,16MB,DShot300,Direct Solder,FPV,Cinematic FPV
FC-0276,Foxeer,Flight Controller,FC Board,F722,Mini FC,25.5x25.5,ArduPilot,ICM42688,Yes,Yes,64MB,DShot1200,Direct Solder,FPV,Cinematic FPV
FC-0277,RushFPV,Flight Controller,FC Board,F405,Stack FC,30x30,INAV,MPU6000,No,Yes,32MB,PWM,Direct Solder,FPV,Freestyle FPV
FC-0278,Holybro,Flight Controller,FC Board,F411,AIO,30x30,ArduPilot,ICM42688,No,Yes,16MB,DShot600,Plug,FPV,Long Range FPV
FC-0279,Flywoo,Flight Controller,FC Board,F405,AIO,16x16,INAV,ICM42688,Yes,Yes,32MB,DShot300,Plug,FPV,Racing FPV
FC-0280,SpeedyBee,Flight Controller,FC Board,F745,Stack FC,16x16,INAV,ICM20689,No,Yes,16MB,DShot600,JST,FPV,Freestyle FPV
FC-0281,iFlight,Flight Controller,FC Board,F405,Whoop FC,30x30,INAV,ICM42688,No,Yes,16MB,DShot300,Plug,FPV,Freestyle FPV
FC-0282,RushFPV,Flight Controller,FC Board,F765,Whoop FC,20x20,ArduPilot,BMI270,Yes,Yes,16MB,DShot600,JST,FPV,Long Range FPV
FC-0283,Flywoo,Flight Controller,FC Board,F722,AIO,16x16,INAV,ICM42688,No,Yes,None,DShot1200,Direct Solder,FPV,Freestyle FPV
FC-0284,Diatone,Flight Controller,FC Board,H743,Whoop FC,30x30,Betaflight,ICM42688,No,Yes,32MB,DShot600,JST,FPV,Freestyle FPV
FC-0285,BetaFPV,Flight Controller,FC Board,F745,Mini FC,16x16,Betaflight,MPU6000,Yes,Yes,None,DShot600,JST,Industrial,Industrial UAV
FC-0286,SpeedyBee,Flight Controller,FC Board,F765,Whoop FC,16x16,ArduPilot,MPU6000,Yes,Yes,32MB,DShot600,JST,FPV,Long Range FPV
FC-0287,Holybro,Flight Controller,FC Board,F405,Stack FC,30x30,Betaflight,BMI270,Yes,Yes,32MB,DShot300,Plug,FPV,Long Range FPV
FC-0288,BetaFPV,Flight Controller,FC Board,F745,Stack FC,25.5x25.5,Betaflight,ICM42688,Yes,Yes,None,DShot1200,Direct Solder,Industrial,Industrial UAV
FC-0289,Diatone,Flight Controller,FC Board,F722,Mini FC,16x16,Betaflight,MPU6000,Yes,Yes,32MB,DShot600,JST,Industrial,Industrial UAV
FC-0290,Flywoo,Flight Controller,FC Board,F722,Stack FC,16x16,ArduPilot,ICM42688,No,Yes,16MB,PWM,Direct Solder,FPV,Long Range FPV
FC-0291,Skystars,Flight Controller,FC Board,F722,AIO,16x16,ArduPilot,ICM42688,No,Yes,None,DShot600,Direct Solder,FPV,Long Range FPV
FC-0292,RushFPV,Flight Controller,FC Board,F745,Whoop FC,20x20,ArduPilot,ICM42688,No,Yes,None,DShot300,Direct Solder,FPV,Freestyle FPV
FC-0293,AxisFlying,Flight Controller,FC Board,F411,Mini FC,20x20,INAV,BMI270,No,Yes,64MB,PWM,Direct Solder,Industrial,Industrial UAV
FC-0294,AxisFlying,Flight Controller,FC Board,F405,Stack FC,25.5x25.5,INAV,MPU6000,No,Yes,64MB,DShot1200,JST,FPV,Freestyle FPV
FC-0295,RushFPV,Flight Controller,FC Board,F745,Stack FC,30x30,INAV,BMI270,Yes,Yes,32MB,DShot600,JST,FPV,Cinematic FPV
FC-0296,BetaFPV,Flight Controller,FC Board,F405,Whoop FC,16x16,INAV,MPU6000,Yes,Yes,16MB,PWM,Plug,Industrial,Industrial UAV
FC-0297,BetaFPV,Flight Controller,FC Board,F722,Whoop FC,16x16,ArduPilot,MPU6000,No,Yes,None,DShot600,Direct Solder,FPV,Cinematic FPV
FC-0298,Diatone,Flight Controller,FC Board,F745,Whoop FC,30x30,INAV,ICM20689,No,Yes,64MB,DShot300,JST,FPV,Racing FPV
FC-0299,SpeedyBee,Flight Controller,FC Board,F765,Stack FC,25.5x25.5,ArduPilot,ICM20689,No,Yes,None,DShot1200,Direct Solder,FPV,Cinematic FPV
FC-0300,EMAX,Flight Controller,FC Board,F411,AIO,16x16,ArduPilot,ICM20689,No,Yes,64MB,PWM,Plug,FPV,Freestyle FPV
FC-0301,RushFPV,Flight Controller,FC Board,F411,Stack FC,20x20,INAV,BMI270,No,Yes,64MB,PWM,JST,FPV,Long Range FPV
FC-0302,GEPRC,Flight Controller,FC Board,F722,Whoop FC,16x16,Betaflight,ICM20689,No,Yes,None,DShot1200,Plug,FPV,Freestyle FPV
FC-0303,SpeedyBee,Flight Controller,FC Board,F405,AIO,25.5x25.5,INAV,ICM20689,No,Yes,64MB,PWM,JST,FPV,Racing FPV
FC-0304,BetaFPV,Flight Controller,FC Board,F405,Stack FC,20x20,ArduPilot,BMI270,No,Yes,64MB,PWM,Plug,FPV,Cinematic FPV
FC-0305,HGLRC,Flight Controller,FC Board,F722,Stack FC,20x20,INAV,MPU6000,No,Yes,None,DShot1200,JST,FPV,Long Range FPV
FC-0306,iFlight,Flight Controller,FC Board,F411,Whoop FC,16x16,INAV,ICM42688,No,Yes,None,DShot300,Direct Solder,FPV,Freestyle FPV
FC-0307,Foxeer,Flight Controller,FC Board,F405,Whoop FC,16x16,ArduPilot,BMI270,No,Yes,16MB,DShot1200,Plug,FPV,Cinematic FPV
FC-0308,HGLRC,Flight Controller,FC Board,H743,Mini FC,25.5x25.5,ArduPilot,ICM20689,Yes,Yes,32MB,DShot300,Direct Solder,FPV,Freestyle FPV
FC-0309,Flywoo,Flight Controller,FC Board,F745,Stack FC,16x16,ArduPilot,BMI270,No,Yes,64MB,DShot600,Direct Solder,FPV,Freestyle FPV
FC-0310,SpeedyBee,Flight Controller,FC Board,F411,Stack FC,25.5x25.5,Betaflight,ICM42688,Yes,Yes,16MB,PWM,Plug,FPV,Long Range FPV
FC-0311,Matek,Flight Controller,FC Board,F765,Stack FC,16x16,ArduPilot,MPU6000,No,Yes,64MB,PWM,JST,FPV,Racing FPV
FC-0312,GEPRC,Flight Controller,FC Board,F745,AIO,25.5x25.5,Betaflight,ICM20689,No,Yes,None,PWM,Direct Solder,FPV,Cinematic FPV
FC-0313,Flywoo,Flight Controller,FC Board,F722,Whoop FC,30x30,ArduPilot,ICM20689,No,Yes,32MB,PWM,Direct Solder,FPV,Cinematic FPV
FC-0314,BetaFPV,Flight Controller,FC Board,H743,Whoop FC,20x20,INAV,BMI270,No,Yes,32MB,DShot1200,Plug,FPV,Long Range FPV
FC-0315,HGLRC,Flight Controller,FC Board,F765,Stack FC,16x16,Betaflight,MPU6000,Yes,Yes,32MB,DShot300,Plug,FPV,Freestyle FPV
FC-0316,AxisFlying,Flight Controller,FC Board,H743,Whoop FC,25.5x25.5,Betaflight,ICM20689,No,Yes,None,DShot600,Plug,FPV,Cinematic FPV
FC-0317,BetaFPV,Flight Controller,FC Board,F411,Stack FC,25.5x25.5,INAV,BMI270,Yes,Yes,None,DShot1200,Plug,Industrial,Industrial UAV
FC-0318,AxisFlying,Flight Controller,FC Board,F765,Stack FC,30x30,ArduPilot,ICM20689,No,Yes,32MB,DShot1200,JST,FPV,Long Range FPV
FC-0319,EMAX,Flight Controller,FC Board,F411,Whoop FC,16x16,Betaflight,ICM20689,Yes,Yes,16MB,DShot300,Plug,FPV,Long Range FPV
FC-0320,Skystars,Flight Controller,FC Board,F411,Mini FC,20x20,Betaflight,ICM20689,Yes,Yes,16MB,DShot600,Plug,FPV,Freestyle FPV
FC-0321,Holybro,Flight Controller,FC Board,F745,AIO,20x20,ArduPilot,ICM42688,No,Yes,None,PWM,JST,Industrial,Industrial UAV
FC-0322,EMAX,Flight Controller,FC Board,F722,Mini FC,30x30,ArduPilot,ICM42688,No,Yes,16MB,PWM,JST,FPV,Racing FPV
FC-0323,Holybro,Flight Controller,FC Board,F411,Whoop FC,16x16,ArduPilot,MPU6000,No,Yes,64MB,DShot300,Plug,FPV,Freestyle FPV
FC-0324,Diatone,Flight Controller,FC Board,F411,Mini FC,16x16,ArduPilot,BMI270,No,Yes,None,DShot300,Direct Solder,FPV,Freestyle FPV
FC-0325,BetaFPV,Flight Controller,FC Board,F745,AIO,25.5x25.5,ArduPilot,ICM20689,No,Yes,64MB,DShot300,Plug,FPV,Freestyle FPV
FC-0326,GEPRC,Flight Controller,FC Board,F411,Stack FC,16x16,Betaflight,BMI270,Yes,Yes,None,DShot1200,Direct Solder,FPV,Freestyle FPV
FC-0327,Foxeer,Flight Controller,FC Board,H743,Stack FC,16x16,INAV,BMI270,No,Yes,16MB,DShot600,Direct Solder,FPV,Racing FPV
FC-0328,Skystars,Flight Controller,FC Board,F765,Stack FC,16x16,ArduPilot,ICM20689,No,Yes,None,DShot300,Direct Solder,FPV,Racing FPV
FC-0329,RushFPV,Flight Controller,FC Board,F745,Mini FC,20x20,INAV,MPU6000,Yes,Yes,64MB,DShot300,JST,FPV,Long Range FPV
FC-0330,Diatone,Flight Controller,FC Board,F411,Mini FC,16x16,ArduPilot,ICM42688,No,Yes,64MB,DShot300,Plug,Industrial,Industrial UAV
FC-0331,Flywoo,Flight Controller,FC Board,F411,Whoop FC,20x20,ArduPilot,BMI270,No,Yes,16MB,DShot300,JST,FPV,Cinematic FPV
FC-0332,HGLRC,Flight Controller,FC Board,F765,Whoop FC,25.5x25.5,Betaflight,ICM20689,No,Yes,64MB,DShot300,Plug,Industrial,Industrial UAV
FC-0333,RushFPV,Flight Controller,FC Board,F765,Whoop FC,20x20,ArduPilot,BMI270,No,Yes,64MB,DShot300,JST,FPV,Long Range FPV
