PropID,Brand,Category,SubCategory,PropType,Diameter_in,Pitch_in,BladeCount,Material,MountType,Rotation,CompatibleDroneType,IntendedUse
PROP-0192,iFlight,Propellers,FPV Propeller,3x3.5 2-Blade,3,3.5,2,Polycarbonate,1.5mm Shaft,CW,FPV,Cinematic FPV
PROP-0193,iFlight,Propellers,FPV Propeller,8x2.5 2-Blade,8,2.5,2,Nylon,1.5mm Shaft,CW,FPV,Explorer FPV
PROP-0194,Ethix,Propellers,FPV Propeller,7x4.5 2-Blade,7,4.5,2,Carbon Reinforced Nylon,T-Mount,CW,FPV,Long Range FPV
PROP-0195,DALProp,Propellers,FPV Propeller,3.5x4 4-Blade,3.5,4,4,Nylon,5mm Shaft,CCW,FPV,Cinematic FPV
PROP-0196,Master Airscrew,Propellers,FPV Propeller,2x5.1 4-Blade,2,5.1,4,Carbon Reinforced Nylon,1.5mm Shaft,CCW,FPV,Indoor FPV
PROP-0197,Lumenier,Propellers,FPV Propeller,2x4 2-Blade,2,4,2,Plastic,T-Mount,CCW,FPV,Indoor FPV
PROP-0198,Gemfan,Propellers,FPV Propeller,10x2.5 2-Blade,10,2.5,2,Carbon Reinforced Nylon,1.5mm Shaft,CCW,FPV,Mapping / Survey
PROP-0199,iFlight,Propellers,FPV Propeller,7x6 4-Blade,7,6,4,Nylon,T-Mount,CCW,FPV,Long Range FPV
PROP-0200,Foxeer,Propellers,FPV Propeller,10x4.3 2-Blade,10,4.3,2,Plastic,T-Mount,CW,FPV,Mapping / Survey
PROP-0201,Gemfan Hurricane,Propellers,FPV Propeller,6x4 4-Blade,6,4,4,Carbon Reinforced Nylon,1.5mm Shaft,CW,FPV,Long Range FPV
PROP-0202,HQProp,Propellers,FPV Propeller,7x4.5 4-Blade,7,4.5,4,Nylon,T-Mount,CCW,FPV,Long Range FPV
PROP-0203,HQProp,Propellers,FPV Propeller,3.5x6 3-Blade,3.5,6,3,Polycarbonate,1.5mm Shaft,CW,FPV,Cinematic FPV
PROP-0204,Gemfan,Propellers,FPV Propeller,10x2.5 4-Blade,10,2.5,4,Plastic,1.5mm Shaft,CCW,FPV,Mapping / Survey
PROP-0205,Lumenier,Propellers,FPV Propeller,7x3.5 2-Blade,7,3.5,2,Polycarbonate,1.5mm Shaft,CW,FPV,Long Range FPV
PROP-0206,Gemfan,Propellers,FPV Propeller,4x5 4-Blade,4,5,4,Polycarbonate,1.5mm Shaft,CW,FPV,Freestyle
PROP-0207,iFlight,Propellers,FPV Propeller,6x4.5 3-Blade,6,4.5,3,Polycarbonate,1.5mm Shaft,CW,FPV,Long Range FPV
PROP-0208,Foxeer,Propellers,FPV Propeller,4x5 3-Blade,4,5,3,Carbon Reinforced Nylon,T-Mount,CW,FPV,Freestyle
PROP-0209,Lumenier,Propellers,FPV Propeller,3.5x6 2-Blade,3.5,6,2,Nylon,1.5mm Shaft,CW,FPV,Cinematic FPV
PROP-0210,Foxeer,Propellers,FPV Propeller,2x3 2-Blade,2,3,2,Polycarbonate,T-Mount,CW,FPV,Indoor FPV
PROP-0211,Gemfan,Propellers,FPV Propeller,8x4.5 4-Blade,8,4.5,4,Plastic,T-Mount,CCW,FPV,Explorer FPV
PROP-0212,DALProp,Propellers,FPV Propeller,10x3 4-Blade,10,3,4,Nylon,5mm Shaft,CCW,FPV,Mapping / Survey
PROP-0213,Azure Power,Propellers,FPV Propeller,5x3 2-Blade,5,3,2,Plastic,5mm Shaft,CCW,FPV,Freestyle
PROP-0214,Master Airscrew,Propellers,FPV Propeller,2x6 3-Blade,2,6,3,Carbon Reinforced Nylon,1.5mm Shaft,CCW,FPV,Indoor FPV
PROP-0215,Master Airscrew,Propellers,FPV Propeller,7x3 2-Blade,7,3,2,Plastic,1.5mm Shaft,CW,FPV,Long Range FPV
PROP-0216,iFlight,Propellers,FPV Propeller,8x3 4-Blade,8,3,4,Nylon,5mm Shaft,CW,FPV,Explorer FPV
PROP-0217,Foxeer,Propellers,FPV Propeller,5x4.3 3-Blade,5,4.3,3,Nylon,T-Mount,CW,FPV,Freestyle
PROP-0218,Gemfan,Propellers,FPV Propeller,3.5x5 3-Blade,3.5,5,3,Plastic,5mm Shaft,CW,FPV,Cinematic FPV
PROP-0219,Master Airscrew,Propellers,FPV Propeller,7x2.5 4-Blade,7,2.5,4,Nylon,T-Mount,CW,FPV,Long Range FPV
PROP-0220,BrotherHobby,Propellers,FPV Propeller,4x5.1 4-Blade,4,5.1,4,Plastic,1.5mm Shaft,CW,FPV,Freestyle
PROP-0221,Azure Power,Propellers,FPV Propeller,2.5x4.3 2-Blade,2.5,4.3,2,Carbon Reinforced Nylon,5mm Shaft,CW,FPV,Indoor FPV
PROP-0222,Ethix,Propellers,FPV Propeller,7x4.3 4-Blade,7,4.3,4,Plastic,T-Mount,CW,FPV,Long Range FPV
PROP-0223,Master Airscrew,Propellers,FPV Propeller,4x6 3-Blade,4,6,3,Carbon Reinforced Nylon,5mm Shaft,CW,FPV,Freestyle
PROP-0224,HQProp,Propellers,FPV Propeller,3x6 3-Blade,3,6,3,Carbon Reinforced Nylon,1.5mm Shaft,CW,FPV,Cinematic FPV
PROP-0225,Gemfan,Propellers,FPV Propeller,7x4.3 4-Blade,7,4.3,4,Polycarbonate,5mm Shaft,CW,FPV,Long Range FPV
PROP-0226,HQProp,Propellers,FPV Propeller,2.5x3 4-Blade,2.5,3,4,Polycarbonate,T-Mount,CCW,FPV,Indoor FPV
PROP-0227,Lumenier,Propellers,FPV Propeller,3x5 2-Blade,3,5,2,Plastic,T-Mount,CCW,FPV,Cinematic FPV
PROP-0228,Master Airscrew,Propellers,FPV Propeller,9x4.5 4-Blade,9,4.5,4,Plastic,5mm Shaft,CCW,FPV,Long Endurance
PROP-0229,Ethix,Propellers,FPV Propeller,8x3.5 2-Blade,8,3.5,2,Carbon Reinforced Nylon,1.5mm Shaft,CCW,FPV,Explorer FPV
PROP-0230,HQProp,Propellers,FPV Propeller,7x4 3-Blade,7,4,3,Nylon,5mm Shaft,CCW,FPV,Long Range FPV
PROP-0231,Master Airscrew,Propellers,FPV Propeller,6x4.5 4-Blade,6,4.5,4,Nylon,1.5mm Shaft,CW,FPV,Long Range FPV
PROP-0232,BrotherHobby,Propellers,FPV Propeller,2.5x6 3-Blade,2.5,6,3,Polycarbonate,T-Mount,CW,FPV,Indoor FPV
PROP-0233,Gemfan Hurricane,Propellers,FPV Propeller,8x4.3 3-Blade,8,4.3,3,Carbon Reinforced Nylon,T-Mount,CCW,FPV,Explorer FPV
PROP-0234,Ethix,Propellers,FPV Propeller,6x4.3 4-Blade,6,4.3,4,Polycarbonate,5mm Shaft,CW,FPV,Long Range FPV
PROP-0235,T-Motor,Propellers,FPV Propeller,4x4.3 2-Blade,4,4.3,2,Polycarbonate,1.5mm Shaft,CCW,FPV,Freestyle
PROP-0236,BrotherHobby,Propellers,FPV Propeller,3.5x3 2-Blade,3.5,3,2,Carbon Reinforced Nylon,T-Mount,CW,FPV,Cinematic FPV
PROP-0237,BrotherHobby,Propellers,FPV Propeller,3x3.5 4-Blade,3,3.5,4,Nylon,1.5mm Shaft,CW,FPV,Cinematic FPV
PROP-0238,Foxeer,Propellers,FPV Propeller,4x3.5 2-Blade,4,3.5,2,Nylon,T-Mount,CW,FPV,Freestyle
PROP-0239,Master Airscrew,Propellers,FPV Propeller,5x6 2-Blade,5,6,2,Carbon Reinforced Nylon,5mm Shaft,CW,FPV,Freestyle
PROP-0240,iFlight,Propellers,FPV Propeller,8x4.5 2-Blade,8,4.5,2,Plastic,1.5mm Shaft,CW,FPV,Explorer FPV
PROP-0241,Master Airscrew,Propellers,FPV Propeller,4x5 2-Blade,4,5,2,Carbon Reinforced Nylon,T-Mount,CW,FPV,Freestyle
PROP-0242,T-Motor,Propellers,FPV Propeller,3x4.5 4-Blade,3,4.5,4,Nylon,1.5mm Shaft,CW,FPV,Cinematic FPV
PROP-0243,Ethix,Propellers,FPV Propeller,8x5.1 4-Blade,8,5.1,4,Carbon Reinforced Nylon,1.5mm Shaft,CCW,FPV,Explorer FPV
PROP-0244,DALProp,Propellers,FPV Propeller,4x6 4-Blade,4,6,4,Plastic,5mm Shaft,CCW,FPV,Freestyle
PROP-0245,HQProp,Propellers,FPV Propeller,6x3.5 3-Blade,6,3.5,3,Carbon Reinforced Nylon,1.5mm Shaft,CW,FPV,Long Range FPV
PROP-0246,Lumenier,Propellers,FPV Propeller,6x5 4-Blade,6,5,4,Nylon,1.5mm Shaft,CCW,FPV,Long Range FPV
PROP-0247,Gemfan,Propellers,FPV Propeller,4x3.5 3-Blade,4,3.5,3,Nylon,1.5mm Shaft,CCW,FPV,Freestyle
PROP-0248,Azure Power,Propellers,FPV Propeller,2x3 3-Blade,2,3,3,Polycarbonate,1.5mm Shaft,CW,FPV,Indoor FPV
PROP-0249,Lumenier,Propellers,FPV Propeller,3.5x5 4-Blade,3.5,5,4,Polycarbonate,1.5mm Shaft,CW,FPV,Cinematic FPV
PROP-0250,Ethix,Propellers,FPV Propeller,3x4.3 3-Blade,3,4.3,3,Polycarbonate,1.5mm Shaft,CCW,FPV,Cinematic FPV
PROP-0251,Ethix,Propellers,FPV Propeller,7x4.5 3-Blade,7,4.5,3,Carbon Reinforced Nylon,1.5mm Shaft,CW,FPV,Long Range FPV
PROP-0252,T-Motor,Propellers,FPV Propeller,2x5 3-Blade,2,5,3,Carbon Reinforced Nylon,5mm Shaft,CCW,FPV,Indoor FPV
PROP-0253,Gemfan Hurricane,Propellers,FPV Propeller,2x3.5 4-Blade,2,3.5,4,Carbon Reinforced Nylon,1.5mm Shaft,CCW,FPV,Indoor FPV
PROP-0254,Master Airscrew,Propellers,FPV Propeller,3x4.3 3-Blade,3,4.3,3,Polycarbonate,1.5mm Shaft,CW,FPV,Cinematic FPV
PROP-0255,Foxeer,Propellers,FPV Propeller,3.5x4.3 2-Blade,3.5,4.3,2,Plastic,T-Mount,CCW,FPV,Cinematic FPV
PROP-0256,Gemfan,Propellers,FPV Propeller,5x4.3 4-Blade,5,4.3,4,Nylon,T-Mount,CW,FPV,Freestyle
PROP-0257,HQProp,Propellers,FPV Propeller,6x2.5 2-Blade,6,2.5,2,Plastic,T-Mount,CCW,FPV,Long Range FPV
PROP-0258,Azure Power,Propellers,FPV Propeller,5x4.3 3-Blade,5,4.3,3,Polycarbonate,5mm Shaft,CW,FPV,Freestyle
PROP-0259,BrotherHobby,Propellers,FPV Propeller,4x4.3 4-Blade,4,4.3,4,Polycarbonate,5mm Shaft,CW,FPV,Freestyle
PROP-0260,Master Airscrew,Propellers,FPV Propeller,7x5 4-Blade,7,5,4,Polycarbonate,T-Mount,CCW,FPV,Long Range FPV
PROP-0261,iFlight,Propellers,FPV Propeller,4x3 3-Blade,4,3,3,Carbon Reinforced Nylon,T-Mount,CW,FPV,Freestyle
PROP-0262,BrotherHobby,Propellers,FPV Propeller,2.5x5 2-Blade,2.5,5,2,Plastic,1.5mm Shaft,CCW,FPV,Indoor FPV
PROP-0263,DALProp,Propellers,FPV Propeller,4x3.5 3-Blade,4,3.5,3,Carbon Reinforced Nylon,1.5mm Shaft,CW,FPV,Freestyle
PROP-0264,Foxeer,Propellers,FPV Propeller,2.5x6 2-Blade,2.5,6,2,Nylon,1.5mm Shaft,CW,FPV,Indoor FPV
PROP-0265,Lumenier,Propellers,FPV Propeller,6x6 3-Blade,6,6,3,Polycarbonate,5mm Shaft,CW,FPV,Long Range FPV
PROP-0266,iFlight,Propellers,FPV Propeller,2x3 4-Blade,2,3,4,Plastic,5mm Shaft,CW,FPV,Indoor FPV
PROP-0267,HQProp,Propellers,FPV Propeller,3x4.3 4-Blade,3,4.3,4,Carbon Reinforced Nylon,T-Mount,CCW,FPV,Cinematic FPV
PROP-0268,Azure Power,Propellers,FPV Propeller,7x2.5 3-Blade,7,2.5,3,Plastic,5mm Shaft,CW,FPV,Long Range FPV
PROP-0269,Foxeer,Propellers,FPV Propeller,10x2.5 3-Blade,10,2.5,3,Plastic,5mm Shaft,CW,FPV,Mapping / Survey
PROP-0270,BrotherHobby,Propellers,FPV Propeller,2.5x6 3-Blade,2.5,6,3,Carbon Reinforced Nylon,1.5mm Shaft,CCW,FPV,Indoor FPV
PROP-0271,BrotherHobby,Propellers,FPV Propeller,7x6 3-Blade,7,6,3,Nylon,T-Mount,CW,FPV,Long Range FPV
PROP-0272,BrotherHobby,Propellers,FPV Propeller,7x6 3-Blade,7,6,3,Nylon,1.5mm Shaft,CCW,FPV,Long Range FPV
PROP-0273,Foxeer,Propellers,FPV Propeller,4x3 2-Blade,4,3,2,Nylon,1.5mm Shaft,CCW,FPV,Freestyle
PROP-0274,T-Motor,Propellers,FPV Propeller,3.5x4.3 3-Blade,3.5,4.3,3,Carbon Reinforced Nylon,5mm Shaft,CCW,FPV,Cinematic FPV
PROP-0275,Azure Power,Propellers,FPV Propeller,3.5x3 4-Blade,3.5,3,4,Polycarbonate,5mm Shaft,CCW,FPV,Cinematic FPV
PROP-0276,Ethix,Propellers,FPV Propeller,2x5.1 4-Blade,2,5.1,4,Nylon,T-Mount,CCW,FPV,Indoor FPV
PROP-0277,DALProp,Propellers,FPV Propeller,10x5 4-Blade,10,5,4,Polycarbonate,5mm Shaft,CW,FPV,Mapping / Survey
PROP-0278,BrotherHobby,Propellers,FPV Propeller,3.5x6 2-Blade,3.5,6,2,Polycarbonate,T-Mount,CCW,FPV,Cinematic FPV
PROP-0279,Gemfan,Propellers,FPV Propeller,2.5x3 3-Blade,2.5,3,3,Nylon,1.5mm Shaft,CCW,FPV,Indoor FPV
PROP-0280,BrotherHobby,Propellers,FPV Propeller,5x2.5 3-Blade,5,2.5,3,Carbon Reinforced Nylon,5mm Shaft,CCW,FPV,Freestyle
PROP-0281,Master Airscrew,Propellers,FPV Propeller,3.5x5 2-Blade,3.5,5,2,Carbon Reinforced Nylon,1.5mm Shaft,CW,FPV,Cinematic FPV
PROP-0282,Gemfan,Propellers,FPV Propeller,2x6 3-Blade,2,6,3,Polycarbonate,T-Mount,CW,FPV,Indoor FPV
PROP-0283,Gemfan,Propellers,FPV Propeller,2x5.1 2-Blade,2,5.1,2,Plastic,1.5mm Shaft,CW,FPV,Indoor FPV
PROP-0284,Gemfan,Propellers,FPV Propeller,3x4.5 3-Blade,3,4.5,3,Polycarbonate,1.5mm Shaft,CW,FPV,Cinematic FPV
PROP-0285,Gemfan Hurricane,Propellers,FPV Propeller,3x3 2-Blade,3,3,2,Plastic,5mm Shaft,CCW,FPV,Cinematic FPV
PROP-0286,Master Airscrew,Propellers,FPV Propeller,3.5x4.5 3-Blade,3.5,4.5,3,Carbon Reinforced Nylon,1.5mm Shaft,CW,FPV,Cinematic FPV
PROP-0287,Ethix,Propellers,FPV Propeller,5x4.5 4-Blade,5,4.5,4,Plastic,1.5mm Shaft,CW,FPV,Freestyle
PROP-0288,Gemfan,Propellers,FPV Propeller,9x4.3 2-Blade,9,4.3,2,Carbon Reinforced Nylon,5mm Shaft,CCW,FPV,Long Endurance
PROP-0289,Lumenier,Propellers,FPV Propeller,5x3 2-Blade,5,3,2,Plastic,1.5mm Shaft,CW,FPV,Freestyle
PROP-0290,BrotherHobby,Propellers,FPV Propeller,3x2.5 2-Blade,3,2.5,2,Carbon Reinforced Nylon,1.5mm Shaft,CCW,FPV,Cinematic FPV
PROP-0291,Lumenier,Propellers,FPV Propeller,4x3 4-Blade,4,3,4,Plastic,1.5mm Shaft,CCW,FPV,Freestyle
PROP-0292,DALProp,Propellers,FPV Propeller,5x4.3 4-Blade,5,4.3,4,Plastic,5mm Shaft,CW,FPV,Freestyle
PROP-0293,Ethix,Propellers,FPV Propeller,9x3.5 2-Blade,9,3.5,2,Plastic,T-Mount,CCW,FPV,Long Endurance
PROP-0294,Gemfan,Propellers,FPV Propeller,6x6 4-Blade,6,6,4,Nylon,5mm Shaft,CCW,FPV,Long Range FPV
PROP-0295,Gemfan Hurricane,Propellers,FPV Propeller,10x4.3 2-Blade,10,4.3,2,Nylon,1.5mm Shaft,CW,FPV,Mapping / Survey
PROP-0296,Lumenier,Propellers,FPV Propeller,6x4 2-Blade,6,4,2,Polycarbonate,1.5mm Shaft,CW,FPV,Long Range FPV
PROP-0297,Foxeer,Propellers,FPV Propeller,6x3.5 3-Blade,6,3.5,3,Nylon,T-Mount,CW,FPV,Long Range FPV
PROP-0298,T-Motor,Propellers,FPV Propeller,2.5x5 2-Blade,2.5,5,2,Plastic,T-Mount,CCW,FPV,Indoor FPV
PROP-0299,Master Airscrew,Propellers,FPV Propeller,3x4 3-Blade,3,4,3,Nylon,5mm Shaft,CCW,FPV,Cinematic FPV
PROP-0300,Azure Power,Propellers,FPV Propeller,3.5x3 4-Blade,3.5,3,4,Polycarbonate,T-Mount,CCW,FPV,Cinematic FPV
