GPSID,Brand,Category,SubCategory,GNSSSupport,CompassIncluded,UpdateRate_Hz,Interface,VoltageInput_V,AntennaType,MountingType,SupportedFirmware,SupportedDroneType,IntendedUse
GPS-0171,Flywoo,GPS Modules,GNSS Module,GPS+GLONASS,No,18,I2C,3.3-5V,External Active,Top Mount,INAV,Industrial,Autonomous UAV
GPS-0172,Flywoo,GPS Modules,GNSS Module,GPS+GLONASS,Yes,5,I2C,3.3-5V,Helical,Frame Mount,Betaflight,Industrial,Mapping / Survey
GPS-0173,BN-880,GPS Modules,GNSS Module,GPS,Yes,1,I2C,3.3-5V,Ceramic Patch,Top Mount,Betaflight,FPV,Navigation
GPS-0174,Matek,GPS Modules,GNSS Module,GPS+GLONASS+Galileo,No,18,I2C,3.3-5V,External Active,Mast Mount,INAV,FPV,Long Range FPV
GPS-0175,Foxeer,GPS Modules,GNSS Module,GPS+GLONASS+Galileo,Yes,1,UART,4-6S BEC,External Active,Mast Mount,PX4,Industrial,Mapping / Survey
GPS-0176,HGLRC,GPS Modules,GNSS Module,GPS+BeiDou,Yes,18,UART,4-6S BEC,Helical,Top Mount,Betaflight,Industrial,Mapping / Survey
GPS-0177,GEPRC,GPS Modules,GNSS Module,GPS+GLONASS,Yes,1,CAN,3.3-5V,External Active,Top Mount,INAV,Industrial,Autonomous UAV
GPS-0178,Beitian,GPS Modules,GNSS Module,GPS+GLONASS+Galileo,No,10,I2C,5V,Ceramic Patch,Mast Mount,ArduPilot,Industrial,Mapping / Survey
GPS-0179,GEPRC,GPS Modules,GNSS Module,Multi-GNSS,Yes,5,CAN,5V,Ceramic Patch,Mast Mount,PX4,FPV,Long Range FPV
GPS-0180,Matek,GPS Modules,GNSS Module,GPS+GLONASS,Yes,1,I2C,3.3-5V,Ceramic Patch,Top Mount,ArduPilot,Industrial,Autonomous UAV
GPS-0181,CUAV,GPS Modules,GNSS Module,GPS+GLONASS,No,18,I2C,5V,External Active,Top Mount,Betaflight,Industrial,Mapping / Survey
GPS-0182,Radiolink,GPS Modules,GNSS Module,GPS+BeiDou,No,1,CAN,5V,Ceramic Patch,Mast Mount,Betaflight,FPV,Navigation
GPS-0183,GEPRC,GPS Modules,GNSS Module,GPS,No,18,CAN,4-6S BEC,Ceramic Patch,Frame Mount,INAV,Industrial,Autonomous UAV
GPS-0184,Holybro,GPS Modules,GNSS Module,GPS+GLONASS,Yes,10,I2C,3.3-5V,Ceramic Patch,Frame Mount,Betaflight,FPV,Long Range FPV
GPS-0185,BN-880,GPS Modules,GNSS Module,Multi-GNSS,Yes,5,I2C,4-6S BEC,External Active,Top Mount,PX4,Industrial,Autonomous UAV
GPS-0186,BN-880,GPS Modules,GNSS Module,GPS+GLONASS+Galileo,Yes,18,UART,3.3-5V,Ceramic Patch,Frame Mount,INAV,Industrial,Autonomous UAV
GPS-0187,HGLRC,GPS Modules,GNSS Module,GPS+GLONASS,Yes,5,CAN,3.3-5V,Ceramic Patch,Frame Mount,PX4,Industrial,Mapping / Survey
GPS-0188,BN-880,GPS Modules,GNSS Module,GPS+BeiDou,Yes,1,I2C,4-6S BEC,External Active,Frame Mount,ArduPilot,FPV,Long Range FPV
GPS-0189,HGLRC,GPS Modules,GNSS Module,GPS,Yes,5,I2C,5V,Ceramic Patch,Frame Mount,INAV,FPV,Navigation
GPS-0190,Matek,GPS Modules,GNSS Module,GPS+GLONASS+Galileo,Yes,1,UART,3.3-5V,Ceramic Patch,Top Mount,INAV,Industrial,Mapping / Survey
GPS-0191,T-Motor,GPS Modules,GNSS Module,GPS,Yes,1,UART,5V,Ceramic Patch,Mast Mount,INAV,Industrial,Mapping / Survey
GPS-0192,Foxeer,GPS Modules,GNSS Module,GPS+GLONASS,No,18,I2C,5V,External Active,Frame Mount,ArduPilot,FPV,Long Range FPV
GPS-0193,HGLRC,GPS Modules,GNSS Module,GPS+GLONASS+Galileo,Yes,18,CAN,5V,Helical,Mast Mount,ArduPilot,Industrial,Autonomous UAV
GPS-0194,Foxeer,GPS Modules,GNSS Module,GPS,Yes,5,I2C,4-6S BEC,Ceramic Patch,Mast Mount,ArduPilot,Industrial,Autonomous UAV
GPS-0195,Beitian,GPS Modules,GNSS Module,Multi-GNSS,No,18,I2C,5V,External Active,Mast Mount,ArduPilot,Industrial,Mapping / Survey
GPS-0196,Matek,GPS Modules,GNSS Module,GPS+BeiDou,No,10,I2C,4-6S BEC,Ceramic Patch,Top Mount,ArduPilot,Industrial,Autonomous UAV
GPS-0197,GEPRC,GPS Modules,GNSS Module,GPS,Yes,18,UART,5V,Ceramic Patch,Mast Mount,PX4,Industrial,Mapping / Survey
GPS-0198,Matek,GPS Modules,GNSS Module,GPS,Yes,10,CAN,3.3-5V,Ceramic Patch,Mast Mount,PX4,Industrial,Mapping / Survey
GPS-0199,HGLRC,GPS Modules,GNSS Module,GPS,No,18,UART,4-6S BEC,Ceramic Patch,Top Mount,ArduPilot,Industrial,Mapping / Survey
GPS-0200,GEPRC,GPS Modules,GNSS Module,GPS+GLONASS+Galileo,No,1,CAN,5V,Helical,Frame Mount,ArduPilot,Industrial,Autonomous UAV
GPS-0201,Flywoo,GPS Modules,GNSS Module,GPS+GLONASS+Galileo,Yes,5,UART,5V,Helical,Mast Mount,PX4,Industrial,Autonomous UAV
GPS-0202,T-Motor,GPS Modules,GNSS Module,Multi-GNSS,Yes,10,CAN,3.3-5V,External Active,Mast Mount,PX4,Industrial,Mapping / Survey
GPS-0203,HGLRC,GPS Modules,GNSS Module,GPS+GLONASS+Galileo,No,1,UART,3.3-5V,Ceramic Patch,Mast Mount,INAV,FPV,Navigation
GPS-0204,Here3,GPS Modules,GNSS Module,GPS+BeiDou,Yes,18,UART,4-6S BEC,External Active,Frame Mount,PX4,FPV,Long Range FPV
GPS-0205,Matek,GPS Modules,GNSS Module,Multi-GNSS,No,5,UART,5V,Helical,Top Mount,ArduPilot,Industrial,Autonomous UAV
GPS-0206,Foxeer,GPS Modules,GNSS Module,Multi-GNSS,Yes,10,UART,5V,Helical,Frame Mount,PX4,Industrial,Mapping / Survey
GPS-0207,Foxeer,GPS Modules,GNSS Module,GPS,Yes,1,CAN,3.3-5V,Helical,Mast Mount,ArduPilot,Industrial,Autonomous UAV
GPS-0208,Skydroid,GPS Modules,GNSS Module,GPS+BeiDou,Yes,18,CAN,5V,Helical,Frame Mount,ArduPilot,Industrial,Mapping / Survey
GPS-0209,Beitian,GPS Modules,GNSS Module,GPS+GLONASS+Galileo,Yes,1,I2C,3.3-5V,External Active,Top Mount,ArduPilot,FPV,Long Range FPV
GPS-0210,HGLRC,GPS Modules,GNSS Module,GPS,Yes,18,I2C,5V,Helical,Top Mount,INAV,FPV,Long Range FPV
GPS-0211,Flywoo,GPS Modules,GNSS Module,GPS+GLONASS,No,5,CAN,4-6S BEC,Ceramic Patch,Frame Mount,PX4,Industrial,Autonomous UAV
GPS-0212,Flywoo,GPS Modules,GNSS Module,GPS+GLONASS+Galileo,No,18,CAN,4-6S BEC,Helical,Top Mount,INAV,FPV,Long Range FPV
GPS-0213,iFlight,GPS Modules,GNSS Module,Multi-GNSS,No,5,UART,3.3-5V,Ceramic Patch,Top Mount,PX4,Industrial,Autonomous UAV
GPS-0214,Here3,GPS Modules,GNSS Module,GPS,No,5,I2C,5V,External Active,Frame Mount,INAV,FPV,Navigation
GPS-0215,Flywoo,GPS Modules,GNSS Module,GPS+BeiDou,No,10,UART,3.3-5V,Helical,Mast Mount,PX4,FPV,Navigation
GPS-0216,Radiolink,GPS Modules,GNSS Module,GPS,Yes,5,I2C,4-6S BEC,Helical,Frame Mount,INAV,FPV,Long Range FPV
GPS-0217,CUAV,GPS Modules,GNSS Module,GPS,Yes,10,CAN,4-6S BEC,Ceramic Patch,Frame Mount,ArduPilot,FPV,Long Range FPV
GPS-0218,Matek,GPS Modules,GNSS Module,GPS,Yes,10,CAN,3.3-5V,Helical,Mast Mount,INAV,FPV,Navigation
GPS-0219,Beitian,GPS Modules,GNSS Module,GPS,Yes,10,CAN,5V,Helical,Mast Mount,ArduPilot,Industrial,Mapping / Survey
GPS-0220,HGLRC,GPS Modules,GNSS Module,GPS,Yes,1,I2C,3.3-5V,Ceramic Patch,Top Mount,Betaflight,FPV,Navigation
GPS-0221,Flywoo,GPS Modules,GNSS Module,GPS,Yes,5,I2C,5V,Ceramic Patch,Frame Mount,ArduPilot,FPV,Long Range FPV
GPS-0222,CUAV,GPS Modules,GNSS Module,GPS+BeiDou,No,10,CAN,3.3-5V,Helical,Top Mount,Betaflight,Industrial,Autonomous UAV
GPS-0223,Foxeer,GPS Modules,GNSS Module,GPS+GLONASS+Galileo,Yes,18,I2C,4-6S BEC,Ceramic Patch,Top Mount,INAV,FPV,Navigation
GPS-0224,GEPRC,GPS Modules,GNSS Module,GPS+GLONASS,No,1,CAN,4-6S BEC,Ceramic Patch,Top Mount,ArduPilot,Industrial,Autonomous UAV
GPS-0225,Foxeer,GPS Modules,GNSS Module,Multi-GNSS,No,10,CAN,4-6S BEC,External Active,Frame Mount,Betaflight,Industrial,Mapping / Survey
GPS-0226,Holybro,GPS Modules,GNSS Module,GPS,Yes,18,I2C,5V,Ceramic Patch,Mast Mount,INAV,FPV,Navigation
GPS-0227,Holybro,GPS Modules,GNSS Module,GPS,Yes,10,CAN,4-6S BEC,Ceramic Patch,Mast Mount,PX4,FPV,Long Range FPV
GPS-0228,Flywoo,GPS Modules,GNSS Module,GPS+BeiDou,Yes,10,I2C,4-6S BEC,External Active,Top Mount,ArduPilot,Industrial,Mapping / Survey
GPS-0229,HGLRC,GPS Modules,GNSS Module,Multi-GNSS,Yes,1,UART,3.3-5V,Helical,Mast Mount,INAV,FPV,Navigation
GPS-0230,iFlight,GPS Modules,GNSS Module,GPS+BeiDou,No,10,I2C,3.3-5V,Ceramic Patch,Mast Mount,PX4,FPV,Navigation
GPS-0231,T-Motor,GPS Modules,GNSS Module,GPS,No,10,CAN,5V,External Active,Top Mount,ArduPilot,Industrial,Mapping / Survey
GPS-0232,CUAV,GPS Modules,GNSS Module,GPS,No,1,I2C,3.3-5V,Helical,Mast Mount,ArduPilot,Industrial,Mapping / Survey
GPS-0233,Foxeer,GPS Modules,GNSS Module,GPS,No,5,I2C,4-6S BEC,External Active,Top Mount,Betaflight,Industrial,Mapping / Survey
GPS-0234,Beitian,GPS Modules,GNSS Module,GPS+GLONASS+Galileo,Yes,10,CAN,5V,Helical,Top Mount,ArduPilot,Industrial,Autonomous UAV
GPS-0235,iFlight,GPS Modules,GNSS Module,Multi-GNSS,No,1,UART,4-6S BEC,Helical,Mast Mount,Betaflight,FPV,Long Range FPV
GPS-0236,Skydroid,GPS Modules,GNSS Module,GPS+GLONASS,No,18,UART,4-6S BEC,Helical,Top Mount,Betaflight,FPV,Long Range FPV
GPS-0237,CUAV,GPS Modules,GNSS Module,GPS+GLONASS+Galileo,Yes,10,I2C,4-6S BEC,Helical,Frame Mount,PX4,FPV,Navigation
GPS-0238,Foxeer,GPS Modules,GNSS Module,GPS+GLONASS,No,1,I2C,4-6S BEC,External Active,Mast Mount,PX4,Industrial,Autonomous UAV
GPS-0239,BN-880,GPS Modules,GNSS Module,GPS+GLONASS+Galileo,Yes,18,UART,4-6S BEC,Helical,Frame Mount,ArduPilot,Industrial,Mapping / Survey
GPS-0240,Skydroid,GPS Modules,GNSS Module,Multi-GNSS,Yes,10,UART,3.3-5V,Helical,Frame Mount,INAV,Industrial,Autonomous UAV
GPS-0241,T-Motor,GPS Modules,GNSS Module,GPS+BeiDou,Yes,18,I2C,5V,Helical,Top Mount,INAV,Industrial,Autonomous UAV
GPS-0242,CUAV,GPS Modules,GNSS Module,GPS+GLONASS+Galileo,No,5,I2C,5V,Helical,Top Mount,ArduPilot,Industrial,Mapping / Survey
GPS-0243,HGLRC,GPS Modules,GNSS Module,GPS+BeiDou,No,10,I2C,5V,External Active,Mast Mount,INAV,Industrial,Mapping / Survey
GPS-0244,Here3,GPS Modules,GNSS Module,GPS+GLONASS,No,1,UART,3.3-5V,Ceramic Patch,Frame Mount,Betaflight,FPV,Navigation
GPS-0245,Skydroid,GPS Modules,GNSS Module,GPS+BeiDou,Yes,10,CAN,4-6S BEC,Ceramic Patch,Mast Mount,Betaflight,Industrial,Mapping / Survey
GPS-0246,Holybro,GPS Modules,GNSS Module,GPS+BeiDou,No,5,CAN,3.3-5V,Ceramic Patch,Top Mount,INAV,Industrial,Mapping / Survey
GPS-0247,Here3,GPS Modules,GNSS Module,GPS,Yes,10,CAN,3.3-5V,External Active,Top Mount,PX4,FPV,Long Range FPV
GPS-0248,Foxeer,GPS Modules,GNSS Module,GPS,No,5,CAN,3.3-5V,Helical,Top Mount,INAV,Industrial,Autonomous UAV
GPS-0249,GEPRC,GPS Modules,GNSS Module,GPS+GLONASS,Yes,10,CAN,4-6S BEC,Ceramic Patch,Mast Mount,ArduPilot,Industrial,Autonomous UAV
GPS-0250,Beitian,GPS Modules,GNSS Module,GPS+GLONASS+Galileo,Yes,5,UART,5V,Helical,Frame Mount,INAV,FPV,Long Range FPV
GPS-0251,Radiolink,GPS Modules,GNSS Module,GPS+GLONASS+Galileo,No,10,UART,4-6S BEC,Helical,Top Mount,INAV,FPV,Navigation
GPS-0252,Matek,GPS Modules,GNSS Module,GPS+BeiDou,No,5,I2C,4-6S BEC,Ceramic Patch,Frame Mount,ArduPilot,FPV,Navigation
GPS-0253,iFlight,GPS Modules,GNSS Module,GPS+GLONASS+Galileo,No,10,UART,4-6S BEC,Helical,Mast Mount,PX4,FPV,Long Range FPV
GPS-0254,CUAV,GPS Modules,GNSS Module,GPS,No,5,I2C,4-6S BEC,Helical,Mast Mount,ArduPilot,FPV,Navigation
GPS-0255,Skydroid,GPS Modules,GNSS Module,GPS+BeiDou,No,18,I2C,4-6S BEC,External Active,Mast Mount,Betaflight,FPV,Navigation
GPS-0256,iFlight,GPS Modules,GNSS Module,Multi-GNSS,Yes,1,I2C,4-6S BEC,Helical,Frame Mount,INAV,FPV,Navigation
GPS-0257,Skydroid,GPS Modules,GNSS Module,GPS,No,1,I2C,5V,Helical,Top Mount,PX4,Industrial,Mapping / Survey
GPS-0258,iFlight,GPS Modules,GNSS Module,GPS+GLONASS,No,1,UART,4-6S BEC,External Active,Frame Mount,INAV,Industrial,Autonomous UAV
GPS-0259,Skydroid,GPS Modules,GNSS Module,GPS+GLONASS,No,18,I2C,5V,Ceramic Patch,Top Mount,Betaflight,Industrial,Autonomous UAV
GPS-0260,Holybro,GPS Modules,GNSS Module,GPS+BeiDou,No,5,CAN,5V,Helical,Mast Mount,ArduPilot,FPV,Long Range FPV
GPS-0261,HGLRC,GPS Modules,GNSS Module,Multi-GNSS,Yes,1,CAN,5V,External Active,Frame Mount,ArduPilot,Industrial,Autonomous UAV
GPS-0262,Here3,GPS Modules,GNSS Module,GPS+GLONASS+Galileo,Yes,1,CAN,3.3-5V,External Active,Frame Mount,Betaflight,FPV,Long Range FPV
GPS-0263,Foxeer,GPS Modules,GNSS Module,GPS,No,18,UART,3.3-5V,Helical,Frame Mount,PX4,FPV,Navigation
GPS-0264,BN-880,GPS Modules,GNSS Module,Multi-GNSS,Yes,18,CAN,4-6S BEC,External Active,Mast Mount,Betaflight,FPV,Long Range FPV
GPS-0265,Here3,GPS Modules,GNSS Module,Multi-GNSS,No,18,UART,5V,Helical,Top Mount,PX4,FPV,Long Range FPV
GPS-0266,Beitian,GPS Modules,GNSS Module,GPS,No,18,UART,4-6S BEC,External Active,Mast Mount,Betaflight,FPV,Navigation
GPS-0267,GEPRC,GPS Modules,GNSS Module,Multi-GNSS,Yes,5,CAN,5V,External Active,Mast Mount,PX4,Industrial,Autonomous UAV
GPS-0268,GEPRC,GPS Modules,GNSS Module,GPS,Yes,10,I2C,4-6S BEC,External Active,Mast Mount,ArduPilot,Industrial,Autonomous UAV
GPS-0269,BN-880,GPS Modules,GNSS Module,GPS+GLONASS+Galileo,No,18,UART,5V,External Active,Mast Mount,PX4,FPV,Navigation
GPS-0270,HGLRC,GPS Modules,GNSS Module,GPS+GLONASS+Galileo,No,18,UART,5V,External Active,Frame Mount,INAV,FPV,Long Range FPV
GPS-0271,HGLRC,GPS Modules,GNSS Module,Multi-GNSS,No,1,CAN,4-6S BEC,Ceramic Patch,Top Mount,PX4,FPV,Long Range FPV
GPS-0272,T-Motor,GPS Modules,GNSS Module,GPS+BeiDou,Yes,1,UART,3.3-5V,Ceramic Patch,Mast Mount,INAV,FPV,Long Range FPV
GPS-0273,Beitian,GPS Modules,GNSS Module,GPS+BeiDou,No,1,I2C,4-6S BEC,Ceramic Patch,Frame Mount,PX4,Industrial,Mapping / Survey
GPS-0274,Beitian,GPS Modules,GNSS Module,GPS+BeiDou,Yes,1,I2C,5V,Helical,Frame Mount,PX4,Industrial,Autonomous UAV
GPS-0275,Beitian,GPS Modules,GNSS Module,Multi-GNSS,No,1,UART,4-6S BEC,Ceramic Patch,Frame Mount,ArduPilot,FPV,Navigation
GPS-0276,BN-880,GPS Modules,GNSS Module,GPS+GLONASS+Galileo,No,5,CAN,4-6S BEC,Helical,Frame Mount,ArduPilot,FPV,Navigation
GPS-0277,Beitian,GPS Modules,GNSS Module,Multi-GNSS,No,18,I2C,4-6S BEC,Helical,Top Mount,INAV,Industrial,Autonomous UAV
GPS-0278,Skydroid,GPS Modules,GNSS Module,Multi-GNSS,No,18,I2C,3.3-5V,Helical,Top Mount,ArduPilot,FPV,Long Range FPV
GPS-0279,Skydroid,GPS Modules,GNSS Module,GPS+GLONASS+Galileo,Yes,10,CAN,3.3-5V,External Active,Top Mount,ArduPilot,Industrial,Autonomous UAV
GPS-0280,iFlight,GPS Modules,GNSS Module,Multi-GNSS,Yes,5,CAN,5V,External Active,Mast Mount,INAV,Industrial,Autonomous UAV
GPS-0281,CUAV,GPS Modules,GNSS Module,Multi-GNSS,No,18,CAN,3.3-5V,External Active,Mast Mount,INAV,Industrial,Autonomous UAV
GPS-0282,BN-880,GPS Modules,GNSS Module,Multi-GNSS,No,5,I2C,5V,Helical,Top Mount,ArduPilot,Industrial,Mapping / Survey
GPS-0283,T-Motor,GPS Modules,GNSS Module,GPS+BeiDou,Yes,1,I2C,3.3-5V,Helical,Frame Mount,Betaflight,Industrial,Mapping / Survey
GPS-0284,Radiolink,GPS Modules,GNSS Module,Multi-GNSS,Yes,5,I2C,4-6S BEC,Ceramic Patch,Mast Mount,ArduPilot,Industrial,Autonomous UAV
GPS-0285,Matek,GPS Modules,GNSS Module,GPS,Yes,1,UART,4-6S BEC,Helical,Top Mount,PX4,Industrial,Autonomous UAV
GPS-0286,T-Motor,GPS Modules,GNSS Module,Multi-GNSS,No,10,UART,5V,Helical,Frame Mount,INAV,Industrial,Autonomous UAV
GPS-0287,Holybro,GPS Modules,GNSS Module,GPS+GLONASS+Galileo,No,10,I2C,5V,Ceramic Patch,Frame Mount,INAV,Industrial,Autonomous UAV
GPS-0288,GEPRC,GPS Modules,GNSS Module,GPS,Yes,5,CAN,5V,External Active,Mast Mount,INAV,FPV,Long Range FPV
GPS-0289,Foxeer,GPS Modules,GNSS Module,GPS+GLONASS+Galileo,No,1,UART,4-6S BEC,Helical,Mast Mount,INAV,FPV,Navigation
GPS-0290,Flywoo,GPS Modules,GNSS Module,GPS,Yes,18,UART,3.3-5V,External Active,Top Mount,Betaflight,FPV,Long Range FPV
GPS-0291,Flywoo,GPS Modules,GNSS Module,Multi-GNSS,Yes,1,UART,4-6S BEC,Ceramic Patch,Mast Mount,PX4,Industrial,Mapping / Survey
GPS-0292,HGLRC,GPS Modules,GNSS Module,GPS+BeiDou,No,1,UART,4-6S BEC,External Active,Mast Mount,PX4,Industrial,Autonomous UAV
GPS-0293,Radiolink,GPS Modules,GNSS Module,GPS,No,18,UART,4-6S BEC,Helical,Frame Mount,ArduPilot,Industrial,Mapping / Survey
GPS-0294,Radiolink,GPS Modules,GNSS Module,GPS+GLONASS+Galileo,Yes,1,I2C,5V,External Active,Frame Mount,ArduPilot,FPV,Navigation
GPS-0295,Here3,GPS Modules,GNSS Module,GPS+BeiDou,No,18,UART,4-6S BEC,External Active,Mast Mount,INAV,Industrial,Autonomous UAV
GPS-0296,GEPRC,GPS Modules,GNSS Module,GPS+BeiDou,Yes,10,UART,5V,Helical,Mast Mount,INAV,Industrial,Mapping / Survey
GPS-0297,CUAV,GPS Modules,GNSS Module,GPS+GLONASS+Galileo,Yes,5,UART,5V,Helical,Top Mount,ArduPilot,Industrial,Autonomous UAV
GPS-0298,Foxeer,GPS Modules,GNSS Module,GPS,No,18,I2C,5V,Helical,Top Mount,INAV,Industrial,Autonomous UAV
GPS-0299,Foxeer,GPS Modules,GNSS Module,GPS+GLONASS+Galileo,Yes,18,I2C,4-6S BEC,External Active,Frame Mount,PX4,FPV,Long Range FPV
GPS-0300,GEPRC,GPS Modules,GNSS Module,GPS,Yes,18,I2C,3.3-5V,External Active,Frame Mount,ArduPilot,Industrial,Mapping / Survey
GPS-0301,Holybro,GPS Modules,GNSS Module,GPS+BeiDou,No,5,UART,4-6S BEC,Ceramic Patch,Mast Mount,PX4,Industrial,Autonomous UAV
GPS-0302,BN-880,GPS Modules,GNSS Module,GPS,Yes,1,I2C,4-6S BEC,Ceramic Patch,Mast Mount,Betaflight,Industrial,Autonomous UAV
GPS-0303,GEPRC,GPS Modules,GNSS Module,GPS+GLONASS+Galileo,Yes,18,I2C,4-6S BEC,External Active,Frame Mount,PX4,FPV,Long Range FPV
GPS-0304,Here3,GPS Modules,GNSS Module,GPS,Yes,10,I2C,3.3-5V,External Active,Mast Mount,Betaflight,FPV,Long Range FPV
GPS-0305,Foxeer,GPS Modules,GNSS Module,GPS+BeiDou,No,1,UART,5V,Helical,Frame Mount,Betaflight,FPV,Navigation
GPS-0306,Holybro,GPS Modules,GNSS Module,Multi-GNSS,No,18,CAN,3.3-5V,Ceramic Patch,Mast Mount,ArduPilot,Industrial,Autonomous UAV
GPS-0307,Beitian,GPS Modules,GNSS Module,Multi-GNSS,No,10,CAN,3.3-5V,External Active,Top Mount,Betaflight,Industrial,Mapping / Survey
GPS-0308,GEPRC,GPS Modules,GNSS Module,GPS+GLONASS+Galileo,No,18,UART,3.3-5V,External Active,Top Mount,Betaflight,FPV,Long Range FPV
GPS-0309,Foxeer,GPS Modules,GNSS Module,Multi-GNSS,No,1,I2C,4-6S BEC,Helical,Frame Mount,ArduPilot,Industrial,Autonomous UAV
GPS-0310,Skydroid,GPS Modules,GNSS Module,Multi-GNSS,Yes,18,UART,4-6S BEC,External Active,Frame Mount,PX4,FPV,Long Range FPV
GPS-0311,Holybro,GPS Modules,GNSS Module,GPS+BeiDou,No,18,UART,4-6S BEC,External Active,Frame Mount,PX4,Industrial,Mapping / Survey
GPS-0312,HGLRC,GPS Modules,GNSS Module,GPS+GLONASS,No,1,UART,3.3-5V,Helical,Top Mount,ArduPilot,Industrial,Autonomous UAV
GPS-0313,Holybro,GPS Modules,GNSS Module,GPS+BeiDou,Yes,1,CAN,5V,Ceramic Patch,Mast Mount,INAV,Industrial,Mapping / Survey
GPS-0314,T-Motor,GPS Modules,GNSS Module,GPS+BeiDou,Yes,5,CAN,5V,Helical,Top Mount,Betaflight,FPV,Long Range FPV
GPS-0315,Radiolink,GPS Modules,GNSS Module,GPS+GLONASS+Galileo,No,1,I2C,3.3-5V,External Active,Mast Mount,INAV,FPV,Long Range FPV
GPS-0316,Skydroid,GPS Modules,GNSS Module,GPS+BeiDou,No,10,UART,5V,External Active,Frame Mount,Betaflight,Industrial,Mapping / Survey
GPS-0317,HGLRC,GPS Modules,GNSS Module,GPS+GLONASS+Galileo,Yes,1,UART,3.3-5V,Helical,Mast Mount,PX4,FPV,Long Range FPV
GPS-0318,BN-880,GPS Modules,GNSS Module,GPS+BeiDou,Yes,5,UART,4-6S BEC,Helical,Mast Mount,INAV,Industrial,Autonomous UAV
GPS-0319,HGLRC,GPS Modules,GNSS Module,Multi-GNSS,No,5,I2C,3.3-5V,External Active,Mast Mount,Betaflight,FPV,Navigation
GPS-0320,Holybro,GPS Modules,GNSS Module,GPS+GLONASS+Galileo,No,5,UART,3.3-5V,External Active,Top Mount,INAV,FPV,Long Range FPV
GPS-0321,Radiolink,GPS Modules,GNSS Module,GPS+GLONASS+Galileo,No,5,I2C,3.3-5V,Helical,Top Mount,INAV,FPV,Navigation
GPS-0322,Here3,GPS Modules,GNSS Module,GPS,Yes,10,CAN,4-6S BEC,External Active,Mast Mount,INAV,FPV,Navigation
GPS-0323,Foxeer,GPS Modules,GNSS Module,GPS,Yes,18,UART,4-6S BEC,Ceramic Patch,Mast Mount,PX4,Industrial,Autonomous UAV
GPS-0324,iFlight,GPS Modules,GNSS Module,GPS+BeiDou,Yes,5,CAN,3.3-5V,External Active,Mast Mount,INAV,FPV,Navigation
GPS-0325,BN-880,GPS Modules,GNSS Module,GPS,No,10,I2C,5V,Ceramic Patch,Mast Mount,ArduPilot,FPV,Long Range FPV
GPS-0326,Holybro,GPS Modules,GNSS Module,GPS+BeiDou,No,10,I2C,3.3-5V,Helical,Top Mount,INAV,FPV,Long Range FPV
GPS-0327,Radiolink,GPS Modules,GNSS Module,GPS+GLONASS,Yes,5,CAN,4-6S BEC,Ceramic Patch,Top Mount,PX4,FPV,Navigation
GPS-0328,iFlight,GPS Modules,GNSS Module,GPS+GLONASS,No,1,CAN,3.3-5V,Helical,Mast Mount,INAV,FPV,Long Range FPV
GPS-0329,HGLRC,GPS Modules,GNSS Module,GPS+GLONASS,No,1,UART,3.3-5V,Helical,Top Mount,INAV,FPV,Navigation
GPS-0330,Here3,GPS Modules,GNSS Module,GPS+BeiDou,No,1,CAN,3.3-5V,Ceramic Patch,Top Mount,PX4,FPV,Navigation
GPS-0331,Foxeer,GPS Modules,GNSS Module,GPS,No,10,I2C,3.3-5V,External Active,Mast Mount,INAV,Industrial,Autonomous UAV
GPS-0332,Holybro,GPS Modules,GNSS Module,Multi-GNSS,Yes,1,I2C,3.3-5V,Helical,Mast Mount,PX4,FPV,Navigation
GPS-0333,Here3,GPS Modules,GNSS Module,GPS+GLONASS,No,5,I2C,4-6S BEC,Ceramic Patch,Mast Mount,Betaflight,FPV,Navigation
GPS-0334,GEPRC,GPS Modules,GNSS Module,GPS+GLONASS+Galileo,Yes,10,CAN,4-6S BEC,Ceramic Patch,Top Mount,Betaflight,Industrial,Mapping / Survey
GPS-0335,CUAV,GPS Modules,GNSS Module,GPS+GLONASS+Galileo,Yes,10,I2C,3.3-5V,Ceramic Patch,Top Mount,INAV,Industrial,Autonomous UAV
GPS-0336,Beitian,GPS Modules,GNSS Module,Multi-GNSS,Yes,18,I2C,3.3-5V,Helical,Frame Mount,Betaflight,Industrial,Mapping / Survey
GPS-0337,HGLRC,GPS Modules,GNSS Module,GPS+BeiDou,Yes,10,I2C,3.3-5V,Ceramic Patch,Mast Mount,Betaflight,FPV,Navigation
GPS-0338,Flywoo,GPS Modules,GNSS Module,GPS+GLONASS,Yes,18,UART,3.3-5V,Ceramic Patch,Top Mount,PX4,FPV,Long Range FPV
GPS-0339,Radiolink,GPS Modules,GNSS Module,GPS+GLONASS+Galileo,Yes,5,UART,4-6S BEC,External Active,Mast Mount,Betaflight,Industrial,Autonomous UAV
GPS-0340,Beitian,GPS Modules,GNSS Module,GPS+GLONASS,No,5,CAN,3.3-5V,Helical,Top Mount,PX4,FPV,Long Range FPV
GPS-0341,Beitian,GPS Modules,GNSS Module,GPS+GLONASS,No,18,I2C,4-6S BEC,Ceramic Patch,Mast Mount,INAV,Industrial,Autonomous UAV
GPS-0342,CUAV,GPS Modules,GNSS Module,GPS+BeiDou,Yes,18,CAN,4-6S BEC,Helical,Frame Mount,ArduPilot,FPV,Long Range FPV
